mpps_id condition shortname pca_name data_color
SRR7702228 MSC MSC1_1 MSC1_1 blue
SRR7702229 MSC MSC1_2 MSC1_2 blue
SRR7702230 MSC MSC1_3 MSC1_3 blue
SRR7702231 MSC MSC2_1 MSC2_1 blue
SRR7702232 MSC MSC2_2 MSC2_2 blue
SRR7702233 MSC MSC2_3 MSC2_3 blue
SRR7702234 MSC MSC3_1 MSC3_1 blue
SRR7702235 MSC MSC3_2 MSC3_2 blue
SRR7702236 MSC MSC3_3 MSC3_3 blue
SRR7702237 MSC MSC4_1 MSC4_1 blue
SRR7702238 MSC MSC4_2 MSC4_2 blue
SRR7702239 MSC MSC4_3 MSC4_3 blue
SRR7702240 CAMSC CAMSC1_1 CAMSC1_1 deeppink
SRR7702241 CAMSC CAMSC1_2 CAMSC1_2 deeppink
SRR7702242 CAMSC CAMSC1_3 CAMSC1_3 deeppink
SRR7702243 CAMSC CAMSC2_1 CAMSC2_1 deeppink
SRR7702244 CAMSC CAMSC2_2 CAMSC2_2 deeppink
SRR7702245 CAMSC CAMSC2_3 CAMSC2_3 deeppink
SRR7702246 CAMSC CAMSC3_1 CAMSC3_1 deeppink
SRR7702247 CAMSC CAMSC3_2 CAMSC3_2 deeppink
SRR7702248 CAMSC CAMSC3_3 CAMSC3_3 deeppink
SRR7702249 CAMSC CAMSC4_1 CAMSC4_1 deeppink
SRR7702250 CAMSC CAMSC4_2 CAMSC4_2 deeppink
SRR7702251 CAMSC CAMSC4_3 CAMSC4_3 deeppink
SRR7702252 CAMSC CAMSC5_1 CAMSC5_1 deeppink
SRR7702253 CAMSC CAMSC5_2 CAMSC5_2 deeppink
SRR7702254 CAMSC CAMSC5_3 CAMSC5_3 deeppink
SRR7702255 CAMSC CAMSC6_1 CAMSC6_1 deeppink
SRR7702256 CAMSC CAMSC6_2 CAMSC6_2 deeppink
SRR7702257 CAMSC CAMSC6_3 CAMSC6_3 deeppink
SRR7702258 CAMSC CAMSC7_1 CAMSC7_1 deeppink
SRR7702259 CAMSC CAMSC7_2 CAMSC7_2 deeppink
SRR7702260 CAMSC CAMSC7_3 CAMSC7_3 deeppink
SRR7702261 CAMSC CAMSC8_1 CAMSC8_1 deeppink
SRR7702262 CAMSC CAMSC8_2 CAMSC8_2 deeppink
SRR7702263 CAMSC CAMSC8_3 CAMSC8_3 deeppink
SRR7702264 CAMSC CAMSC9 CAMSC9 deeppink
SRR7702265 CAMSC CAMSC10 CAMSC10 deeppink
 
