NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPP3CB	protein phosphatase 3 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9315]	617	0.9408573508262634	6.3904707E-4	No	
row_1	NGF	nerve growth factor [Source:HGNC Symbol;Acc:HGNC:7808]	954	0.7811305522918701	0.0073269354	No	
row_2	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	1139	0.718953013420105	0.017858177	No	
row_3	EXOG	exo/endonuclease G [Source:HGNC Symbol;Acc:HGNC:3347]	1205	0.6975562572479248	0.032041904	No	
row_4	PRKAR1A	protein kinase cAMP-dependent type I regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9388]	1408	0.6487433314323425	0.04028817	No	
row_5	CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	1413	0.6482289433479309	0.05543933	No	
row_6	APAF1	apoptotic peptidase activating factor 1 [Source:HGNC Symbol;Acc:HGNC:576]	1902	0.5480958819389343	0.051320184	No	
row_7	ATM	ATM serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:795]	1935	0.5423954725265503	0.0629967	No	
row_8	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]	2158	0.5031676888465881	0.06711033	No	
row_9	PPP3CA	protein phosphatase 3 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9314]	2177	0.5009170770645142	0.07829751	No	
row_10	BCL2	BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990]	2711	0.41949695348739624	0.06957282	No	
row_11	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	2852	0.40094253420829773	0.07413972	No	
row_12	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	3267	0.34992313385009766	0.06793108	No	
row_13	PRKACA	protein kinase cAMP-activated catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9380]	3674	0.3046915829181671	0.060934965	No	
row_14	NTRK1	neurotrophic receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:8031]	4140	0.2545177638530731	0.050694175	No	
row_15	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	4386	0.22937627136707306	0.047545917	No	
row_16	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]	4781	0.19415904581546783	0.03836169	No	
row_17	CASP9	caspase 9 [Source:HGNC Symbol;Acc:HGNC:1511]	4803	0.19214439392089844	0.042160507	No	
row_18	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	4980	0.17812862992286682	0.040213864	No	
row_19	IRAK4	interleukin 1 receptor associated kinase 4 [Source:HGNC Symbol;Acc:HGNC:17967]	5523	0.13480539619922638	0.024459256	No	
row_20	PRKAR2A	protein kinase cAMP-dependent type II regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9391]	5555	0.13247281312942505	0.026501153	No	
row_21	DFFB	DNA fragmentation factor subunit beta [Source:HGNC Symbol;Acc:HGNC:2773]	5610	0.12746357917785645	0.027621394	No	
row_22	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	6051	0.0957171618938446	0.01450806	No	
row_23	IL3RA	interleukin 3 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6012]	6095	0.09188811480998993	0.015173402	No	
row_24	XIAP	X-linked inhibitor of apoptosis [Source:HGNC Symbol;Acc:HGNC:592]	6455	0.06403379887342453	0.0041423924	No	
