NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AXIN2	axin 2 [Source:HGNC Symbol;Acc:HGNC:904]	15	2.8807575702667236	0.090342894	Yes	
row_1	FZD1	frizzled class receptor 1 [Source:HGNC Symbol;Acc:HGNC:4038]	46	2.1475260257720947	0.15703437	Yes	
row_2	WNT11	Wnt family member 11 [Source:HGNC Symbol;Acc:HGNC:12776]	119	1.560683250427246	0.20374969	Yes	
row_3	WNT2	Wnt family member 2 [Source:HGNC Symbol;Acc:HGNC:12780]	206	1.3589333295822144	0.24361274	Yes	
row_4	FZD2	frizzled class receptor 2 [Source:HGNC Symbol;Acc:HGNC:4040]	269	1.2609938383102417	0.28122407	Yes	
row_5	GLI3	GLI family zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:4319]	273	1.2556885480880737	0.32072696	Yes	
row_6	TCF7	transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:11639]	276	1.2483243942260742	0.36003244	Yes	
row_7	TCF7L2	transcription factor 7 like 2 [Source:HGNC Symbol;Acc:HGNC:11641]	456	1.0532342195510864	0.3870076	Yes	
row_8	PTCH1	patched 1 [Source:HGNC Symbol;Acc:HGNC:9585]	551	0.9733226895332336	0.41442835	Yes	
row_9	SMO	smoothened, frizzled class receptor [Source:HGNC Symbol;Acc:HGNC:11119]	937	0.7874764800071716	0.42583212	Yes	
row_10	WNT9A	Wnt family member 9A [Source:HGNC Symbol;Acc:HGNC:12778]	1247	0.6881730556488037	0.43675575	Yes	
row_11	WNT7B	Wnt family member 7B [Source:HGNC Symbol;Acc:HGNC:12787]	2372	0.46898773312568665	0.4123249	Yes	
row_12	LEF1	lymphoid enhancer binding factor 1 [Source:HGNC Symbol;Acc:HGNC:6551]	2382	0.46731793880462646	0.4267512	Yes	
row_13	FZD3	frizzled class receptor 3 [Source:HGNC Symbol;Acc:HGNC:4041]	2675	0.4266180396080017	0.43001798	Yes	
row_14	GLI2	GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318]	2764	0.41055095195770264	0.43989688	Yes	
row_15	FZD7	frizzled class receptor 7 [Source:HGNC Symbol;Acc:HGNC:4045]	2808	0.40503525733947754	0.45117214	Yes	
row_16	WNT5B	Wnt family member 5B [Source:HGNC Symbol;Acc:HGNC:16265]	4372	0.23057439923286438	0.4039015	No	
