NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMC1A	structural maintenance of chromosomes 1A [Source:HGNC Symbol;Acc:HGNC:11111]	118	1.567811369895935	0.021506898	Yes	
row_1	STAG1	stromal antigen 1 [Source:HGNC Symbol;Acc:HGNC:11354]	234	1.3170270919799805	0.039018247	Yes	
row_2	RBL2	RB transcriptional corepressor like 2 [Source:HGNC Symbol;Acc:HGNC:9894]	309	1.2075053453445435	0.056173112	Yes	
row_3	CDKN2C	cyclin dependent kinase inhibitor 2C [Source:HGNC Symbol;Acc:HGNC:1789]	417	1.0918887853622437	0.07028315	Yes	
row_4	STAG2	stromal antigen 2 [Source:HGNC Symbol;Acc:HGNC:11355]	439	1.0662554502487183	0.08698253	Yes	
row_5	SMAD4	SMAD family member 4 [Source:HGNC Symbol;Acc:HGNC:6770]	450	1.0565905570983887	0.103908695	Yes	
row_6	MCM7	minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]	469	1.0385087728500366	0.12025935	Yes	
row_7	CDC14B	cell division cycle 14B [Source:HGNC Symbol;Acc:HGNC:1719]	573	0.9644559621810913	0.13242571	Yes	
row_8	TGFB3	transforming growth factor beta 3 [Source:HGNC Symbol;Acc:HGNC:11769]	620	0.9396517276763916	0.14618048	Yes	
row_9	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	644	0.9254858493804932	0.16050822	Yes	
row_10	MCM6	minichromosome maintenance complex component 6 [Source:HGNC Symbol;Acc:HGNC:6949]	788	0.8494949340820312	0.1693956	Yes	
row_11	MCM4	minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]	1015	0.7625002861022949	0.17395703	Yes	
row_12	TTK	TTK protein kinase [Source:HGNC Symbol;Acc:HGNC:12401]	1046	0.7527634501457214	0.18521577	Yes	
row_13	RBL1	RB transcriptional corepressor like 1 [Source:HGNC Symbol;Acc:HGNC:9893]	1093	0.734139621257782	0.19561027	Yes	
row_14	CCNA2	cyclin A2 [Source:HGNC Symbol;Acc:HGNC:1578]	1118	0.7255233526229858	0.20663351	Yes	
row_15	CDC7	cell division cycle 7 [Source:HGNC Symbol;Acc:HGNC:1745]	1219	0.6946611404418945	0.21449348	Yes	
row_16	RAD21	RAD21 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:9811]	1220	0.6945963501930237	0.22585061	Yes	
row_17	MCM5	minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948]	1296	0.6753895282745361	0.23427004	Yes	
