NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMAD4	SMAD family member 4 [Source:HGNC Symbol;Acc:HGNC:6770]	450	1.0565905570983887	0.014741639	No	
row_1	TGFB3	transforming growth factor beta 3 [Source:HGNC Symbol;Acc:HGNC:11769]	620	0.9396517276763916	0.035924785	No	
row_2	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	644	0.9254858493804932	0.061797738	No	
row_3	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	1985	0.5334262847900391	0.030382168	No	
row_4	STAT5A	signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366]	2063	0.5211170315742493	0.04271404	No	
row_5	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]	2158	0.5031676888465881	0.053934928	No	
row_6	RUNX1	RUNX family transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10471]	2198	0.4970511496067047	0.06690004	No	
row_7	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]	2479	0.45514464378356934	0.070241846	No	
row_8	CBLB	Cbl proto-oncogene B [Source:HGNC Symbol;Acc:HGNC:1542]	2733	0.4158203899860382	0.07339298	No	
row_9	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	2852	0.40094253420829773	0.0808293	No	
row_10	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	3267	0.34992313385009766	0.07645912	No	
row_11	KRAS	KRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:6407]	3635	0.3089580833911896	0.07254934	No	
row_12	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:11187]	3638	0.3086699843406677	0.08137657	No	
row_13	CTBP1	C-terminal binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2494]	3948	0.2748437225818634	0.07850877	No	
row_14	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	3971	0.2722282111644745	0.085587226	No	
row_15	NRAS	NRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:7989]	4486	0.21899095177650452	0.073951215	No	
row_16	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]	4781	0.19415904581546783	0.06928155	No	
row_17	E2F1	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	5135	0.16529597342014313	0.061719738	No	
row_18	STAT5B	signal transducer and activator of transcription 5B [Source:HGNC Symbol;Acc:HGNC:11367]	5221	0.15971896052360535	0.06335537	No	
row_19	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	6051	0.0957171618938446	0.037166756	No	
row_20	BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	6059	0.09467611461877823	0.039651256	No	
row_21	MAP2K2	mitogen-activated protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6842]	6474	0.06222011521458626	0.026988365	No	
row_22	E2F2	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]	6483	0.06182060390710831	0.028490923	No	
row_23	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	6500	0.06080980971455574	0.029685	No	
row_24	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	6556	0.05694758892059326	0.029405924	No	
row_25	TGFBR2	transforming growth factor beta receptor 2 [Source:HGNC Symbol;Acc:HGNC:11773]	6752	0.04292965307831764	0.023834188	No	
row_26	E2F3	E2F transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3115]	7029	0.026157259941101074	0.014950596	No	
row_27	IKBKG	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma [Source:HGNC Symbol;Acc:HGNC:5961]	7430	0.0026669062208384275	0.0010600103	No	
row_28	TGFBR1	transforming growth factor beta receptor 1 [Source:HGNC Symbol;Acc:HGNC:11772]	8442	-0.007603587582707405	-0.03402357	No	
row_29	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	8995	-0.039822984486818314	-0.05215081	No	
row_30	CBL	Cbl proto-oncogene [Source:HGNC Symbol;Acc:HGNC:1541]	9075	-0.0441485233604908	-0.05363685	No	
row_31	RELA	RELA proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9955]	10918	-0.11031635850667953	-0.114777245	No	
