NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DNM1	dynamin 1 [Source:HGNC Symbol;Acc:HGNC:2972]	145	1.4777612686157227	0.014399252	No	
row_1	IQSEC1	IQ motif and Sec7 domain ArfGEF 1 [Source:HGNC Symbol;Acc:HGNC:29112]	454	1.0546084642410278	0.017506963	No	
row_2	PDGFRA	platelet derived growth factor receptor alpha [Source:HGNC Symbol;Acc:HGNC:8803]	721	0.8824995160102844	0.019817833	No	
row_3	ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:14987]	1186	0.7044476866722107	0.01284161	No	
row_4	DNM3	dynamin 3 [Source:HGNC Symbol;Acc:HGNC:29125]	1400	0.6530370116233826	0.013985085	No	
row_5	VPS36	vacuolar protein sorting 36 homolog [Source:HGNC Symbol;Acc:HGNC:20312]	1464	0.635581910610199	0.020155888	No	
row_6	IQSEC2	IQ motif and Sec7 domain ArfGEF 2 [Source:HGNC Symbol;Acc:HGNC:29059]	1816	0.5638940930366516	0.015287341	No	
row_7	CSF1R	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]	2248	0.48910000920295715	0.00662881	No	
row_8	PSD2	pleckstrin and Sec7 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:19092]	2381	0.4673251807689667	0.008163049	No	
row_9	SMAP2	small ArfGAP2 [Source:HGNC Symbol;Acc:HGNC:25082]	2396	0.4661562144756317	0.0138177285	No	
row_10	USP8	ubiquitin specific peptidase 8 [Source:HGNC Symbol;Acc:HGNC:12631]	2484	0.4545787572860718	0.016761161	No	
row_11	RAB11FIP3	RAB11 family interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:17224]	2719	0.41811418533325195	0.014071589	No	
row_12	CBLB	Cbl proto-oncogene B [Source:HGNC Symbol;Acc:HGNC:1542]	2733	0.4158203899860382	0.019097738	No	
row_13	KIT	KIT proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6342]	2766	0.4100707173347473	0.023382146	No	
row_14	ARFGAP3	ADP ribosylation factor GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:661]	2869	0.39924049377441406	0.025070306	No	
row_15	ARAP1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16925]	2933	0.390023410320282	0.02800389	No	
row_16	IQSEC3	IQ motif and Sec7 domain ArfGEF 3 [Source:HGNC Symbol;Acc:HGNC:29193]	3036	0.37848156690597534	0.029418385	No	
row_17	IGF1R	insulin like growth factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:5465]	3192	0.3587786555290222	0.028715504	No	
row_18	RAB4A	RAB4A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9781]	3242	0.35313329100608826	0.03165346	No	
row_19	EHD2	EH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:3243]	3299	0.346208781003952	0.03425478	No	
row_20	RAB11FIP2	RAB11 family interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:29152]	3345	0.3416658341884613	0.037181754	No	
row_21	FGFR3	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]	3351	0.3411893844604492	0.041504435	No	
row_22	PIKFYVE	phosphoinositide kinase, FYVE-type zinc finger containing [Source:HGNC Symbol;Acc:HGNC:23785]	3412	0.3337399363517761	0.043801177	No	
