NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]	2506	0.45092886686325073	-0.033492792	No	
row_1	MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:7432]	4577	0.21083006262779236	-0.08045834	No	
row_2	AFMID	arylformamidase [Source:HGNC Symbol;Acc:HGNC:20910]	4967	0.17918959259986877	-0.072620034	No	
row_3	CS	citrate synthase [Source:HGNC Symbol;Acc:HGNC:2422]	9145	-0.04800918698310852	-0.21245332	No	
row_4	GLYCTK	glycerate kinase [Source:HGNC Symbol;Acc:HGNC:24247]	9234	-0.05240575224161148	-0.20926297	No	
row_5	GRHPR	glyoxylate and hydroxypyruvate reductase [Source:HGNC Symbol;Acc:HGNC:4570]	15326	-0.2112073451280594	-0.39631242	No	
row_6	HAO2	hydroxyacid oxidase 2 [Source:HGNC Symbol;Acc:HGNC:4810]	17163	-0.24007076025009155	-0.43163198	No	
row_7	MDH2	malate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6971]	23185	-0.36221760511398315	-0.5982118	No	
row_8	MTHFD2L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like [Source:HGNC Symbol;Acc:HGNC:31865]	25725	-0.5352269411087036	-0.62278974	Yes	
row_9	HAO1	hydroxyacid oxidase 1 [Source:HGNC Symbol;Acc:HGNC:4809]	25831	-0.546812891960144	-0.56116116	Yes	
row_10	ACO2	aconitase 2 [Source:HGNC Symbol;Acc:HGNC:118]	26314	-0.5983786582946777	-0.50651395	Yes	
row_11	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like [Source:HGNC Symbol;Acc:HGNC:21055]	26659	-0.6411467790603638	-0.4419512	Yes	
row_12	MDH1	malate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6970]	26877	-0.6744481921195984	-0.3689865	Yes	
row_13	ACO1	aconitase 1 [Source:HGNC Symbol;Acc:HGNC:117]	27412	-0.7809469699859619	-0.2943534	Yes	
row_14	HYI	hydroxypyruvate isomerase (putative) [Source:HGNC Symbol;Acc:HGNC:26948]	28550	-1.3294473886489868	-0.17524517	Yes	
row_15	PGP	phosphoglycolate phosphatase [Source:HGNC Symbol;Acc:HGNC:8909]	28632	-1.5141620635986328	0.0027182559	Yes	
