NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MMP2	matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]	258	1.2852399349212646	0.014474076	No	
row_1	CXCL12	C-X-C motif chemokine ligand 12 [Source:HGNC Symbol;Acc:HGNC:10672]	323	1.19166898727417	0.034021683	No	
row_2	CD99	CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]	497	1.0140070915222168	0.046509616	No	
row_3	CLDN18	claudin 18 [Source:HGNC Symbol;Acc:HGNC:2039]	530	0.9874469041824341	0.063442744	No	
row_4	MMP9	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	753	0.8673479557037354	0.07153598	No	
row_5	PECAM1	platelet and endothelial cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:8823]	837	0.8235771059989929	0.08368983	No	
row_6	VAV3	vav guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:12659]	999	0.7675412893295288	0.0920916	No	
row_7	ROCK2	Rho associated coiled-coil containing protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:10252]	1178	0.7066522240638733	0.09878573	No	
row_8	ITGB2	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]	1545	0.6185579895973206	0.097295	No	
row_9	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]	2158	0.5031676888465881	0.08509215	No	
row_10	JAM2	junctional adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:14686]	2162	0.5025434494018555	0.094174564	No	
row_11	VCL	vinculin [Source:HGNC Symbol;Acc:HGNC:12665]	3154	0.36315083503723145	0.06615837	No	
row_12	ARHGAP35	Rho GTPase activating protein 35 [Source:HGNC Symbol;Acc:HGNC:4591]	3219	0.3559284508228302	0.070427254	No	
row_13	ROCK1	Rho associated coiled-coil containing protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:10251]	3377	0.33763909339904785	0.07110958	No	
row_14	MAPK14	mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:HGNC:6876]	3996	0.2690211236476898	0.054416317	No	
row_15	CLDN23	claudin 23 [Source:HGNC Symbol;Acc:HGNC:17591]	4277	0.2403302937746048	0.04901837	No	
row_16	JAM3	junctional adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:15532]	4586	0.2100714147090912	0.042088088	No	
row_17	RASSF5	Ras association domain family member 5 [Source:HGNC Symbol;Acc:HGNC:17609]	4702	0.19991198182106018	0.04172127	No	
row_18	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	4727	0.1979750394821167	0.044501305	No	
row_19	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]	4781	0.19415904581546783	0.046197448	No	
row_20	ACTN3	actinin alpha 3 [Source:HGNC Symbol;Acc:HGNC:165]	5208	0.1606724113225937	0.034237616	No	
row_21	MYL5	myosin light chain 5 [Source:HGNC Symbol;Acc:HGNC:7586]	5770	0.11539530754089355	0.016729105	No	
row_22	MYL10	myosin light chain 10 [Source:HGNC Symbol;Acc:HGNC:29825]	5851	0.1101708635687828	0.015945617	No	
row_23	RAP1A	RAP1A, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9855]	6591	0.054670169949531555	-0.008897696	No	
row_24	CLDN5	claudin 5 [Source:HGNC Symbol;Acc:HGNC:2047]	6797	0.040253546088933945	-0.015330629	No	
row_25	CLDN15	claudin 15 [Source:HGNC Symbol;Acc:HGNC:2036]	6830	0.03803016617894173	-0.015754413	No	
row_26	RHOA	ras homolog family member A [Source:HGNC Symbol;Acc:HGNC:667]	6931	0.031457800418138504	-0.018676303	No	
row_27	MAPK13	mitogen-activated protein kinase 13 [Source:HGNC Symbol;Acc:HGNC:6875]	9132	-0.0473984032869339	-0.09474362	No	
row_28	RAC1	Rac family small GTPase 1 [Source:HGNC Symbol;Acc:HGNC:9801]	9217	-0.05155047029256821	-0.09673867	No	
row_29	MYL11	myosin light chain 11 [Source:HGNC Symbol;Acc:HGNC:29824]	10508	-0.09910798817873001	-0.14003801	No	
row_30	THY1	Thy-1 cell surface antigen [Source:HGNC Symbol;Acc:HGNC:11801]	11007	-0.11423706263303757	-0.15536459	No	
row_31	CTNNA1	catenin alpha 1 [Source:HGNC Symbol;Acc:HGNC:2509]	11125	-0.11877506226301193	-0.15728466	No	
row_32	CYBB	cytochrome b-245 beta chain [Source:HGNC Symbol;Acc:HGNC:2578]	11525	-0.12957395613193512	-0.16886884	No	
row_33	ITGA4	integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140]	11598	-0.13234582543373108	-0.16896717	No	
row_34	CLDN20	claudin 20 [Source:HGNC Symbol;Acc:HGNC:2042]	11669	-0.13449029624462128	-0.16895637	No	
row_35	CLDN22	claudin 22 [Source:HGNC Symbol;Acc:HGNC:2044]	12088	-0.14405138790607452	-0.1809403	No	
row_36	CTNND1	catenin delta 1 [Source:HGNC Symbol;Acc:HGNC:2515]	12100	-0.1445186734199524	-0.17868292	No	
row_37	NOX3	NADPH oxidase 3 [Source:HGNC Symbol;Acc:HGNC:7890]	12375	-0.15055552124977112	-0.18551227	No	
row_38	PRKCA	protein kinase C alpha [Source:HGNC Symbol;Acc:HGNC:9393]	12548	-0.15732598304748535	-0.18865092	No	
row_39	MSN	moesin [Source:HGNC Symbol;Acc:HGNC:7373]	12744	-0.15952588617801666	-0.19255367	No	
row_40	ITGB1	integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]	12998	-0.16455136239528656	-0.19839278	No	
row_41	MYL2	myosin light chain 2 [Source:HGNC Symbol;Acc:HGNC:7583]	13542	-0.1775444746017456	-0.21413565	No	
