NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLA2G5	phospholipase A2 group V [Source:HGNC Symbol;Acc:HGNC:9038]	50	2.1245930194854736	0.015202369	No	
row_1	MEF2C	myocyte enhancer factor 2C [Source:HGNC Symbol;Acc:HGNC:6996]	111	1.5989397764205933	0.025857065	No	
row_2	PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	135	1.4926397800445557	0.036963865	No	
row_3	NFATC4	nuclear factor of activated T cells 4 [Source:HGNC Symbol;Acc:HGNC:7778]	224	1.334018349647522	0.04451948	No	
row_4	CACNA1C	calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390]	240	1.3039566278457642	0.0544013	No	
row_5	MAP3K3	mitogen-activated protein kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6855]	468	1.0392990112304688	0.054717977	No	
row_6	RASA1	RAS p21 protein activator 1 [Source:HGNC Symbol;Acc:HGNC:9871]	555	0.971842348575592	0.059452754	No	
row_7	CACNA1G	calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394]	572	0.9644954800605774	0.0665896	No	
row_8	PPP3CB	protein phosphatase 3 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9315]	617	0.9408573508262634	0.07255346	No	
row_9	TGFB3	transforming growth factor beta 3 [Source:HGNC Symbol;Acc:HGNC:11769]	620	0.9396517276763916	0.07998413	No	
row_10	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	644	0.9254858493804932	0.0865635	No	
row_11	PDGFRA	platelet derived growth factor receptor alpha [Source:HGNC Symbol;Acc:HGNC:8803]	721	0.8824995160102844	0.0909366	No	
row_12	MAP2K5	mitogen-activated protein kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6845]	815	0.8369405269622803	0.09434842	No	
row_13	FGF7	fibroblast growth factor 7 [Source:HGNC Symbol;Acc:HGNC:3685]	844	0.8213433027267456	0.09992069	No	
row_14	NGF	nerve growth factor [Source:HGNC Symbol;Acc:HGNC:7808]	954	0.7811305522918701	0.102324545	No	
row_15	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	1139	0.718953013420105	0.10159557	No	
row_16	MAP3K4	mitogen-activated protein kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6856]	1271	0.6810376048088074	0.10242705	No	
row_17	MRAS	muscle RAS oncogene homolog [Source:HGNC Symbol;Acc:HGNC:7227]	1336	0.6672834157943726	0.105503984	No	
row_18	RPS6KA2	ribosomal protein S6 kinase A2 [Source:HGNC Symbol;Acc:HGNC:10431]	1378	0.6576032042503357	0.10931217	No	
row_19	MAP3K20	mitogen-activated protein kinase kinase kinase 20 [Source:HGNC Symbol;Acc:HGNC:17797]	1401	0.652507483959198	0.11374758	No	
row_20	PPP5C	protein phosphatase 5 catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9322]	1553	0.6158807873725891	0.11335587	No	
row_21	NTRK2	neurotrophic receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:8032]	1775	0.5719897747039795	0.110153064	No	
row_22	PLA2G6	phospholipase A2 group VI [Source:HGNC Symbol;Acc:HGNC:9039]	1831	0.561697781085968	0.112703525	No	
row_23	CACNA1A	calcium voltage-gated channel subunit alpha1 A [Source:HGNC Symbol;Acc:HGNC:1388]	1850	0.5568817257881165	0.116516195	No	
row_24	ATF2	activating transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:784]	1951	0.540062427520752	0.11731205	No	
row_25	FGF12	fibroblast growth factor 12 [Source:HGNC Symbol;Acc:HGNC:3668]	2134	0.5104566812515259	0.11498902	No	
row_26	MAP3K6	mitogen-activated protein kinase kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6858]	2136	0.5098574161529541	0.11902391	No	
row_27	PPP3CA	protein phosphatase 3 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9314]	2177	0.5009170770645142	0.12161647	No	
row_28	MAP3K2	mitogen-activated protein kinase kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6854]	2254	0.4882560670375824	0.12284244	No	
row_29	CDC25B	cell division cycle 25B [Source:HGNC Symbol;Acc:HGNC:1726]	2304	0.4799715578556061	0.124951415	No	
row_30	NR4A1	nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]	2356	0.47089460492134094	0.12691763	No	
row_31	ATF4	activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]	2387	0.4667870104312897	0.12958926	No	
row_32	CACNB4	calcium voltage-gated channel auxiliary subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:1404]	2594	0.4381679594516754	0.12584549	No	
row_33	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]	2747	0.4125221371650696	0.12379527	No	
row_34	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	2852	0.40094253420829773	0.123339966	No	
row_35	TAB1	TGF-beta activated kinase 1 (MAP3K7) binding protein 1 [Source:HGNC Symbol;Acc:HGNC:18157]	2987	0.3845178484916687	0.121698946	No	
row_36	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	3267	0.34992313385009766	0.114684574	No	
row_37	ELK4	ETS transcription factor ELK4 [Source:HGNC Symbol;Acc:HGNC:3326]	3323	0.3438454866409302	0.11549597	No	
row_38	FGFR3	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]	3351	0.3411893844604492	0.117270455	No	
row_39	PLA2G2A	phospholipase A2 group IIA [Source:HGNC Symbol;Acc:HGNC:9031]	3591	0.31369471549987793	0.111373	No	
row_40	KRAS	KRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:6407]	3635	0.3089580833911896	0.11232775	No	
row_41	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:11187]	3638	0.3086699843406677	0.11472146	No	
row_42	PRKACA	protein kinase cAMP-activated catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9380]	3674	0.3046915829181671	0.115923375	No	
row_43	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	3971	0.2722282111644745	0.107691176	No	
row_44	MAPK14	mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:HGNC:6876]	3996	0.2690211236476898	0.10899502	No	
row_45	NTRK1	neurotrophic receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:8031]	4140	0.2545177638530731	0.10599987	No	
row_46	FGFR1	fibroblast growth factor receptor 1 [Source:HGNC Symbol;Acc:HGNC:3688]	4242	0.2436339110136032	0.10439427	No	
row_47	GADD45G	growth arrest and DNA damage inducible gamma [Source:HGNC Symbol;Acc:HGNC:4097]	4278	0.24023179709911346	0.10508162	No	
row_48	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	4386	0.22937627136707306	0.103151284	No	
row_49	STMN1	stathmin 1 [Source:HGNC Symbol;Acc:HGNC:6510]	4395	0.22896970808506012	0.10469785	No	
row_50	FGF14	fibroblast growth factor 14 [Source:HGNC Symbol;Acc:HGNC:3671]	4478	0.219783753156662	0.103569776	No	
row_51	NRAS	NRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:7989]	4486	0.21899095177650452	0.10507184	No	
row_52	PLA2G1B	phospholipase A2 group IB [Source:HGNC Symbol;Acc:HGNC:9030]	4500	0.2180551439523697	0.106355526	No	
row_53	FGF9	fibroblast growth factor 9 [Source:HGNC Symbol;Acc:HGNC:3687]	4645	0.20448249578475952	0.10292581	No	
row_54	TAOK1	TAO kinase 1 [Source:HGNC Symbol;Acc:HGNC:29259]	4664	0.203007310628891	0.103913605	No	
row_55	MAP3K12	mitogen-activated protein kinase kinase kinase 12 [Source:HGNC Symbol;Acc:HGNC:6851]	4707	0.19964630901813507	0.10403089	No	
row_56	MAP2K7	mitogen-activated protein kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6847]	4711	0.1992356777191162	0.105515875	No	
row_57	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	4791	0.19309429824352264	0.104280196	No	
row_58	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	4980	0.17812862992286682	0.09909337	No	
row_59	CACNB1	calcium voltage-gated channel auxiliary subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:1401]	5175	0.16265954077243805	0.09357213	No	
row_60	FGF10	fibroblast growth factor 10 [Source:HGNC Symbol;Acc:HGNC:3666]	5314	0.15175758302211761	0.08993244	No	
row_61	JMJD7-PLA2G4B	JMJD7-PLA2G4B readthrough [Source:HGNC Symbol;Acc:HGNC:34449]	5764	0.11585777252912521	0.07507356	No	
