NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAP3K3	mitogen-activated protein kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6855]	468	1.0392990112304688	0.002034343	No	
row_1	CAMK2D	calcium/calmodulin dependent protein kinase II delta [Source:HGNC Symbol;Acc:HGNC:1462]	506	1.0071877241134644	0.018577816	No	
row_2	MAP2K5	mitogen-activated protein kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6845]	815	0.8369405269622803	0.02262562	No	
row_3	NGF	nerve growth factor [Source:HGNC Symbol;Acc:HGNC:7808]	954	0.7811305522918701	0.03163217	No	
row_4	RPS6KA2	ribosomal protein S6 kinase A2 [Source:HGNC Symbol;Acc:HGNC:10431]	1378	0.6576032042503357	0.028480722	No	
row_5	NTRK2	neurotrophic receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:8032]	1775	0.5719897747039795	0.02475756	No	
row_6	SH2B3	SH2B adaptor protein 3 [Source:HGNC Symbol;Acc:HGNC:29605]	1989	0.5327318906784058	0.02674108	No	
row_7	KIDINS220	kinase D interacting substrate 220 [Source:HGNC Symbol;Acc:HGNC:29508]	2059	0.5214489102363586	0.03356238	No	
row_8	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]	2158	0.5031676888465881	0.03904539	No	
row_9	CALML6	calmodulin like 6 [Source:HGNC Symbol;Acc:HGNC:24193]	2332	0.47494444251060486	0.041404795	No	
row_10	ATF4	activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]	2387	0.4667870104312897	0.047782753	No	
row_11	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]	2479	0.45514464378356934	0.05266013	No	
row_12	CALM3	calmodulin 3 [Source:HGNC Symbol;Acc:HGNC:1449]	2480	0.4551079571247101	0.060720347	No	
row_13	NTRK3	neurotrophic receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:8033]	2508	0.4506443440914154	0.06775696	No	
row_14	BCL2	BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990]	2711	0.41949695348739624	0.06811984	No	
row_15	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	2852	0.40094253420829773	0.07032309	No	
row_16	NGFR	nerve growth factor receptor [Source:HGNC Symbol;Acc:HGNC:7809]	3006	0.38176247477531433	0.07173186	No	
row_17	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	3267	0.34992313385009766	0.06883351	No	
