NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AR	androgen receptor [Source:HGNC Symbol;Acc:HGNC:644]	73	1.8056048154830933	0.034341242	Yes	
row_1	SMC1A	structural maintenance of chromosomes 1A [Source:HGNC Symbol;Acc:HGNC:11111]	118	1.567811369895935	0.06483772	Yes	
row_2	ADCY3	adenylate cyclase 3 [Source:HGNC Symbol;Acc:HGNC:234]	129	1.5117733478546143	0.095378056	Yes	
row_3	CAMK2D	calcium/calmodulin dependent protein kinase II delta [Source:HGNC Symbol;Acc:HGNC:1462]	506	1.0071877241134644	0.10281012	Yes	
row_4	PPP3CB	protein phosphatase 3 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9315]	617	0.9408573508262634	0.1181882	Yes	
row_5	ADCY8	adenylate cyclase 8 [Source:HGNC Symbol;Acc:HGNC:239]	916	0.7978599667549133	0.12407055	Yes	
row_6	RPS6KA2	ribosomal protein S6 kinase A2 [Source:HGNC Symbol;Acc:HGNC:10431]	1378	0.6576032042503357	0.121387325	Yes	
row_7	ADCY7	adenylate cyclase 7 [Source:HGNC Symbol;Acc:HGNC:238]	1393	0.6543310880661011	0.1342677	Yes	
row_8	BUB1	BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]	1428	0.6442960500717163	0.14624369	Yes	
row_9	ESPL1	extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]	1509	0.6261672973632812	0.15624075	Yes	
row_10	CCNE2	cyclin E2 [Source:HGNC Symbol;Acc:HGNC:1590]	1519	0.6244811415672302	0.16868605	Yes	
row_11	ADCY1	adenylate cyclase 1 [Source:HGNC Symbol;Acc:HGNC:232]	1524	0.622811496257782	0.18127206	Yes	
row_12	IGF1	insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]	1845	0.5578576326370239	0.18148115	Yes	
row_13	PPP2R5A	protein phosphatase 2 regulatory subunit B'alpha [Source:HGNC Symbol;Acc:HGNC:9309]	1885	0.5521842837333679	0.19140019	Yes	
row_14	CDC25C	cell division cycle 25C [Source:HGNC Symbol;Acc:HGNC:1727]	1903	0.5480252504348755	0.20200352	Yes	
row_15	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1 [Source:HGNC Symbol;Acc:HGNC:29650]	1978	0.5346454381942749	0.21034032	Yes	
row_16	FBXO5	F-box protein 5 [Source:HGNC Symbol;Acc:HGNC:13584]	2082	0.5183995962142944	0.21733113	Yes	
row_17	PPP3CA	protein phosphatase 3 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9314]	2177	0.5009170770645142	0.2242794	Yes	
row_18	ADCY4	adenylate cyclase 4 [Source:HGNC Symbol;Acc:HGNC:235]	2267	0.4854625463485718	0.23108673	Yes	
row_19	CCNB2	cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]	2270	0.4852316379547119	0.24093153	Yes	
row_20	CALML6	calmodulin like 6 [Source:HGNC Symbol;Acc:HGNC:24193]	2332	0.47494444251060486	0.24850303	Yes	
row_21	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	2360	0.47049063444137573	0.25717244	Yes	
row_22	CALM3	calmodulin 3 [Source:HGNC Symbol;Acc:HGNC:1449]	2480	0.4551079571247101	0.2623105	Yes	
row_23	PPP2R5D	protein phosphatase 2 regulatory subunit B'delta [Source:HGNC Symbol;Acc:HGNC:9312]	2774	0.4094711244106293	0.26043174	Yes	
row_24	CDK1	cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]	2959	0.3871506154537201	0.26190835	Yes	
row_25	CCNB1	cyclin B1 [Source:HGNC Symbol;Acc:HGNC:1579]	2963	0.3870159983634949	0.26971135	Yes	
row_26	ANAPC4	anaphase promoting complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:19990]	2988	0.3844722807407379	0.27672803	Yes	
row_27	IGF1R	insulin like growth factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:5465]	3192	0.3587786555290222	0.27696055	Yes	
row_28	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	3292	0.34676122665405273	0.28058413	Yes	
row_29	SMC3	structural maintenance of chromosomes 3 [Source:HGNC Symbol;Acc:HGNC:2468]	3335	0.3427327573299408	0.28611854	Yes	
row_30	AURKA	aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]	3396	0.3354605436325073	0.29087496	Yes	
row_31	ANAPC2	anaphase promoting complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19989]	3598	0.31249043345451355	0.2902316	Yes	
row_32	CDK2	cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]	3671	0.30507218837738037	0.29394746	Yes	
row_33	PRKACA	protein kinase cAMP-activated catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9380]	3674	0.3046915829181671	0.30010328	Yes	
row_34	CAMK2B	calcium/calmodulin dependent protein kinase II beta [Source:HGNC Symbol;Acc:HGNC:1461]	3922	0.27733778953552246	0.29713315	Yes	
row_35	STAG3	stromal antigen 3 [Source:HGNC Symbol;Acc:HGNC:11356]	3984	0.2701730728149414	0.30052057	Yes	
row_36	CDC23	cell division cycle 23 [Source:HGNC Symbol;Acc:HGNC:1724]	3994	0.2692045569419861	0.30570653	Yes	
row_37	MAD2L1	mitotic arrest deficient 2 like 1 [Source:HGNC Symbol;Acc:HGNC:6763]	4403	0.22818243503570557	0.29610223	No	
row_38	ADCY9	adenylate cyclase 9 [Source:HGNC Symbol;Acc:HGNC:240]	4680	0.20172572135925293	0.29057306	No	
row_39	SGO1	shugoshin 1 [Source:HGNC Symbol;Acc:HGNC:25088]	5107	0.16766388714313507	0.27910277	No	
row_40	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma [Source:HGNC Symbol;Acc:HGNC:9311]	5176	0.1626138985157013	0.28004768	No	
row_41	PPP2R5E	protein phosphatase 2 regulatory subunit B'epsilon [Source:HGNC Symbol;Acc:HGNC:9313]	5436	0.1426542103290558	0.27390596	No	
