NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	INPP5B	inositol polyphosphate-5-phosphatase B [Source:HGNC Symbol;Acc:HGNC:6077]	902	0.8023747801780701	-0.008621986	No	
row_1	PLCD1	phospholipase C delta 1 [Source:HGNC Symbol;Acc:HGNC:9060]	990	0.7692993879318237	0.010273682	No	
row_2	PIP4K2A	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha [Source:HGNC Symbol;Acc:HGNC:8997]	1033	0.7560285925865173	0.030362427	No	
row_3	IMPA2	inositol monophosphatase 2 [Source:HGNC Symbol;Acc:HGNC:6051]	1172	0.707645058631897	0.04571927	No	
row_4	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]	2158	0.5031676888465881	0.025668021	No	
row_5	CALML6	calmodulin like 6 [Source:HGNC Symbol;Acc:HGNC:24193]	2332	0.47494444251060486	0.033168003	No	
row_6	CALM3	calmodulin 3 [Source:HGNC Symbol;Acc:HGNC:1449]	2480	0.4551079571247101	0.04101037	No	
row_7	INPP4A	inositol polyphosphate-4-phosphatase type I A [Source:HGNC Symbol;Acc:HGNC:6074]	2497	0.45250561833381653	0.0533532	No	
row_8	PTEN	phosphatase and tensin homolog [Source:HGNC Symbol;Acc:HGNC:9588]	2876	0.3979674279689789	0.05149964	No	
row_9	PIKFYVE	phosphoinositide kinase, FYVE-type zinc finger containing [Source:HGNC Symbol;Acc:HGNC:23785]	3412	0.3337399363517761	0.042332254	No	
row_10	ITPK1	inositol-tetrakisphosphate 1-kinase [Source:HGNC Symbol;Acc:HGNC:6177]	4643	0.20462442934513092	0.0052134576	No	
row_11	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]	4781	0.19415904581546783	0.005965016	No	
row_12	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase [Source:HGNC Symbol;Acc:HGNC:1769]	5901	0.10608609020709991	-0.03008701	No	
row_13	DGKI	diacylglycerol kinase iota [Source:HGNC Symbol;Acc:HGNC:2855]	6382	0.06888150423765182	-0.04488522	No	
row_14	PLCB3	phospholipase C beta 3 [Source:HGNC Symbol;Acc:HGNC:9056]	6794	0.040557365864515305	-0.058081433	No	
row_15	INPP4B	inositol polyphosphate-4-phosphatase type II B [Source:HGNC Symbol;Acc:HGNC:6075]	7019	0.026787566021084785	-0.06514	No	
row_16	ITPR2	inositol 1,4,5-trisphosphate receptor type 2 [Source:HGNC Symbol;Acc:HGNC:6181]	7350	0.007922754622995853	-0.07643807	No	
row_17	INPP5A	inositol polyphosphate-5-phosphatase A [Source:HGNC Symbol;Acc:HGNC:6076]	8317	-2.4673360167071223E-4	-0.1101648	No	
row_18	INPP5K	inositol polyphosphate-5-phosphatase K [Source:HGNC Symbol;Acc:HGNC:33882]	8397	-0.005510551854968071	-0.11276645	No	
row_19	PLCD3	phospholipase C delta 3 [Source:HGNC Symbol;Acc:HGNC:9061]	9424	-0.062143318355083466	-0.14682369	No	
row_20	DGKE	diacylglycerol kinase epsilon [Source:HGNC Symbol;Acc:HGNC:2852]	9864	-0.07878261059522629	-0.15990783	No	
row_21	SYNJ1	synaptojanin 1 [Source:HGNC Symbol;Acc:HGNC:11503]	10835	-0.10710610449314117	-0.19072753	No	
row_22	INPP5E	inositol polyphosphate-5-phosphatase E [Source:HGNC Symbol;Acc:HGNC:21474]	11634	-0.1333790421485901	-0.21479173	No	
row_23	PLCE1	phospholipase C epsilon 1 [Source:HGNC Symbol;Acc:HGNC:17175]	12420	-0.15199971199035645	-0.23787105	No	
row_24	PRKCA	protein kinase C alpha [Source:HGNC Symbol;Acc:HGNC:9393]	12548	-0.15732598304748535	-0.23782045	No	
row_25	CALM1	calmodulin 1 [Source:HGNC Symbol;Acc:HGNC:1442]	12596	-0.15775281190872192	-0.23496398	No	
row_26	PI4KA	phosphatidylinositol 4-kinase alpha [Source:HGNC Symbol;Acc:HGNC:8983]	12899	-0.16247591376304626	-0.24087773	No	
row_27	PIP5K1B	phosphatidylinositol-4-phosphate 5-kinase type 1 beta [Source:HGNC Symbol;Acc:HGNC:8995]	13002	-0.1646277904510498	-0.23974591	No	
row_28	DGKH	diacylglycerol kinase eta [Source:HGNC Symbol;Acc:HGNC:2854]	14605	-0.19725580513477325	-0.29006544	No	
row_29	INPP5D	inositol polyphosphate-5-phosphatase D [Source:HGNC Symbol;Acc:HGNC:6079]	14857	-0.20237821340560913	-0.29306054	No	
row_30	PRKCG	protein kinase C gamma [Source:HGNC Symbol;Acc:HGNC:9402]	15130	-0.208149254322052	-0.29662445	No	
row_31	SYNJ2	synaptojanin 2 [Source:HGNC Symbol;Acc:HGNC:11504]	15303	-0.21078261733055115	-0.29662117	No	
row_32	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]	15327	-0.21121607720851898	-0.2914023	No	
row_33	CALML5	calmodulin like 5 [Source:HGNC Symbol;Acc:HGNC:18180]	18657	-0.26225724816322327	-0.40017724	No	
row_34	PIK3C2G	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma [Source:HGNC Symbol;Acc:HGNC:8973]	18779	-0.2637852728366852	-0.39688182	No	
