NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RXRA	retinoid X receptor alpha [Source:HGNC Symbol;Acc:HGNC:10477]	256	1.2859317064285278	0.021994002	No	
row_1	FN1	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]	763	0.8614173531532288	0.025042137	No	
row_2	CCNE2	cyclin E2 [Source:HGNC Symbol;Acc:HGNC:1590]	1519	0.6244811415672302	0.013692036	No	
row_3	APAF1	apoptotic peptidase activating factor 1 [Source:HGNC Symbol;Acc:HGNC:576]	1902	0.5480958819389343	0.013533939	No	
row_4	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	1985	0.5334262847900391	0.02350254	No	
row_5	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]	2158	0.5031676888465881	0.029599302	No	
row_6	ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	2604	0.4369778335094452	0.024567235	No	
row_7	BCL2	BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990]	2711	0.41949695348739624	0.030956585	No	
row_8	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	2852	0.40094253420829773	0.03571187	No	
row_9	PTEN	phosphatase and tensin homolog [Source:HGNC Symbol;Acc:HGNC:9588]	2876	0.3979674279689789	0.044482626	No	
row_10	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	3267	0.34992313385009766	0.039277483	No	
row_11	LAMA2	laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]	3334	0.3427756726741791	0.04521838	No	
row_12	SKP2	S-phase kinase associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10901]	3452	0.32855984568595886	0.04903573	No	
row_13	PIAS3	protein inhibitor of activated STAT 3 [Source:HGNC Symbol;Acc:HGNC:16861]	3567	0.31686297059059143	0.052676484	No	
row_14	CDK2	cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]	3671	0.30507218837738037	0.05641783	No	
row_15	LAMC1	laminin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:6492]	3766	0.29483264684677124	0.060227223	No	
row_16	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	3971	0.2722282111644745	0.05965028	No	
row_17	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]	4781	0.19415904581546783	0.036061272	No	
row_18	CASP9	caspase 9 [Source:HGNC Symbol;Acc:HGNC:1511]	4803	0.19214439392089844	0.03995026	No	
row_19	LAMC3	laminin subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:6494]	4811	0.1911967694759369	0.044305496	No	
row_20	PIAS1	protein inhibitor of activated STAT 1 [Source:HGNC Symbol;Acc:HGNC:2752]	5119	0.1663045734167099	0.037582267	No	
row_21	E2F1	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	5135	0.16529597342014313	0.041034933	No	
row_22	RXRB	retinoid X receptor beta [Source:HGNC Symbol;Acc:HGNC:10478]	5721	0.11846083402633667	0.023449577	No	
