NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SRSF6	serine and arginine rich splicing factor 6 [Source:HGNC Symbol;Acc:HGNC:10788]	287	1.2354758977890015	0.019519836	Yes	
row_1	SF3B1	splicing factor 3b subunit 1 [Source:HGNC Symbol;Acc:HGNC:10768]	592	0.9547183513641357	0.03172743	Yes	
row_2	SRSF1	serine and arginine rich splicing factor 1 [Source:HGNC Symbol;Acc:HGNC:10780]	679	0.9030972123146057	0.050326567	Yes	
row_3	RBMX	RNA binding motif protein X-linked [Source:HGNC Symbol;Acc:HGNC:9910]	836	0.8240090608596802	0.06458449	Yes	
row_4	HNRNPM	heterogeneous nuclear ribonucleoprotein M [Source:HGNC Symbol;Acc:HGNC:5046]	839	0.823213517665863	0.08421101	Yes	
row_5	PRPF38A	pre-mRNA processing factor 38A [Source:HGNC Symbol;Acc:HGNC:25930]	984	0.7707930207252502	0.09761548	Yes	
row_6	LSM8	LSM8 homolog, U6 small nuclear RNA associated [Source:HGNC Symbol;Acc:HGNC:20471]	1008	0.7641151547431946	0.11509331	Yes	
row_7	ACIN1	apoptotic chromatin condensation inducer 1 [Source:HGNC Symbol;Acc:HGNC:17066]	1038	0.7536975145339966	0.13211198	Yes	
row_8	SF3A1	splicing factor 3a subunit 1 [Source:HGNC Symbol;Acc:HGNC:10765]	1074	0.7411147952079773	0.14861968	Yes	
row_9	RBM22	RNA binding motif protein 22 [Source:HGNC Symbol;Acc:HGNC:25503]	1167	0.7113354802131653	0.16242076	Yes	
row_10	DDX46	DEAD-box helicase 46 [Source:HGNC Symbol;Acc:HGNC:18681]	1213	0.6960525512695312	0.17750044	Yes	
row_11	HNRNPA1	heterogeneous nuclear ribonucleoprotein A1 [Source:HGNC Symbol;Acc:HGNC:5031]	1320	0.6706989407539368	0.18983945	Yes	
row_12	SF3A2	splicing factor 3a subunit 2 [Source:HGNC Symbol;Acc:HGNC:10766]	1358	0.6623890399932861	0.20439357	Yes	
row_13	SF3B3	splicing factor 3b subunit 3 [Source:HGNC Symbol;Acc:HGNC:10770]	1580	0.6089502573013306	0.21123192	Yes	
row_14	HNRNPU	heterogeneous nuclear ribonucleoprotein U [Source:HGNC Symbol;Acc:HGNC:5048]	1598	0.606174886226654	0.22514072	Yes	
row_15	RBM25	RNA binding motif protein 25 [Source:HGNC Symbol;Acc:HGNC:23244]	1689	0.5892988443374634	0.23609188	Yes	
row_16	DDX42	DEAD-box helicase 42 [Source:HGNC Symbol;Acc:HGNC:18676]	1876	0.5530732870101929	0.24281776	Yes	
row_17	PRPF38B	pre-mRNA processing factor 38B [Source:HGNC Symbol;Acc:HGNC:25512]	1980	0.5339574813842773	0.25199	Yes	
row_18	SRSF5	serine and arginine rich splicing factor 5 [Source:HGNC Symbol;Acc:HGNC:10787]	2192	0.49800434708595276	0.25652367	Yes	
row_19	SRSF10	serine and arginine rich splicing factor 10 [Source:HGNC Symbol;Acc:HGNC:16713]	2294	0.4816775321960449	0.264515	Yes	
row_20	HNRNPA3	heterogeneous nuclear ribonucleoprotein A3 [Source:HGNC Symbol;Acc:HGNC:24941]	2309	0.4794570505619049	0.27549687	Yes	
row_21	DDX5	DEAD-box helicase 5 [Source:HGNC Symbol;Acc:HGNC:2746]	2330	0.4751514196395874	0.2861658	Yes	
row_22	SRSF8	serine and arginine rich splicing factor 8 [Source:HGNC Symbol;Acc:HGNC:16988]	2370	0.46931013464927673	0.29603028	Yes	
row_23	U2SURP	U2 snRNP associated SURP domain containing [Source:HGNC Symbol;Acc:HGNC:30855]	2471	0.456432968378067	0.30345258	Yes	
row_24	MAGOHB	mago homolog B, exon junction complex subunit [Source:HGNC Symbol;Acc:HGNC:25504]	2598	0.4376797378063202	0.3095166	Yes	
row_25	TRA2B	transformer 2 beta homolog [Source:HGNC Symbol;Acc:HGNC:10781]	2682	0.4241657257080078	0.3167616	Yes	
row_26	THOC1	THO complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19070]	2731	0.4160306751728058	0.32503644	Yes	
row_27	SRSF4	serine and arginine rich splicing factor 4 [Source:HGNC Symbol;Acc:HGNC:10786]	2799	0.40634968876838684	0.33241495	Yes	
row_28	SNRNP70	small nuclear ribonucleoprotein U1 subunit 70 [Source:HGNC Symbol;Acc:HGNC:11150]	2875	0.3979927897453308	0.3393136	Yes	
row_29	HNRNPK	heterogeneous nuclear ribonucleoprotein K [Source:HGNC Symbol;Acc:HGNC:5044]	2904	0.39365050196647644	0.34775266	Yes	
row_30	XAB2	XPA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:14089]	3122	0.3672637939453125	0.34894827	Yes	
row_31	SNW1	SNW domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16696]	3184	0.35972025990486145	0.355421	Yes	
row_32	SF3A3	splicing factor 3a subunit 3 [Source:HGNC Symbol;Acc:HGNC:10767]	3317	0.3444862365722656	0.35904533	Yes	
row_33	SLU7	SLU7 homolog, splicing factor [Source:HGNC Symbol;Acc:HGNC:16939]	3361	0.33996960520744324	0.3656752	Yes	
row_34	DHX15	DEAH-box helicase 15 [Source:HGNC Symbol;Acc:HGNC:2738]	3398	0.33542174100875854	0.3724412	Yes	
row_35	SRSF2	serine and arginine rich splicing factor 2 [Source:HGNC Symbol;Acc:HGNC:10783]	3461	0.3279106616973877	0.37811786	Yes	
row_36	SNRPA	small nuclear ribonucleoprotein polypeptide A [Source:HGNC Symbol;Acc:HGNC:11151]	3481	0.3261243999004364	0.3852561	Yes	
row_37	HNRNPA1L2	heterogeneous nuclear ribonucleoprotein A1 like 2 [Source:HGNC Symbol;Acc:HGNC:27067]	3514	0.32230129837989807	0.3918481	Yes	
row_38	PRPF6	pre-mRNA processing factor 6 [Source:HGNC Symbol;Acc:HGNC:15860]	3594	0.3131803274154663	0.39657757	Yes	
row_39	SMNDC1	survival motor neuron domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16900]	3693	0.30273184180259705	0.40039232	Yes	
row_40	PCBP1	poly(rC) binding protein 1 [Source:HGNC Symbol;Acc:HGNC:8647]	3768	0.2945587635040283	0.4048512	Yes	
row_41	SRSF3	serine and arginine rich splicing factor 3 [Source:HGNC Symbol;Acc:HGNC:10785]	3779	0.2930901348590851	0.41151392	Yes	
row_42	SNRNP200	small nuclear ribonucleoprotein U5 subunit 200 [Source:HGNC Symbol;Acc:HGNC:30859]	3803	0.29043325781822205	0.41765827	Yes	
row_43	ISY1	ISY1 splicing factor homolog [Source:HGNC Symbol;Acc:HGNC:29201]	3847	0.2860345244407654	0.4229977	Yes	
row_44	U2AF2	U2 small nuclear RNA auxiliary factor 2 [Source:HGNC Symbol;Acc:HGNC:23156]	3867	0.2829248905181885	0.42910236	Yes	
row_45	CDC5L	cell division cycle 5 like [Source:HGNC Symbol;Acc:HGNC:1743]	3876	0.2818811535835266	0.43556684	Yes	
row_46	TCERG1	transcription elongation regulator 1 [Source:HGNC Symbol;Acc:HGNC:15630]	3935	0.2760768532752991	0.44014326	Yes	
row_47	PLRG1	pleiotropic regulator 1 [Source:HGNC Symbol;Acc:HGNC:9089]	4054	0.2631983160972595	0.44231245	Yes	
row_48	LSM2	LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:13940]	4196	0.2488454431295395	0.44333357	Yes	
row_49	SRSF7	serine and arginine rich splicing factor 7 [Source:HGNC Symbol;Acc:HGNC:10789]	4249	0.2427452653646469	0.4473224	Yes	
row_50	CWC15	CWC15 spliceosome associated protein homolog [Source:HGNC Symbol;Acc:HGNC:26939]	4250	0.24256911873817444	0.45312616	Yes	
row_51	PPIH	peptidylprolyl isomerase H [Source:HGNC Symbol;Acc:HGNC:14651]	4378	0.22998954355716705	0.45418593	Yes	
row_52	RBM17	RNA binding motif protein 17 [Source:HGNC Symbol;Acc:HGNC:16944]	4409	0.22731593251228333	0.45857525	Yes	
row_53	CHERP	calcium homeostasis endoplasmic reticulum protein [Source:HGNC Symbol;Acc:HGNC:16930]	4498	0.21819111704826355	0.4607171	Yes	
row_54	NCBP1	nuclear cap binding protein subunit 1 [Source:HGNC Symbol;Acc:HGNC:7658]	4618	0.2070855349302292	0.46150875	Yes	
row_55	USP39	ubiquitin specific peptidase 39 [Source:HGNC Symbol;Acc:HGNC:20071]	4622	0.20679908990859985	0.46635175	Yes	
row_56	WBP11	WW domain binding protein 11 [Source:HGNC Symbol;Acc:HGNC:16461]	4660	0.20341937243938446	0.4699244	Yes	
row_57	DHX38	DEAH-box helicase 38 [Source:HGNC Symbol;Acc:HGNC:17211]	4786	0.1935766041278839	0.4701829	Yes	
row_58	SART1	spliceosome associated factor 1, recruiter of U4/U6.U5 tri-snRNP [Source:HGNC Symbol;Acc:HGNC:10538]	5036	0.1734890341758728	0.4656227	Yes	
row_59	CRNKL1	crooked neck pre-mRNA splicing factor 1 [Source:HGNC Symbol;Acc:HGNC:15762]	5045	0.1724596917629242	0.46946913	Yes	
row_60	PRPF3	pre-mRNA processing factor 3 [Source:HGNC Symbol;Acc:HGNC:17348]	5060	0.17109884321689606	0.47307312	Yes	
row_61	TRA2A	transformer 2 alpha homolog [Source:HGNC Symbol;Acc:HGNC:16645]	5130	0.16563154757022858	0.47462213	Yes	
row_62	SYF2	SYF2 pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:19824]	5245	0.15713103115558624	0.47439346	No	
row_63	PRPF4	pre-mRNA processing factor 4 [Source:HGNC Symbol;Acc:HGNC:17349]	5609	0.12746375799179077	0.4647438	No	
row_64	DDX39B	DExD-box helicase 39B [Source:HGNC Symbol;Acc:HGNC:13917]	5727	0.11817406117916107	0.46347806	No	
row_65	THOC2	THO complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19073]	5744	0.11713974922895432	0.46572104	No	
row_66	LSM6	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17017]	5788	0.11398717015981674	0.466944	No	
row_67	LSM7	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:20470]	5802	0.11312806606292725	0.46919593	No	
row_68	THOC3	THO complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:19072]	6144	0.08800328522920609	0.45937178	No	
row_69	PHF5A	PHD finger protein 5A [Source:HGNC Symbol;Acc:HGNC:18000]	6190	0.08456724882125854	0.45982087	No	
row_70	SF3B2	splicing factor 3b subunit 2 [Source:HGNC Symbol;Acc:HGNC:10769]	6587	0.054938990622758865	0.44728145	No	
row_71	CCDC12	coiled-coil domain containing 12 [Source:HGNC Symbol;Acc:HGNC:28332]	6809	0.039698127657175064	0.4404997	No	
row_72	U2AF1	U2 small nuclear RNA auxiliary factor 1 [Source:HGNC Symbol;Acc:HGNC:12453]	7158	0.018855219706892967	0.42877617	No	
row_73	SNRPD1	small nuclear ribonucleoprotein D1 polypeptide [Source:HGNC Symbol;Acc:HGNC:11158]	8313	-1.7754123837221414E-4	0.38840818	No	
row_74	PRPF8	pre-mRNA processing factor 8 [Source:HGNC Symbol;Acc:HGNC:17340]	8364	-0.003192504169419408	0.38673535	No	
row_75	DDX23	DEAD-box helicase 23 [Source:HGNC Symbol;Acc:HGNC:17347]	8441	-0.007593624759465456	0.3842582	No	
row_76	ALYREF	Aly/REF export factor [Source:HGNC Symbol;Acc:HGNC:19071]	8503	-0.011721419170498848	0.3824046	No	
row_77	SNRNP40	small nuclear ribonucleoprotein U5 subunit 40 [Source:HGNC Symbol;Acc:HGNC:30857]	8665	-0.020809311419725418	0.37726995	No	
row_78	SNRPE	small nuclear ribonucleoprotein polypeptide E [Source:HGNC Symbol;Acc:HGNC:11161]	8843	-0.031533125787973404	0.37183216	No	
row_79	PRPF19	pre-mRNA processing factor 19 [Source:HGNC Symbol;Acc:HGNC:17896]	9188	-0.050366442650556564	0.36100253	No	
row_80	MAGOH	mago homolog, exon junction complex subunit [Source:HGNC Symbol;Acc:HGNC:6815]	9392	-0.06048191711306572	0.35534778	No	
row_81	HNRNPC	heterogeneous nuclear ribonucleoprotein C [Source:HGNC Symbol;Acc:HGNC:5035]	9464	-0.06399772316217422	0.3543951	No	
row_82	PPIE	peptidylprolyl isomerase E [Source:HGNC Symbol;Acc:HGNC:9258]	9502	-0.06587893515825272	0.3546769	No	
row_83	LSM3	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17874]	9514	-0.0663674995303154	0.35588002	No	
row_84	AQR	aquarius intron-binding spliceosomal factor [Source:HGNC Symbol;Acc:HGNC:29513]	9556	-0.0687657818198204	0.35609096	No	
row_85	HSPA1B	heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]	9825	-0.07668673247098923	0.3485499	No	
row_86	SNRPB	small nuclear ribonucleoprotein polypeptides B and B1 [Source:HGNC Symbol;Acc:HGNC:11153]	10474	-0.09758524596691132	0.32821473	No	
row_87	SNRPB2	small nuclear ribonucleoprotein polypeptide B2 [Source:HGNC Symbol;Acc:HGNC:11155]	10704	-0.10310787707567215	0.32267025	No	
row_88	PRPF40B	pre-mRNA processing factor 40 homolog B [Source:HGNC Symbol;Acc:HGNC:25031]	10707	-0.10315398126840591	0.32506838	No	
row_89	NCBP2	nuclear cap binding protein subunit 2 [Source:HGNC Symbol;Acc:HGNC:7659]	11588	-0.13196764886379242	0.29743946	No	
row_90	EIF4A3	eukaryotic translation initiation factor 4A3 [Source:HGNC Symbol;Acc:HGNC:18683]	11868	-0.13821128010749817	0.29098564	No	
row_91	CDC40	cell division cycle 40 [Source:HGNC Symbol;Acc:HGNC:17350]	12163	-0.14599381387233734	0.28419325	No	
row_92	DHX8	DEAH-box helicase 8 [Source:HGNC Symbol;Acc:HGNC:2749]	12428	-0.15240676701068878	0.27860385	No	
row_93	SNRPD3	small nuclear ribonucleoprotein D3 polypeptide [Source:HGNC Symbol;Acc:HGNC:11160]	13617	-0.1787705272436142	0.24131946	No	
row_94	PRPF31	pre-mRNA processing factor 31 [Source:HGNC Symbol;Acc:HGNC:15446]	13917	-0.18429993093013763	0.2352687	No	
row_95	LSM5	LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17162]	14711	-0.19889682531356812	0.21228477	No	
row_96	HNRNPA1P60	heterogeneous nuclear ribonucleoprotein A1 pseudogene 60 [Source:HGNC Symbol;Acc:HGNC:48790]	15164	-0.20861411094665527	0.2014631	No	
row_97	BUD31	BUD31 homolog [Source:HGNC Symbol;Acc:HGNC:29629]	15555	-0.2157593071460724	0.19298144	No	
row_98	PUF60	poly(U) binding splicing factor 60 [Source:HGNC Symbol;Acc:HGNC:17042]	16019	-0.22229190170764923	0.1821022	No	
row_99	SF3B5	splicing factor 3b subunit 5 [Source:HGNC Symbol;Acc:HGNC:21083]	16959	-0.23713813722133636	0.15492551	No	
row_100	SNRPC	small nuclear ribonucleoprotein polypeptide C [Source:HGNC Symbol;Acc:HGNC:11157]	17142	-0.23980502784252167	0.15429597	No	
row_101	RBM8A	RNA binding motif protein 8A [Source:HGNC Symbol;Acc:HGNC:9905]	17205	-0.24068313837051392	0.15788558	No	
row_102	ZMAT2	zinc finger matrin-type 2 [Source:HGNC Symbol;Acc:HGNC:26433]	17486	-0.24469836056232452	0.15394463	No	
row_103	HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	18048	-0.25293222069740295	0.14037001	No	
