NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BMPR1B	bone morphogenetic protein receptor type 1B [Source:HGNC Symbol;Acc:HGNC:1077]	12	2.946901798248291	0.06836195	Yes	
row_1	PITX2	paired like homeodomain 2 [Source:HGNC Symbol;Acc:HGNC:9005]	78	1.7711820602416992	0.10743089	Yes	
row_2	THBS1	thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]	102	1.662447214126587	0.1454292	Yes	
row_3	SMAD1	SMAD family member 1 [Source:HGNC Symbol;Acc:HGNC:6767]	265	1.2715204954147339	0.1694473	Yes	
row_4	RBL2	RB transcriptional corepressor like 2 [Source:HGNC Symbol;Acc:HGNC:9894]	309	1.2075053453445435	0.19612849	Yes	
row_5	ACVRL1	activin A receptor like type 1 [Source:HGNC Symbol;Acc:HGNC:175]	418	1.0916765928268433	0.21783547	Yes	
row_6	SMAD4	SMAD family member 4 [Source:HGNC Symbol;Acc:HGNC:6770]	450	1.0565905570983887	0.2414135	Yes	
row_7	TGFB3	transforming growth factor beta 3 [Source:HGNC Symbol;Acc:HGNC:11769]	620	0.9396517276763916	0.2574412	Yes	
row_8	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	644	0.9254858493804932	0.27823868	Yes	
row_9	DCN	decorin [Source:HGNC Symbol;Acc:HGNC:2705]	694	0.8958948850631714	0.29743722	Yes	
row_10	SP1	Sp1 transcription factor [Source:HGNC Symbol;Acc:HGNC:11205]	707	0.8920385837554932	0.31783834	Yes	
row_11	SMAD5	SMAD family member 5 [Source:HGNC Symbol;Acc:HGNC:6771]	733	0.8751926422119141	0.33739212	Yes	
row_12	SMAD7	SMAD family member 7 [Source:HGNC Symbol;Acc:HGNC:6773]	786	0.8500644564628601	0.35541618	Yes	
row_13	RBL1	RB transcriptional corepressor like 1 [Source:HGNC Symbol;Acc:HGNC:9893]	1093	0.734139621257782	0.36186117	Yes	
row_14	ROCK2	Rho associated coiled-coil containing protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:10252]	1178	0.7066522240638733	0.37542003	Yes	
row_15	GDF6	growth differentiation factor 6 [Source:HGNC Symbol;Acc:HGNC:4221]	1255	0.6863008737564087	0.3887834	Yes	
row_16	THBS4	thrombospondin 4 [Source:HGNC Symbol;Acc:HGNC:11788]	1329	0.6686638593673706	0.40183988	Yes	
row_17	COMP	cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:HGNC:2227]	1387	0.6547864675521851	0.41513145	Yes	
row_18	ACVR2A	activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]	2060	0.5213579535484314	0.40382406	Yes	
row_19	EP300	E1A binding protein p300 [Source:HGNC Symbol;Acc:HGNC:3373]	2560	0.44278183579444885	0.39672634	Yes	
row_20	THBS2	thrombospondin 2 [Source:HGNC Symbol;Acc:HGNC:11786]	2671	0.42764365673065186	0.4028648	Yes	
row_21	ACVR1	activin A receptor type 1 [Source:HGNC Symbol;Acc:HGNC:171]	2792	0.40700042247772217	0.40817213	Yes	
row_22	CREBBP	CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]	2795	0.40690380334854126	0.41759947	Yes	
row_23	BMP6	bone morphogenetic protein 6 [Source:HGNC Symbol;Acc:HGNC:1073]	3007	0.38163837790489197	0.41913578	Yes	
row_24	ROCK1	Rho associated coiled-coil containing protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:10251]	3377	0.33763909339904785	0.4141255	Yes	
row_25	TFDP1	transcription factor Dp-1 [Source:HGNC Symbol;Acc:HGNC:11749]	3391	0.33601415157318115	0.42151397	Yes	
row_26	SMAD9	SMAD family member 9 [Source:HGNC Symbol;Acc:HGNC:6774]	3472	0.32692044973373413	0.4263496	Yes	
row_27	SMAD6	SMAD family member 6 [Source:HGNC Symbol;Acc:HGNC:6772]	3785	0.29252296686172485	0.42227757	Yes	
row_28	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	3971	0.2722282111644745	0.42216855	Yes	
row_29	ZFYVE16	zinc finger FYVE-type containing 16 [Source:HGNC Symbol;Acc:HGNC:20756]	4159	0.252833753824234	0.42153698	Yes	
row_30	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	4195	0.2489089071750641	0.42612383	Yes	
