NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTSK	cathepsin K [Source:HGNC Symbol;Acc:HGNC:2536]	793	0.8480554223060608	-0.0056865206	No	
row_1	TIRAP	TIR domain containing adaptor protein [Source:HGNC Symbol;Acc:HGNC:17192]	826	0.8305467963218689	0.014769387	No	
row_2	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	867	0.8141356706619263	0.034519397	No	
row_3	LBP	lipopolysaccharide binding protein [Source:HGNC Symbol;Acc:HGNC:6517]	1968	0.5365387201309204	0.010011141	No	
row_4	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]	2158	0.5031676888465881	0.016475827	No	
row_5	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	2852	0.40094253420829773	0.0026701204	No	
row_6	TICAM2	TIR domain containing adaptor molecule 2 [Source:HGNC Symbol;Acc:HGNC:21354]	2970	0.385800838470459	0.0086025065	No	
row_7	TAB1	TGF-beta activated kinase 1 (MAP3K7) binding protein 1 [Source:HGNC Symbol;Acc:HGNC:18157]	2987	0.3845178484916687	0.018031552	No	
row_8	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	3267	0.34992313385009766	0.017370017	No	
row_9	MAPK14	mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:HGNC:6876]	3996	0.2690211236476898	-0.0010857483	No	
row_10	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	4386	0.22937627136707306	-0.008723155	No	
row_11	LY96	lymphocyte antigen 96 [Source:HGNC Symbol;Acc:HGNC:17156]	4438	0.22410914301872253	-0.004684155	No	
row_12	MAP2K7	mitogen-activated protein kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6847]	4711	0.1992356777191162	-0.009015301	No	
row_13	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]	4781	0.19415904581546783	-0.006383393	No	
row_14	IRAK4	interleukin 1 receptor associated kinase 4 [Source:HGNC Symbol;Acc:HGNC:17967]	5523	0.13480539619922638	-0.028779907	No	
row_15	IFNAR1	interferon alpha and beta receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:5432]	5718	0.11849713325500488	-0.032482192	No	
row_16	CD40	CD40 molecule [Source:HGNC Symbol;Acc:HGNC:11919]	5896	0.10647642612457275	-0.03590257	No	
row_17	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	6051	0.0957171618938446	-0.038798574	No	
row_18	TLR9	toll like receptor 9 [Source:HGNC Symbol;Acc:HGNC:15633]	6410	0.06636656075716019	-0.04958687	No	
row_19	MAP2K2	mitogen-activated protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6842]	6474	0.06222011521458626	-0.050172508	No	
row_20	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	6500	0.06080980971455574	-0.04946667	No	
row_21	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	6556	0.05694758892059326	-0.049909666	No	
row_22	IFNA8	interferon alpha 8 [Source:HGNC Symbol;Acc:HGNC:5429]	6805	0.03987879678606987	-0.057541467	No	
row_23	MAP2K6	mitogen-activated protein kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6846]	7049	0.025160932913422585	-0.06538083	No	
row_24	IFNAR2	interferon alpha and beta receptor subunit 2 [Source:HGNC Symbol;Acc:HGNC:5433]	7343	0.008143051527440548	-0.07540976	No	
row_25	IKBKG	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma [Source:HGNC Symbol;Acc:HGNC:5961]	7430	0.0026669062208384275	-0.078346215	No	
row_26	MAP2K3	mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]	8456	-0.008981999009847641	-0.11393703	No	
row_27	CASP8	caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]	8842	-0.03145706281065941	-0.1265758	No	
row_28	MAPK13	mitogen-activated protein kinase 13 [Source:HGNC Symbol;Acc:HGNC:6875]	9132	-0.0473984032869339	-0.13544522	No	
row_29	MYD88	MYD88 innate immune signal transduction adaptor [Source:HGNC Symbol;Acc:HGNC:7562]	9205	-0.05116607993841171	-0.13663256	No	
row_30	RAC1	Rac family small GTPase 1 [Source:HGNC Symbol;Acc:HGNC:9801]	9217	-0.05155047029256821	-0.13567793	No	
