NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DAAM2	dishevelled associated activator of morphogenesis 2 [Source:HGNC Symbol;Acc:HGNC:18143]	11	2.9575672149658203	0.03840798	Yes	
row_1	DKK2	dickkopf WNT signaling pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:2892]	14	2.8957226276397705	0.076319896	Yes	
row_2	AXIN2	axin 2 [Source:HGNC Symbol;Acc:HGNC:904]	15	2.8807575702667236	0.11410555	Yes	
row_3	FZD1	frizzled class receptor 1 [Source:HGNC Symbol;Acc:HGNC:4038]	46	2.1475260257720947	0.14122331	Yes	
row_4	WNT11	Wnt family member 11 [Source:HGNC Symbol;Acc:HGNC:12776]	119	1.560683250427246	0.15917312	Yes	
row_5	WNT2	Wnt family member 2 [Source:HGNC Symbol;Acc:HGNC:12780]	206	1.3589333295822144	0.17398645	Yes	
row_6	NFATC4	nuclear factor of activated T cells 4 [Source:HGNC Symbol;Acc:HGNC:7778]	224	1.334018349647522	0.19088896	Yes	
row_7	FZD2	frizzled class receptor 2 [Source:HGNC Symbol;Acc:HGNC:4040]	269	1.2609938383102417	0.20588826	Yes	
row_8	TCF7	transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:11639]	276	1.2483243942260742	0.2220519	Yes	
row_9	SMAD4	SMAD family member 4 [Source:HGNC Symbol;Acc:HGNC:6770]	450	1.0565905570983887	0.22985332	Yes	
row_10	TCF7L2	transcription factor 7 like 2 [Source:HGNC Symbol;Acc:HGNC:11641]	456	1.0532342195510864	0.24349307	Yes	
row_11	CAMK2D	calcium/calmodulin dependent protein kinase II delta [Source:HGNC Symbol;Acc:HGNC:1462]	506	1.0071877241134644	0.25498822	Yes	
row_12	PPP3CB	protein phosphatase 3 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9315]	617	0.9408573508262634	0.2634775	Yes	
row_13	PRICKLE1	prickle planar cell polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:17019]	645	0.9246535301208496	0.2746604	Yes	
row_14	NFATC1	nuclear factor of activated T cells 1 [Source:HGNC Symbol;Acc:HGNC:7775]	979	0.7720280885696411	0.2731271	Yes	
row_15	FRAT2	FRAT regulator of WNT signaling pathway 2 [Source:HGNC Symbol;Acc:HGNC:16048]	997	0.768498420715332	0.28261194	Yes	
row_16	NKD2	NKD inhibitor of WNT signaling pathway 2 [Source:HGNC Symbol;Acc:HGNC:17046]	1011	0.7634040117263794	0.29217	Yes	
row_17	ROCK2	Rho associated coiled-coil containing protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:10252]	1178	0.7066522240638733	0.29562652	Yes	
row_18	WNT9A	Wnt family member 9A [Source:HGNC Symbol;Acc:HGNC:12778]	1247	0.6881730556488037	0.30227205	Yes	
row_19	SFRP2	secreted frizzled related protein 2 [Source:HGNC Symbol;Acc:HGNC:10777]	1370	0.6598142385482788	0.30665484	Yes	
row_20	SFRP4	secreted frizzled related protein 4 [Source:HGNC Symbol;Acc:HGNC:10778]	1630	0.6002249121665955	0.30545908	Yes	
row_21	PRICKLE2	prickle planar cell polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:20340]	1837	0.5602343082427979	0.30559456	Yes	
row_22	PPP2R5A	protein phosphatase 2 regulatory subunit B'alpha [Source:HGNC Symbol;Acc:HGNC:9309]	1885	0.5521842837333679	0.31119168	Yes	
row_23	PPP3CA	protein phosphatase 3 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9314]	2177	0.5009170770645142	0.3075729	Yes	
row_24	WNT7B	Wnt family member 7B [Source:HGNC Symbol;Acc:HGNC:12787]	2372	0.46898773312568665	0.3069317	Yes	
row_25	LEF1	lymphoid enhancer binding factor 1 [Source:HGNC Symbol;Acc:HGNC:6551]	2382	0.46731793880462646	0.31274617	Yes	
row_26	NFATC3	nuclear factor of activated T cells 3 [Source:HGNC Symbol;Acc:HGNC:7777]	2474	0.45597824454307556	0.31554076	Yes	
row_27	EP300	E1A binding protein p300 [Source:HGNC Symbol;Acc:HGNC:3373]	2560	0.44278183579444885	0.31837237	Yes	
row_28	FZD3	frizzled class receptor 3 [Source:HGNC Symbol;Acc:HGNC:4041]	2675	0.4266180396080017	0.31997654	Yes	
row_29	FRAT1	FRAT regulator of WNT signaling pathway 1 [Source:HGNC Symbol;Acc:HGNC:3944]	2687	0.4235367774963379	0.32514673	Yes	
row_30	PPP2R5D	protein phosphatase 2 regulatory subunit B'delta [Source:HGNC Symbol;Acc:HGNC:9312]	2774	0.4094711244106293	0.32750636	Yes	
row_31	CREBBP	CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]	2795	0.40690380334854126	0.33214328	Yes	
row_32	FZD7	frizzled class receptor 7 [Source:HGNC Symbol;Acc:HGNC:4045]	2808	0.40503525733947754	0.33703578	Yes	
row_33	ROCK1	Rho associated coiled-coil containing protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:10251]	3377	0.33763909339904785	0.3215765	No	
row_34	TBL1X	transducin beta like 1 X-linked [Source:HGNC Symbol;Acc:HGNC:11585]	3645	0.30734121799468994	0.31625903	No	
row_35	PRKACA	protein kinase cAMP-activated catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9380]	3674	0.3046915829181671	0.31927514	No	
row_36	LRP6	LDL receptor related protein 6 [Source:HGNC Symbol;Acc:HGNC:6698]	3811	0.28959763050079346	0.31831175	No	
row_37	CAMK2B	calcium/calmodulin dependent protein kinase II beta [Source:HGNC Symbol;Acc:HGNC:1461]	3922	0.27733778953552246	0.31809792	No	
row_38	CTBP1	C-terminal binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2494]	3948	0.2748437225818634	0.3208276	No	
row_39	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	3971	0.2722282111644745	0.32362798	No	
row_40	WNT5B	Wnt family member 5B [Source:HGNC Symbol;Acc:HGNC:16265]	4372	0.23057439923286438	0.31264672	No	
row_41	FZD10	frizzled class receptor 10 [Source:HGNC Symbol;Acc:HGNC:4039]	4696	0.20032131671905518	0.30396473	No	
row_42	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	4727	0.1979750394821167	0.30551106	No	
row_43	NKD1	NKD inhibitor of WNT signaling pathway 1 [Source:HGNC Symbol;Acc:HGNC:17045]	4854	0.18830575048923492	0.30356923	No	
row_44	APC2	APC regulator of WNT signaling pathway 2 [Source:HGNC Symbol;Acc:HGNC:24036]	4878	0.18623235821723938	0.30520663	No	
row_45	VANGL1	VANGL planar cell polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:15512]	5002	0.17646680772304535	0.30321455	No	
row_46	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma [Source:HGNC Symbol;Acc:HGNC:9311]	5176	0.1626138985157013	0.29929006	No	
row_47	LRP5	LDL receptor related protein 5 [Source:HGNC Symbol;Acc:HGNC:6697]	5219	0.1599813997745514	0.29991788	No	
row_48	DVL2	dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]	5242	0.15747545659542084	0.30121312	No	
row_49	CSNK2A2	casein kinase 2 alpha 2 [Source:HGNC Symbol;Acc:HGNC:2459]	5410	0.14505118131637573	0.29726833	No	
row_50	PPP2R5E	protein phosphatase 2 regulatory subunit B'epsilon [Source:HGNC Symbol;Acc:HGNC:9313]	5436	0.1426542103290558	0.29826412	No	
row_51	FZD8	frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046]	5688	0.12056730687618256	0.29105705	No	
row_52	FZD4	frizzled class receptor 4 [Source:HGNC Symbol;Acc:HGNC:4042]	5740	0.11740618944168091	0.2908113	No	
row_53	TBL1XR1	TBL1X/Y related 1 [Source:HGNC Symbol;Acc:HGNC:29529]	5963	0.10220879316329956	0.2843788	No	
row_54	CSNK1A1	casein kinase 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2451]	6480	0.061990078538656235	0.26712468	No	
row_55	CAMK2G	calcium/calmodulin dependent protein kinase II gamma [Source:HGNC Symbol;Acc:HGNC:1463]	6740	0.043783415108919144	0.25863034	No	
