NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_DNA_REPLICATION	KEGG_DNA_REPLICATION	Details ...	36	0.69631433	2.5633414	0.0	0.0	0.0	4829	tags=67%, list=17%, signal=80%	
KEGG_MISMATCH_REPAIR	KEGG_MISMATCH_REPAIR	Details ...	23	0.70697373	2.333411	0.0	0.0	0.0	4145	tags=65%, list=14%, signal=76%	
KEGG_SPLICEOSOME	KEGG_SPLICEOSOME	Details ...	127	0.47462213	2.2452164	0.0	4.7083554E-4	0.0017	5130	tags=49%, list=18%, signal=59%	
KEGG_HOMOLOGOUS_RECOMBINATION	KEGG_HOMOLOGOUS_RECOMBINATION	Details ...	28	0.6201754	2.1507378	5.6785916E-4	0.001183709	0.0056	4211	tags=54%, list=15%, signal=63%	
KEGG_BASE_EXCISION_REPAIR	KEGG_BASE_EXCISION_REPAIR	Details ...	35	0.55112076	2.0249376	5.6609116E-4	0.004152828	0.0243	4448	tags=49%, list=15%, signal=57%	
KEGG_TGF_BETA_SIGNALING_PATHWAY	KEGG_TGF_BETA_SIGNALING_PATHWAY	Details ...	86	0.44286683	1.961236	0.0	0.0065841586	0.0461	4627	tags=43%, list=16%, signal=51%	
KEGG_RENIN_ANGIOTENSIN_SYSTEM	KEGG_RENIN_ANGIOTENSIN_SYSTEM	Details ...	17	0.64224523	1.9573201	0.0011142062	0.0058639	0.0478	3307	tags=53%, list=12%, signal=60%	
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE	Details ...	125	0.40641972	1.9244823	0.0	0.007233391	0.0664	3671	tags=41%, list=13%, signal=47%	
KEGG_BASAL_CELL_CARCINOMA	KEGG_BASAL_CELL_CARCINOMA	Details ...	55	0.45117214	1.846549	0.002101471	0.013040942	0.1293	2808	tags=29%, list=10%, signal=32%	
KEGG_LYSINE_DEGRADATION	KEGG_LYSINE_DEGRADATION	Details ...	44	0.4739352	1.8363827	0.0026517385	0.01263133	0.1384	5323	tags=48%, list=19%, signal=58%	
KEGG_MELANOGENESIS	KEGG_MELANOGENESIS	Details ...	101	0.39399484	1.788065	6.373486E-4	0.017556872	0.2012	2808	tags=29%, list=10%, signal=32%	
KEGG_WNT_SIGNALING_PATHWAY	KEGG_WNT_SIGNALING_PATHWAY	Details ...	151	0.33703578	1.6316888	3.5625222E-4	0.05522143	0.5426	2808	tags=22%, list=10%, signal=24%	
