NAME	TITLE	SCORE	
IRX2-DT	IRX2 divergent transcript [Source:HGNC Symbol;Acc:HGNC:24226]	4.836165	
IRX1	iroquois homeobox 1 [Source:HGNC Symbol;Acc:HGNC:14358]	4.653203	
GPC4	glypican 4 [Source:HGNC Symbol;Acc:HGNC:4452]	4.2033024	
OLFML2A	olfactomedin like 2A [Source:HGNC Symbol;Acc:HGNC:27270]	4.0992627	
ELFN1	extracellular leucine rich repeat and fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:33154]	3.759692	
PCDH18	protocadherin 18 [Source:HGNC Symbol;Acc:HGNC:14268]	3.3816907	
IRX5	iroquois homeobox 5 [Source:HGNC Symbol;Acc:HGNC:14361]	3.2671716	
TMEM119	transmembrane protein 119 [Source:HGNC Symbol;Acc:HGNC:27884]	3.2045035	
XG	Xg glycoprotein (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:12806]	3.106312	
ZIC4	Zic family member 4 [Source:HGNC Symbol;Acc:HGNC:20393]	3.0730507	
EMX2	empty spiracles homeobox 2 [Source:HGNC Symbol;Acc:HGNC:3341]	3.0062065	
DAAM2	dishevelled associated activator of morphogenesis 2 [Source:HGNC Symbol;Acc:HGNC:18143]	2.9575672	
BMPR1B	bone morphogenetic protein receptor type 1B [Source:HGNC Symbol;Acc:HGNC:1077]	2.9469018	
TBX15	T-box transcription factor 15 [Source:HGNC Symbol;Acc:HGNC:11594]	2.916491	
DKK2	dickkopf WNT signaling pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:2892]	2.8957226	
AXIN2	axin 2 [Source:HGNC Symbol;Acc:HGNC:904]	2.8807576	
PLPP3	phospholipid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:9229]	2.8167248	
PRRX1	paired related homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9142]	2.7484205	
SIM1	SIM bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10882]	2.7233815	
APBB1IP	amyloid beta precursor protein binding family B member 1 interacting protein [Source:HGNC Symbol;Acc:HGNC:17379]	2.7019582	
VIT	vitrin [Source:HGNC Symbol;Acc:HGNC:12697]	2.6873965	
HOXC11	homeobox C11 [Source:HGNC Symbol;Acc:HGNC:5123]	2.680143	
EPB41L3	erythrocyte membrane protein band 4.1 like 3 [Source:HGNC Symbol;Acc:HGNC:3380]	2.652464	
SCARA3	scavenger receptor class A member 3 [Source:HGNC Symbol;Acc:HGNC:19000]	2.5937774	
ANKRD65	ankyrin repeat domain 65 [Source:HGNC Symbol;Acc:HGNC:42950]	2.5495696	
DMRT2	doublesex and mab-3 related transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:2935]	2.5101795	
LRRC32	leucine rich repeat containing 32 [Source:HGNC Symbol;Acc:HGNC:4161]	2.4823868	
MXRA8	matrix remodeling associated 8 [Source:HGNC Symbol;Acc:HGNC:7542]	2.426524	
EN1	engrailed homeobox 1 [Source:HGNC Symbol;Acc:HGNC:3342]	2.3997352	
PRRX2	paired related homeobox 2 [Source:HGNC Symbol;Acc:HGNC:21338]	2.3905525	
OLFML2B	olfactomedin like 2B [Source:HGNC Symbol;Acc:HGNC:24558]	2.3636663	
PCDHGB7	protocadherin gamma subfamily B, 7 [Source:HGNC Symbol;Acc:HGNC:8714]	2.3606727	
MSX1	msh homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7391]	2.356741	
ZIC1	Zic family member 1 [Source:HGNC Symbol;Acc:HGNC:12872]	2.3453395	
COL5A3	collagen type V alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:14864]	2.3154445	
SMC4	structural maintenance of chromosomes 4 [Source:HGNC Symbol;Acc:HGNC:14013]	2.246934	
HOXA10	homeobox A10 [Source:HGNC Symbol;Acc:HGNC:5100]	2.235386	
PDZRN3	PDZ domain containing ring finger 3 [Source:HGNC Symbol;Acc:HGNC:17704]	2.211338	
DCHS1	dachsous cadherin-related 1 [Source:HGNC Symbol;Acc:HGNC:13681]	2.1941898	
PTPRD	protein tyrosine phosphatase receptor type D [Source:HGNC Symbol;Acc:HGNC:9668]	2.1753805	
HOXA11	homeobox A11 [Source:HGNC Symbol;Acc:HGNC:5101]	2.175211	
