NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	5	2.246859550476074	0.025023445	Yes	
row_1	SCARB1	scavenger receptor class B member 1 [Source:HGNC Symbol;Acc:HGNC:1664]	143	1.3970669507980347	0.037182108	Yes	
row_2	HSPB8	heat shock protein family B (small) member 8 [Source:HGNC Symbol;Acc:HGNC:30171]	205	1.3110932111740112	0.05030867	Yes	
row_3	CAVIN2	caveolae associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10690]	291	1.234212040901184	0.0619651	Yes	
row_4	BCL2L13	BCL2 like 13 [Source:HGNC Symbol;Acc:HGNC:17164]	414	1.1495534181594849	0.07173417	Yes	
row_5	ITSN1	intersectin 1 [Source:HGNC Symbol;Acc:HGNC:6183]	587	1.0591989755630493	0.079221934	Yes	
row_6	ATP1B3	ATPase Na+/K+ transporting subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:806]	590	1.0565011501312256	0.09099718	Yes	
row_7	FAH	fumarylacetoacetate hydrolase [Source:HGNC Symbol;Acc:HGNC:3579]	740	0.9991386532783508	0.09839682	Yes	
row_8	UQCR10	ubiquinol-cytochrome c reductase, complex III subunit X [Source:HGNC Symbol;Acc:HGNC:30863]	885	0.9534187912940979	0.10541168	Yes	
row_9	COL4A1	collagen type IV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2202]	887	0.9528319835662842	0.11605189	Yes	
row_10	SULT1A1	sulfotransferase family 1A member 1 [Source:HGNC Symbol;Acc:HGNC:11453]	1043	0.9053990244865417	0.12224986	Yes	
row_11	DHCR7	7-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2860]	1116	0.8862656950950623	0.1303417	Yes	
row_12	PEX14	peroxisomal biogenesis factor 14 [Source:HGNC Symbol;Acc:HGNC:8856]	1230	0.8571618795394897	0.13706642	Yes	
row_13	GRPEL1	GrpE like 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:19696]	1259	0.8491330742835999	0.14586014	Yes	
row_14	TST	thiosulfate sulfurtransferase [Source:HGNC Symbol;Acc:HGNC:12388]	1274	0.8449856638908386	0.15496299	Yes	
row_15	YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma [Source:HGNC Symbol;Acc:HGNC:12852]	1312	0.8367013335227966	0.16338895	Yes	
row_16	MTCH2	mitochondrial carrier 2 [Source:HGNC Symbol;Acc:HGNC:17587]	1357	0.8267025351524353	0.17152521	Yes	
row_17	CD151	CD151 molecule (Raph blood group) [Source:HGNC Symbol;Acc:HGNC:1630]	1499	0.7958365678787231	0.17685235	Yes	
row_18	SQOR	sulfide quinone oxidoreductase [Source:HGNC Symbol;Acc:HGNC:20390]	1569	0.7836399078369141	0.18387163	Yes	
row_19	SLC25A1	solute carrier family 25 member 1 [Source:HGNC Symbol;Acc:HGNC:10979]	1600	0.7774788737297058	0.19181247	Yes	
row_20	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6865]	1641	0.7695455551147461	0.19941053	Yes	
row_21	UQCR11	ubiquinol-cytochrome c reductase, complex III subunit XI [Source:HGNC Symbol;Acc:HGNC:30862]	1716	0.7547909021377563	0.20597988	Yes	
row_22	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]	1730	0.7526445388793945	0.2140745	Yes	
row_23	SDHB	succinate dehydrogenase complex iron sulfur subunit B [Source:HGNC Symbol;Acc:HGNC:10681]	1752	0.7478021383285522	0.22191174	Yes	
row_24	ELOVL6	ELOVL fatty acid elongase 6 [Source:HGNC Symbol;Acc:HGNC:15829]	1926	0.7174314856529236	0.2255485	Yes	
row_25	MGST3	microsomal glutathione S-transferase 3 [Source:HGNC Symbol;Acc:HGNC:7064]	1938	0.7150798439979553	0.23327345	Yes	
row_26	SNCG	synuclein gamma [Source:HGNC Symbol;Acc:HGNC:11141]	1955	0.7110376954078674	0.24082614	Yes	
row_27	CHUK	component of inhibitor of nuclear factor kappa B kinase complex [Source:HGNC Symbol;Acc:HGNC:1974]	2120	0.6845418810844421	0.24432334	Yes	
row_28	PLIN2	perilipin 2 [Source:HGNC Symbol;Acc:HGNC:248]	2125	0.6840636730194092	0.2518789	Yes	
row_29	LIFR	LIF receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6597]	2133	0.6825650334358215	0.25934145	Yes	
row_30	COX6A1	cytochrome c oxidase subunit 6A1 [Source:HGNC Symbol;Acc:HGNC:2277]	2184	0.6764419674873352	0.26564336	Yes	
row_31	QDPR	quinoid dihydropteridine reductase [Source:HGNC Symbol;Acc:HGNC:9752]	2277	0.6639259457588196	0.27073845	Yes	
row_32	RMDN3	regulator of microtubule dynamics 3 [Source:HGNC Symbol;Acc:HGNC:25550]	2355	0.653249979019165	0.276095	Yes	
row_33	PPARG	peroxisome proliferator activated receptor gamma [Source:HGNC Symbol;Acc:HGNC:9236]	2445	0.6418625116348267	0.28101933	Yes	
row_34	PIM3	Pim-3 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:19310]	2511	0.6316311955451965	0.28643867	Yes	
row_35	MYLK	myosin light chain kinase [Source:HGNC Symbol;Acc:HGNC:7590]	2526	0.6289921998977661	0.29312378	Yes	
row_36	DHRS7	dehydrogenase/reductase 7 [Source:HGNC Symbol;Acc:HGNC:21524]	2588	0.6221586465835571	0.29853868	Yes	
row_37	CIDEA	cell death inducing DFFA like effector a [Source:HGNC Symbol;Acc:HGNC:1976]	2659	0.6141142845153809	0.30363497	Yes	
row_38	ARAF	A-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:646]	2692	0.6112596988677979	0.30966443	Yes	
row_39	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	2694	0.6110957860946655	0.31647938	Yes	
row_40	CYC1	cytochrome c1 [Source:HGNC Symbol;Acc:HGNC:2579]	2729	0.6065050363540649	0.32240483	Yes	
row_41	UQCRQ	ubiquinol-cytochrome c reductase complex III subunit VII [Source:HGNC Symbol;Acc:HGNC:29594]	2772	0.6006757616996765	0.32806182	Yes	
row_42	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	2785	0.5994284152984619	0.33446681	Yes	
row_43	COX7B	cytochrome c oxidase subunit 7B [Source:HGNC Symbol;Acc:HGNC:2291]	2877	0.5897321701049805	0.3387568	Yes	
row_44	SLC25A10	solute carrier family 25 member 10 [Source:HGNC Symbol;Acc:HGNC:10980]	3074	0.5701478719711304	0.3401608	Yes	
row_45	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	3235	0.5545596480369568	0.3423046	Yes	
row_46	AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:326]	3276	0.5510715246200562	0.34745714	Yes	
row_47	ARL4A	ADP ribosylation factor like GTPase 4A [Source:HGNC Symbol;Acc:HGNC:695]	3287	0.5498349070549011	0.3533578	Yes	
row_48	UBC	ubiquitin C [Source:HGNC Symbol;Acc:HGNC:12468]	3392	0.5399967432022095	0.3567609	Yes	
row_49	ECHS1	enoyl-CoA hydratase, short chain 1 [Source:HGNC Symbol;Acc:HGNC:3151]	3852	0.49913036823272705	0.35069022	Yes	
row_50	SCP2	sterol carrier protein 2 [Source:HGNC Symbol;Acc:HGNC:10606]	4051	0.4824596643447876	0.35106185	Yes	
row_51	MDH2	malate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6971]	4137	0.47653982043266296	0.3542372	Yes	
row_52	RETSAT	retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]	4158	0.4755468964576721	0.35905233	Yes	
row_53	NDUFA5	NADH:ubiquinone oxidoreductase subunit A5 [Source:HGNC Symbol;Acc:HGNC:7688]	4197	0.47280028462409973	0.36337954	Yes	
