NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NECTIN2	nectin cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:9707]	12	2.0790979862213135	0.019414485	Yes	
row_1	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	52	1.7167134284973145	0.034706213	Yes	
row_2	RHOF	ras homolog family member F, filopodia associated [Source:HGNC Symbol;Acc:HGNC:15703]	93	1.5248711109161377	0.04815301	Yes	
row_3	PTK2	protein tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:9611]	120	1.4477722644805908	0.061224118	Yes	
row_4	ITGA3	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]	160	1.3789536952972412	0.07331236	Yes	
row_5	AMIGO2	adhesion molecule with Ig like domain 2 [Source:HGNC Symbol;Acc:HGNC:24073]	177	1.3571434020996094	0.085777864	Yes	
row_6	ADRA1B	adrenoceptor alpha 1B [Source:HGNC Symbol;Acc:HGNC:278]	212	1.3079699277877808	0.097319834	Yes	
row_7	WNK4	WNK lysine deficient protein kinase 4 [Source:HGNC Symbol;Acc:HGNC:14544]	247	1.2721222639083862	0.10852181	Yes	
row_8	SKAP2	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]	275	1.250510573387146	0.119696595	Yes	
row_9	GRB7	growth factor receptor bound protein 7 [Source:HGNC Symbol;Acc:HGNC:4567]	304	1.2186915874481201	0.13054419	Yes	
row_10	KCNH2	potassium voltage-gated channel subfamily H member 2 [Source:HGNC Symbol;Acc:HGNC:6251]	334	1.1945441961288452	0.14113736	Yes	
row_11	PALS1	protein associated with LIN7 1, MAGUK p55 family member [Source:HGNC Symbol;Acc:HGNC:18669]	348	1.188307285308838	0.15207772	Yes	
row_12	SHROOM2	shroom family member 2 [Source:HGNC Symbol;Acc:HGNC:630]	390	1.1608679294586182	0.16204673	Yes	
row_13	RAC2	Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802]	391	1.16048264503479	0.17305335	Yes	
row_14	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	417	1.146195650100708	0.18328954	Yes	
row_15	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]	486	1.1050164699554443	0.19204311	Yes	
row_16	ADAM9	ADAM metallopeptidase domain 9 [Source:HGNC Symbol;Acc:HGNC:216]	524	1.0863444805145264	0.20140688	Yes	
