NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRSS3	serine protease 3 [Source:HGNC Symbol;Acc:HGNC:9486]	72	1.594049096107483	0.014266217	Yes	
row_1	DGKG	diacylglycerol kinase gamma [Source:HGNC Symbol;Acc:HGNC:2853]	134	1.41730535030365	0.027027251	Yes	
row_2	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	176	1.358560562133789	0.03970308	Yes	
row_3	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	281	1.2444883584976196	0.049627185	Yes	
row_4	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	311	1.2146925926208496	0.061155163	Yes	
row_5	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	327	1.1990798711776733	0.07288105	Yes	
row_6	FDX1	ferredoxin 1 [Source:HGNC Symbol;Acc:HGNC:3638]	407	1.152646780014038	0.08251276	Yes	
row_7	LYN	LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]	448	1.1250512599945068	0.09285629	Yes	
row_8	EHD1	EH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:3242]	465	1.1155412197113037	0.10371331	Yes	
row_9	SERPING1	serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228]	494	1.1008315086364746	0.114117056	Yes	
row_10	USP15	ubiquitin specific peptidase 15 [Source:HGNC Symbol;Acc:HGNC:12613]	498	1.099912166595459	0.12514643	Yes	
row_11	CTSH	cathepsin H [Source:HGNC Symbol;Acc:HGNC:2535]	517	1.088418960571289	0.13567881	Yes	
row_12	ADAM9	ADAM metallopeptidase domain 9 [Source:HGNC Symbol;Acc:HGNC:216]	524	1.0863444805145264	0.146495	Yes	
row_13	ZFPM2	zinc finger protein, FOG family member 2 [Source:HGNC Symbol;Acc:HGNC:16700]	535	1.07964289188385	0.15714194	Yes	
row_14	GCA	grancalcin [Source:HGNC Symbol;Acc:HGNC:15990]	565	1.0664546489715576	0.16717319	Yes	
row_15	GNG2	G protein subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:4404]	619	1.0419223308563232	0.17634724	Yes	
row_16	CP	ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295]	642	1.0312613248825073	0.18620093	Yes	
row_17	PPP2CB	protein phosphatase 2 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9300]	701	1.0094152688980103	0.19491978	Yes	
row_18	COL4A2	collagen type IV alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2203]	846	0.9649268388748169	0.20100538	Yes	
row_19	CASP4	caspase 4 [Source:HGNC Symbol;Acc:HGNC:1505]	1110	0.8875055313110352	0.20328712	Yes	
row_20	MMP15	matrix metallopeptidase 15 [Source:HGNC Symbol;Acc:HGNC:7161]	1184	0.8697962760925293	0.21021533	Yes	
row_21	DUSP6	dual specificity phosphatase 6 [Source:HGNC Symbol;Acc:HGNC:3072]	1216	0.8606179356575012	0.2181175	Yes	
row_22	CDK5R1	cyclin dependent kinase 5 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:1775]	1241	0.8548374176025391	0.22613908	Yes	
row_23	MT3	metallothionein 3 [Source:HGNC Symbol;Acc:HGNC:7408]	1246	0.8535711169242859	0.23465581	Yes	
row_24	PDP1	pyruvate dehydrogenase phosphatase catalytic subunit 1 [Source:HGNC Symbol;Acc:HGNC:9279]	1478	0.8016614317893982	0.23688349	Yes	
row_25	CASP10	caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]	1532	0.7913645505905151	0.24352771	Yes	
row_26	ACTN2	actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]	1578	0.7817655801773071	0.25027817	Yes	
row_27	PDGFB	platelet derived growth factor subunit B [Source:HGNC Symbol;Acc:HGNC:8800]	1720	0.7536442279815674	0.2543067	Yes	
row_28	L3MBTL4	L3MBTL histone methyl-lysine binding protein 4 [Source:HGNC Symbol;Acc:HGNC:26677]	1766	0.7456611394882202	0.26069263	Yes	
row_29	GRB2	growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]	1839	0.7324011325836182	0.26625898	Yes	
row_30	SERPINB2	serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]	1842	0.7320663332939148	0.2735997	Yes	
row_31	PCLO	piccolo presynaptic cytomatrix protein [Source:HGNC Symbol;Acc:HGNC:13406]	1891	0.7240161895751953	0.27969092	Yes	
row_32	RABIF	RAB interacting factor [Source:HGNC Symbol;Acc:HGNC:9797]	1910	0.7215668559074402	0.28651926	Yes	
row_33	PLA2G4A	phospholipase A2 group IVA [Source:HGNC Symbol;Acc:HGNC:9035]	1916	0.7193068861961365	0.29365498	Yes	
row_34	PPP4C	protein phosphatase 4 catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9319]	1936	0.7154349684715271	0.30039603	Yes	
row_35	MAFF	MAF bZIP transcription factor F [Source:HGNC Symbol;Acc:HGNC:6780]	1986	0.7057921886444092	0.3062778	Yes	
row_36	PRKCD	protein kinase C delta [Source:HGNC Symbol;Acc:HGNC:9399]	2014	0.7001973986625671	0.31266186	Yes	
row_37	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	2033	0.6979685425758362	0.31925195	Yes	
row_38	CD46	CD46 molecule [Source:HGNC Symbol;Acc:HGNC:6953]	2100	0.6868945360183716	0.32451123	Yes	
row_39	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	2130	0.6831220388412476	0.33067206	Yes	
row_40	PRSS36	serine protease 36 [Source:HGNC Symbol;Acc:HGNC:26906]	2195	0.6746580600738525	0.33585855	Yes	
row_41	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	2251	0.6672763824462891	0.3411991	Yes	
