NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GSDME	gasdermin E [Source:HGNC Symbol;Acc:HGNC:2810]	46	1.747372031211853	0.027974477	No	
row_1	BCAM	basal cell adhesion molecule (Lutheran blood group) [Source:HGNC Symbol;Acc:HGNC:6722]	430	1.1396123170852661	0.03726513	No	
row_2	BCAP31	B cell receptor associated protein 31 [Source:HGNC Symbol;Acc:HGNC:16695]	680	1.01754891872406	0.04791905	No	
row_3	STX3	syntaxin 3 [Source:HGNC Symbol;Acc:HGNC:11438]	724	1.0037037134170532	0.06356732	No	
row_4	TAF13	TATA-box binding protein associated factor 13 [Source:HGNC Symbol;Acc:HGNC:11546]	865	0.9588475227355957	0.076007076	No	
row_5	PNP	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	902	0.9462262988090515	0.09087434	No	
row_6	ADRM1	ADRM1 26S proteasome ubiquitin receptor [Source:HGNC Symbol;Acc:HGNC:15759]	1260	0.8478729128837585	0.09595909	No	
row_7	AK3	adenylate kinase 3 [Source:HGNC Symbol;Acc:HGNC:17376]	1432	0.8101319670677185	0.105132364	No	
row_8	RALA	RAS like proto-oncogene A [Source:HGNC Symbol;Acc:HGNC:9839]	1472	0.8026982545852661	0.117529884	No	
row_9	CANT1	calcium activated nucleotidase 1 [Source:HGNC Symbol;Acc:HGNC:19721]	1479	0.8016552925109863	0.13074706	No	
row_10	RRM2B	ribonucleotide reductase regulatory TP53 inducible subunit M2B [Source:HGNC Symbol;Acc:HGNC:17296]	1764	0.7462261319160461	0.1359883	No	
row_11	POLB	DNA polymerase beta [Source:HGNC Symbol;Acc:HGNC:9174]	1913	0.7206045985221863	0.1442519	No	
row_12	COX17	cytochrome c oxidase copper chaperone COX17 [Source:HGNC Symbol;Acc:HGNC:2264]	2095	0.6877768635749817	0.15113099	No	
row_13	ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit [Source:HGNC Symbol;Acc:HGNC:3434]	2539	0.6280626654624939	0.15036851	No	
row_14	NME3	NME/NM23 nucleoside diphosphate kinase 3 [Source:HGNC Symbol;Acc:HGNC:7851]	2609	0.6192629933357239	0.15894587	No	
row_15	DGUOK	deoxyguanosine kinase [Source:HGNC Symbol;Acc:HGNC:2858]	3155	0.5616630911827087	0.15448879	No	
row_16	GTF2A2	general transcription factor IIA subunit 2 [Source:HGNC Symbol;Acc:HGNC:4647]	3378	0.5409751534461975	0.15787965	No	
row_17	RFC5	replication factor C subunit 5 [Source:HGNC Symbol;Acc:HGNC:9973]	3456	0.5339558124542236	0.16483141	No	
row_18	POLE4	DNA polymerase epsilon 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:18755]	3563	0.5245044827461243	0.17088996	No	
row_19	NUDT9	nudix hydrolase 9 [Source:HGNC Symbol;Acc:HGNC:8056]	3667	0.5154067277908325	0.17687288	No	
row_20	NME1	NME/NM23 nucleoside diphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:7849]	3726	0.5091229677200317	0.18389244	No	
row_21	VPS37B	VPS37B subunit of ESCRT-I [Source:HGNC Symbol;Acc:HGNC:25754]	3945	0.4916575849056244	0.1865623	No	
