NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTPS1	CTP synthase 1 [Source:HGNC Symbol;Acc:HGNC:2519]	1389	0.8192046284675598	-0.026788153	No	
row_1	CCNE1	cyclin E1 [Source:HGNC Symbol;Acc:HGNC:1589]	1476	0.8023417592048645	-0.02065732	No	
row_2	CDKN2A	cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]	1489	0.7977910041809082	-0.0126941865	No	
row_3	JPT1	Jupiter microtubule associated homolog 1 [Source:HGNC Symbol;Acc:HGNC:14569]	1548	0.7884101271629333	-0.005996586	No	
row_4	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1942	0.7141156196594238	-0.008577306	No	
row_5	DCTPP1	dCTP pyrophosphatase 1 [Source:HGNC Symbol;Acc:HGNC:28777]	2011	0.7010107040405273	-0.0030394506	No	
row_6	HUS1	HUS1 checkpoint clamp component [Source:HGNC Symbol;Acc:HGNC:5309]	2540	0.6276679039001465	-0.009944817	No	
row_7	HMGA1	high mobility group AT-hook 1 [Source:HGNC Symbol;Acc:HGNC:5010]	2833	0.5943225026130676	-0.011201804	No	
row_8	POLE4	DNA polymerase epsilon 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:18755]	3563	0.5245044827461243	-0.024281325	No	
row_9	DIAPH3	diaphanous related formin 3 [Source:HGNC Symbol;Acc:HGNC:15480]	3701	0.5113028883934021	-0.022461979	No	
row_10	NME1	NME/NM23 nucleoside diphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:7849]	3726	0.5091229677200317	-0.017795235	No	
row_11	TFRC	transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]	3958	0.49066847562789917	-0.018577157	No	
row_12	NAA38	N-alpha-acetyltransferase 38, NatC auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:28212]	4396	0.45958423614501953	-0.024913229	No	
row_13	TUBG1	tubulin gamma 1 [Source:HGNC Symbol;Acc:HGNC:12417]	4470	0.4531625211238861	-0.02207094	No	
row_14	POP7	POP7 homolog, ribonuclease P/MRP subunit [Source:HGNC Symbol;Acc:HGNC:19949]	4907	0.422865092754364	-0.028762156	No	
row_15	ASF1A	anti-silencing function 1A histone chaperone [Source:HGNC Symbol;Acc:HGNC:20995]	5543	0.387888640165329	-0.040870074	No	
row_16	RAD51C	RAD51 paralog C [Source:HGNC Symbol;Acc:HGNC:9820]	5723	0.3795677125453949	-0.041482683	No	
row_17	AK2	adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]	6208	0.35813388228416443	-0.050063852	No	
row_18	MXD3	MAX dimerization protein 3 [Source:HGNC Symbol;Acc:HGNC:14008]	6773	0.3370608985424042	-0.060895257	No	
row_19	LYAR	Ly1 antibody reactive [Source:HGNC Symbol;Acc:HGNC:26021]	7162	0.32682183384895325	-0.0673627	No	
row_20	RAN	RAN, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9846]	7268	0.3240160644054413	-0.066671565	No	
row_21	EIF2S1	eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]	7378	0.3214101493358612	-0.066109024	No	
row_22	TIPIN	TIMELESS interacting protein [Source:HGNC Symbol;Acc:HGNC:30750]	7642	0.315498411655426	-0.069519065	No	
row_23	UBE2S	ubiquitin conjugating enzyme E2 S [Source:HGNC Symbol;Acc:HGNC:17895]	7660	0.3150787353515625	-0.06668551	No	
row_24	TUBB	tubulin beta class I [Source:HGNC Symbol;Acc:HGNC:20778]	8931	0.29238030314445496	-0.09591103	No	
row_25	GSPT1	G1 to S phase transition 1 [Source:HGNC Symbol;Acc:HGNC:4621]	9778	0.28171268105506897	-0.11447831	No	
row_26	PRIM2	DNA primase subunit 2 [Source:HGNC Symbol;Acc:HGNC:9370]	10005	0.2789725363254547	-0.11732715	No	
row_27	PPM1D	protein phosphatase, Mg2+/Mn2+ dependent 1D [Source:HGNC Symbol;Acc:HGNC:9277]	14787	0.2341090738773346	-0.23632935	No	
row_28	TBRG4	transforming growth factor beta regulator 4 [Source:HGNC Symbol;Acc:HGNC:17443]	15368	0.22899383306503296	-0.24868709	No	
row_29	PA2G4	proliferation-associated 2G4 [Source:HGNC Symbol;Acc:HGNC:8550]	18997	0.1945587396621704	-0.33881512	No	
row_30	CDK4	cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773]	20427	0.1769155114889145	-0.37327558	No	
row_31	NOP56	NOP56 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:15911]	23136	0.14238961040973663	-0.440578	No	
row_32	CHEK2	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	23364	0.13501116633415222	-0.4449442	No	
row_33	SNRPB	small nuclear ribonucleoprotein polypeptides B and B1 [Source:HGNC Symbol;Acc:HGNC:11153]	24427	0.1120971217751503	-0.47075528	No	
row_34	PRDX4	peroxiredoxin 4 [Source:HGNC Symbol;Acc:HGNC:17169]	26117	0.08851628005504608	-0.51273537	No	
row_35	CKS2	CDC28 protein kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:2000]	26205	0.08489721268415451	-0.51406515	No	
row_36	POLA2	DNA polymerase alpha 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:30073]	26339	0.08183836936950684	-0.516595	No	
row_37	SLBP	stem-loop binding protein [Source:HGNC Symbol;Acc:HGNC:10904]	26506	0.07435090094804764	-0.5200405	No	
