NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MICB	MHC class I polypeptide-related sequence B [Source:HGNC Symbol;Acc:HGNC:7091]	135	1.4165512323379517	0.009786792	Yes	
row_1	SCARB1	scavenger receptor class B member 1 [Source:HGNC Symbol;Acc:HGNC:1664]	143	1.3970669507980347	0.022642685	Yes	
row_2	HSPB8	heat shock protein family B (small) member 8 [Source:HGNC Symbol;Acc:HGNC:30171]	205	1.3110932111740112	0.03332504	Yes	
row_3	SLC24A3	solute carrier family 24 member 3 [Source:HGNC Symbol;Acc:HGNC:10977]	286	1.238463282585144	0.042847253	Yes	
row_4	DHRS3	dehydrogenase/reductase 3 [Source:HGNC Symbol;Acc:HGNC:17693]	316	1.2077600955963135	0.0533783	Yes	
row_5	ANXA9	annexin A9 [Source:HGNC Symbol;Acc:HGNC:547]	364	1.1776814460754395	0.06317158	Yes	
row_6	FHL2	four and a half LIM domains 2 [Source:HGNC Symbol;Acc:HGNC:3703]	374	1.168938398361206	0.07384839	Yes	
row_7	SLC22A5	solute carrier family 22 member 5 [Source:HGNC Symbol;Acc:HGNC:10969]	385	1.1625957489013672	0.08444064	Yes	
row_8	SEMA3B	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]	453	1.1240942478179932	0.09322604	Yes	
row_9	DYNLT3	dynein light chain Tctex-type 3 [Source:HGNC Symbol;Acc:HGNC:11694]	477	1.1112768650054932	0.10300934	Yes	
row_10	STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	552	1.0714105367660522	0.111125454	Yes	
row_11	MYB	MYB proto-oncogene, transcription factor [Source:HGNC Symbol;Acc:HGNC:7545]	554	1.070176362991333	0.12108407	Yes	
row_12	PDLIM3	PDZ and LIM domain 3 [Source:HGNC Symbol;Acc:HGNC:20767]	597	1.0535023212432861	0.12984583	Yes	
row_13	CELSR1	cadherin EGF LAG seven-pass G-type receptor 1 [Source:HGNC Symbol;Acc:HGNC:1850]	630	1.0374566316604614	0.13871187	Yes	
row_14	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	692	1.0144710540771484	0.14662693	Yes	
row_15	NRIP1	nuclear receptor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8001]	714	1.0048574209213257	0.15546823	Yes	
row_16	FRK	fyn related Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3955]	748	0.9954665899276733	0.16391712	Yes	
row_17	ZNF185	zinc finger protein 185 with LIM domain [Source:HGNC Symbol;Acc:HGNC:12976]	808	0.9766426086425781	0.17153008	Yes	
