NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	29	1.8561078310012817	0.016818194	Yes	
row_1	MICB	MHC class I polypeptide-related sequence B [Source:HGNC Symbol;Acc:HGNC:7091]	135	1.4165512323379517	0.027548883	Yes	
row_2	SCARB1	scavenger receptor class B member 1 [Source:HGNC Symbol;Acc:HGNC:1664]	143	1.3970669507980347	0.04058431	Yes	
row_3	SLC2A8	solute carrier family 2 member 8 [Source:HGNC Symbol;Acc:HGNC:13812]	179	1.3541102409362793	0.05250231	Yes	
row_4	HSPB8	heat shock protein family B (small) member 8 [Source:HGNC Symbol;Acc:HGNC:30171]	205	1.3110932111740112	0.06426745	Yes	
row_5	PERP	p53 apoptosis effector related to PMP22 [Source:HGNC Symbol;Acc:HGNC:17637]	259	1.2638226747512817	0.07487436	Yes	
row_6	SLC24A3	solute carrier family 24 member 3 [Source:HGNC Symbol;Acc:HGNC:10977]	286	1.238463282585144	0.08592717	Yes	
row_7	ANXA9	annexin A9 [Source:HGNC Symbol;Acc:HGNC:547]	364	1.1776814460754395	0.09510982	Yes	
row_8	SLC22A5	solute carrier family 22 member 5 [Source:HGNC Symbol;Acc:HGNC:10969]	385	1.1625957489013672	0.10559748	Yes	
row_9	SEMA3B	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]	453	1.1240942478179932	0.11452729	Yes	
row_10	DYNLT3	dynein light chain Tctex-type 3 [Source:HGNC Symbol;Acc:HGNC:11694]	477	1.1112768650054932	0.124453396	Yes	
row_11	DNAJC1	DnaJ heat shock protein family (Hsp40) member C1 [Source:HGNC Symbol;Acc:HGNC:20090]	514	1.0899187326431274	0.13384733	Yes	
row_12	TSPAN13	tetraspanin 13 [Source:HGNC Symbol;Acc:HGNC:21643]	543	1.0755974054336548	0.14330898	Yes	
row_13	MYB	MYB proto-oncogene, transcription factor [Source:HGNC Symbol;Acc:HGNC:7545]	554	1.070176362991333	0.15317655	Yes	
row_14	PDLIM3	PDZ and LIM domain 3 [Source:HGNC Symbol;Acc:HGNC:20767]	597	1.0535023212432861	0.16207366	Yes	
