NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PKP2	plakophilin 2 [Source:HGNC Symbol;Acc:HGNC:9024]	17	2.0145599842071533	0.020354668	Yes	
row_1	PGM2	phosphoglucomutase 2 [Source:HGNC Symbol;Acc:HGNC:8906]	117	1.4593281745910645	0.03289775	Yes	
row_2	QSOX1	quiescin sulfhydryl oxidase 1 [Source:HGNC Symbol;Acc:HGNC:9756]	167	1.365020990371704	0.045737673	Yes	
row_3	B4GALT7	beta-1,4-galactosyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:930]	294	1.2309528589248657	0.05523861	Yes	
row_4	HS2ST1	heparan sulfate 2-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5193]	325	1.2014316320419312	0.066873156	Yes	
row_5	VLDLR	very low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:12698]	384	1.1626091003417969	0.07739599	Yes	
row_6	DPYSL4	dihydropyrimidinase like 4 [Source:HGNC Symbol;Acc:HGNC:3016]	460	1.1198540925979614	0.0870459	Yes	
row_7	ADORA2B	adenosine A2b receptor [Source:HGNC Symbol;Acc:HGNC:264]	551	1.0718553066253662	0.09581958	Yes	
row_8	STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	552	1.0714105367660522	0.1068745	Yes	
row_9	B4GALT4	beta-1,4-galactosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:927]	673	1.0205620527267456	0.114356995	Yes	
row_10	PPP2CB	protein phosphatase 2 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9300]	701	1.0094152688980103	0.12408649	Yes	
row_11	DSC2	desmocollin 2 [Source:HGNC Symbol;Acc:HGNC:3036]	733	1.0007046461105347	0.13362452	Yes	
row_12	GALE	UDP-galactose-4-epimerase [Source:HGNC Symbol;Acc:HGNC:4116]	912	0.9430358409881592	0.138834	Yes	
row_13	SLC25A13	solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]	1029	0.9117448329925537	0.14529529	Yes	
row_14	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	1031	0.9110533595085144	0.15467024	Yes	
row_15	AK4	adenylate kinase 4 [Source:HGNC Symbol;Acc:HGNC:363]	1149	0.8790308237075806	0.16076858	Yes	
row_16	GPR87	G protein-coupled receptor 87 [Source:HGNC Symbol;Acc:HGNC:4538]	1233	0.8569234609603882	0.16750237	Yes	
row_17	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]	1281	0.8442029356956482	0.17501923	Yes	
