NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	52	1.7167134284973145	0.017036742	Yes	
row_1	PVR	PVR cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:9705]	119	1.4501677751541138	0.030867653	Yes	
row_2	CD82	CD82 molecule [Source:HGNC Symbol;Acc:HGNC:6210]	227	1.2892330884933472	0.041936338	Yes	
row_3	ATP2C1	ATPase secretory pathway Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:13211]	234	1.2834060192108154	0.055507857	Yes	
row_4	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	249	1.2708311080932617	0.06874173	Yes	
row_5	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	273	1.2544965744018555	0.081572354	Yes	
row_6	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	281	1.2444883584976196	0.09470231	Yes	
row_7	DCBLD2	discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]	282	1.2439963817596436	0.10800479	Yes	
row_8	EDN1	endothelin 1 [Source:HGNC Symbol;Acc:HGNC:3176]	378	1.1665273904800415	0.11806612	Yes	
row_9	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	380	1.1658915281295776	0.13050799	Yes	
row_10	LYN	LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]	448	1.1250512599945068	0.14083692	Yes	
row_11	ADORA2B	adenosine A2b receptor [Source:HGNC Symbol;Acc:HGNC:264]	551	1.0718553066253662	0.1497081	Yes	
row_12	BDKRB1	bradykinin receptor B1 [Source:HGNC Symbol;Acc:HGNC:1029]	622	1.0411425828933716	0.15906358	Yes	
row_13	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	700	1.009742021560669	0.1679055	Yes	
row_14	IL15	interleukin 15 [Source:HGNC Symbol;Acc:HGNC:5977]	704	1.007154941558838	0.17859916	Yes	
row_15	ICOSLG	inducible T cell costimulator ligand [Source:HGNC Symbol;Acc:HGNC:17087]	710	1.0055173635482788	0.18922451	Yes	
row_16	TAPBP	TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]	780	0.9842457175254822	0.19799697	Yes	
row_17	NLRP3	NLR family pyrin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:16400]	802	0.9782704710960388	0.2079246	Yes	
