NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD74	CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]	155	1.3860212564468384	0.025800481	Yes	
row_1	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	311	1.2146925926208496	0.047926374	Yes	
row_2	TDRD7	tudor domain containing 7 [Source:HGNC Symbol;Acc:HGNC:30831]	346	1.1917085647583008	0.07262439	Yes	
row_3	IFI27	interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]	443	1.1300443410873413	0.09442933	Yes	
row_4	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	507	1.0918967723846436	0.11625201	Yes	
row_5	PARP12	poly(ADP-ribose) polymerase family member 12 [Source:HGNC Symbol;Acc:HGNC:21919]	563	1.0670726299285889	0.13774493	Yes	
row_6	SAMD9	sterile alpha motif domain containing 9 [Source:HGNC Symbol;Acc:HGNC:1348]	616	1.042783260345459	0.1587929	Yes	
row_7	GMPR	guanosine monophosphate reductase [Source:HGNC Symbol;Acc:HGNC:4376]	652	1.0274723768234253	0.17994311	Yes	
row_8	IL15	interleukin 15 [Source:HGNC Symbol;Acc:HGNC:5977]	704	1.007154941558838	0.20025228	Yes	
row_9	TRIM14	tripartite motif containing 14 [Source:HGNC Symbol;Acc:HGNC:16283]	751	0.9946110844612122	0.22041905	Yes	
row_10	ISG15	ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]	755	0.9938406944274902	0.24165855	Yes	
row_11	BATF2	basic leucine zipper ATF-like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:25163]	920	0.9424571990966797	0.25771767	Yes	
row_12	PSME2	proteasome activator subunit 2 [Source:HGNC Symbol;Acc:HGNC:9569]	1085	0.8941693902015686	0.27274114	Yes	
row_13	CCRL2	C-C motif chemokine receptor like 2 [Source:HGNC Symbol;Acc:HGNC:1612]	1153	0.8778331279754639	0.28987134	Yes	
row_14	UBE2L6	ubiquitin conjugating enzyme E2 L6 [Source:HGNC Symbol;Acc:HGNC:12490]	1301	0.8398920297622681	0.3041613	Yes	
row_15	BST2	bone marrow stromal cell antigen 2 [Source:HGNC Symbol;Acc:HGNC:1119]	1439	0.8085001111030579	0.3180313	Yes	
row_16	SP110	SP110 nuclear body protein [Source:HGNC Symbol;Acc:HGNC:5401]	1446	0.8062169551849365	0.33517075	Yes	
row_17	OGFR	opioid growth factor receptor [Source:HGNC Symbol;Acc:HGNC:15768]	1655	0.766721248626709	0.34634617	Yes	
row_18	LGALS3BP	galectin 3 binding protein [Source:HGNC Symbol;Acc:HGNC:6564]	1731	0.752545952796936	0.36058664	Yes	
row_19	RIPK2	receptor interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:10020]	1765	0.7459697723388672	0.37574998	Yes	
row_20	NCOA7	nuclear receptor coactivator 7 [Source:HGNC Symbol;Acc:HGNC:21081]	1892	0.7239962220191956	0.3880862	Yes	
row_21	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	2251	0.6672763824462891	0.3933291	Yes	
row_22	MX1	MX dynamin like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:7532]	2372	0.6508206725120544	0.4042479	Yes	
row_23	PROCR	protein C receptor [Source:HGNC Symbol;Acc:HGNC:9452]	2467	0.6391125917434692	0.4155742	Yes	
row_24	OASL	2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090]	2579	0.6234416961669922	0.42613375	Yes	
row_25	HLA-C	major histocompatibility complex, class I, C [Source:HGNC Symbol;Acc:HGNC:4933]	2880	0.5896128416061401	0.43118015	Yes	
row_26	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	3097	0.5679678916931152	0.43789017	Yes	
row_27	HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6 [Source:HGNC Symbol;Acc:HGNC:26072]	3146	0.5624633431434631	0.44873774	Yes	
row_28	TRIM21	tripartite motif containing 21 [Source:HGNC Symbol;Acc:HGNC:11312]	3316	0.5471047759056091	0.45619085	Yes	
row_29	PSMB8	proteasome 20S subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]	3396	0.5398684740066528	0.46576858	Yes	
row_30	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	3521	0.5277526378631592	0.4739465	Yes	
row_31	TRAFD1	TRAF-type zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24808]	3817	0.5016016960144043	0.47723198	Yes	
row_32	IFIT3	interferon induced protein with tetratricopeptide repeats 3 [Source:HGNC Symbol;Acc:HGNC:5411]	3923	0.4931949973106384	0.48515004	Yes	
row_33	IFIH1	interferon induced with helicase C domain 1 [Source:HGNC Symbol;Acc:HGNC:18873]	4040	0.48330146074295044	0.49257725	Yes	
row_34	SAMD9L	sterile alpha motif domain containing 9 like [Source:HGNC Symbol;Acc:HGNC:1349]	4411	0.45819157361984253	0.49303183	Yes	
row_35	LAMP3	lysosomal associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:14582]	4496	0.4518144130706787	0.5005943	Yes	
row_36	GBP4	guanylate binding protein 4 [Source:HGNC Symbol;Acc:HGNC:20480]	4505	0.45126575231552124	0.51007026	Yes	
row_37	PNPT1	polyribonucleotide nucleotidyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23166]	4650	0.4416945278644562	0.51589584	Yes	
