NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	52	1.7167134284973145	0.016297916	Yes	
row_1	CD74	CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]	155	1.3860212564468384	0.027932148	Yes	
row_2	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	176	1.358560562133789	0.041367043	Yes	
row_3	PTPN1	protein tyrosine phosphatase non-receptor type 1 [Source:HGNC Symbol;Acc:HGNC:9642]	189	1.3412574529647827	0.054827522	Yes	
row_4	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	311	1.2146925926208496	0.0642209	Yes	
row_5	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	327	1.1990798711776733	0.07614603	Yes	
row_6	TDRD7	tudor domain containing 7 [Source:HGNC Symbol;Acc:HGNC:30831]	346	1.1917085647583008	0.087919325	Yes	
row_7	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	380	1.1658915281295776	0.09904672	Yes	
row_8	HLA-B	major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]	423	1.1419479846954346	0.109699816	Yes	
row_9	IFI27	interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]	443	1.1300443410873413	0.12081486	Yes	
row_10	SERPING1	serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228]	494	1.1008315086364746	0.1308428	Yes	
row_11	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	507	1.0918967723846436	0.14174412	Yes	
row_12	ST3GAL5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:10872]	512	1.0901705026626587	0.15283088	Yes	
row_13	PARP12	poly(ADP-ribose) polymerase family member 12 [Source:HGNC Symbol;Acc:HGNC:21919]	563	1.0670726299285889	0.16251238	Yes	
row_14	TNFAIP2	TNF alpha induced protein 2 [Source:HGNC Symbol;Acc:HGNC:11895]	651	1.0277658700942993	0.1708508	Yes	
row_15	RIGI	RNA sensor RIG-I [Source:HGNC Symbol;Acc:HGNC:19102]	660	1.02559494972229	0.18117324	Yes	
row_16	IL15	interleukin 15 [Source:HGNC Symbol;Acc:HGNC:5977]	704	1.007154941558838	0.19041757	Yes	
row_17	TRIM14	tripartite motif containing 14 [Source:HGNC Symbol;Acc:HGNC:16283]	751	0.9946110844612122	0.19945697	Yes	
row_18	ISG15	ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]	755	0.9938406944274902	0.20958051	Yes	
row_19	TAPBP	TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]	780	0.9842457175254822	0.21907224	Yes	
row_20	VAMP8	vesicle associated membrane protein 8 [Source:HGNC Symbol;Acc:HGNC:12647]	838	0.9671248197555542	0.2275502	Yes	
row_21	SELP	selectin P [Source:HGNC Symbol;Acc:HGNC:10721]	880	0.9550620913505554	0.23631069	Yes	
row_22	PNP	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	902	0.9462262988090515	0.24548844	Yes	
row_23	BATF2	basic leucine zipper ATF-like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:25163]	920	0.9424571990966797	0.25472906	Yes	
row_24	CD274	CD274 molecule [Source:HGNC Symbol;Acc:HGNC:17635]	988	0.9248411059379578	0.26251912	Yes	
row_25	PSME2	proteasome activator subunit 2 [Source:HGNC Symbol;Acc:HGNC:9569]	1085	0.8941693902015686	0.26925787	Yes	
row_26	CASP4	caspase 4 [Source:HGNC Symbol;Acc:HGNC:1505]	1110	0.8875055313110352	0.27775678	Yes	
row_27	BPGM	bisphosphoglycerate mutase [Source:HGNC Symbol;Acc:HGNC:1093]	1111	0.8873354196548462	0.28686345	Yes	
row_28	VCAM1	vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]	1271	0.8452848792076111	0.29150057	Yes	
row_29	UBE2L6	ubiquitin conjugating enzyme E2 L6 [Source:HGNC Symbol;Acc:HGNC:12490]	1301	0.8398920297622681	0.29938382	Yes	
row_30	HLA-A	major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]	1379	0.822458803653717	0.30586916	Yes	
row_31	ISOC1	isochorismatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24254]	1408	0.8159605264663696	0.3135322	Yes	
row_32	BST2	bone marrow stromal cell antigen 2 [Source:HGNC Symbol;Acc:HGNC:1119]	1439	0.8085001111030579	0.3210679	Yes	
row_33	SP110	SP110 nuclear body protein [Source:HGNC Symbol;Acc:HGNC:5401]	1446	0.8062169551849365	0.3291897	Yes	
row_34	HLA-G	major histocompatibility complex, class I, G [Source:HGNC Symbol;Acc:HGNC:4964]	1608	0.7749829292297363	0.3330545	Yes	
row_35	MT2A	metallothionein 2A [Source:HGNC Symbol;Acc:HGNC:7406]	1642	0.7695316076278687	0.3401141	Yes	
row_36	OGFR	opioid growth factor receptor [Source:HGNC Symbol;Acc:HGNC:15768]	1655	0.766721248626709	0.34767812	Yes	
row_37	PTPN6	protein tyrosine phosphatase non-receptor type 6 [Source:HGNC Symbol;Acc:HGNC:9658]	1718	0.7545206546783447	0.35384718	Yes	
row_38	LGALS3BP	galectin 3 binding protein [Source:HGNC Symbol;Acc:HGNC:6564]	1731	0.752545952796936	0.36126575	Yes	
row_39	RIPK2	receptor interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:10020]	1765	0.7459697723388672	0.3680835	Yes	
row_40	SOCS1	suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]	1894	0.723659873008728	0.37225968	Yes	
row_41	PLA2G4A	phospholipase A2 group IVA [Source:HGNC Symbol;Acc:HGNC:9035]	1916	0.7193068861961365	0.37910855	Yes	
row_42	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1942	0.7141156196594238	0.38580257	Yes	
row_43	TOR1B	torsin family 1 member B [Source:HGNC Symbol;Acc:HGNC:11995]	2081	0.6908577680587769	0.3893881	Yes	
row_44	FCGR1A	Fc gamma receptor Ia [Source:HGNC Symbol;Acc:HGNC:3613]	2234	0.6698430776596069	0.39240244	Yes	
row_45	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	2251	0.6672763824462891	0.39884433	Yes	
row_46	MX1	MX dynamin like GTPase 1 [Source:HGNC Symbol;Acc:HGNC:7532]	2372	0.6508206725120544	0.4024761	Yes	
row_47	PFKP	phosphofructokinase, platelet [Source:HGNC Symbol;Acc:HGNC:8878]	2422	0.644939661026001	0.40785068	Yes	
row_48	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	2456	0.6407134532928467	0.4135882	Yes	
row_49	NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	2516	0.6309835910797119	0.41856557	Yes	
row_50	OASL	2'-5'-oligoadenylate synthetase like [Source:HGNC Symbol;Acc:HGNC:8090]	2579	0.6234416961669922	0.42338935	Yes	
row_51	PSMB2	proteasome 20S subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:9539]	2590	0.6219658255577087	0.42951858	Yes	
row_52	SLAMF7	SLAM family member 7 [Source:HGNC Symbol;Acc:HGNC:21394]	2840	0.5937181115150452	0.4292882	Yes	
row_53	NAMPT	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	3038	0.5731679797172546	0.43016756	Yes	
row_54	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	3097	0.5679678916931152	0.43452358	Yes	
row_55	HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6 [Source:HGNC Symbol;Acc:HGNC:26072]	3146	0.5624633431434631	0.4390771	Yes	
row_56	ARL4A	ADP ribosylation factor like GTPase 4A [Source:HGNC Symbol;Acc:HGNC:695]	3287	0.5498349070549011	0.44116455	Yes	
row_57	TRIM21	tripartite motif containing 21 [Source:HGNC Symbol;Acc:HGNC:11312]	3316	0.5471047759056091	0.44606838	Yes	
