NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPP1	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]	23	1.8893380165100098	0.015648872	Yes	
row_1	EVI5	ecotropic viral integration site 5 [Source:HGNC Symbol;Acc:HGNC:3501]	59	1.677980899810791	0.029177034	Yes	
row_2	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	73	1.5923738479614258	0.042528383	Yes	
row_3	YRDC	yrdC N6-threonylcarbamoyltransferase domain containing [Source:HGNC Symbol;Acc:HGNC:28905]	156	1.3852436542510986	0.052347757	Yes	
row_4	BTBD3	BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15854]	164	1.3715015649795532	0.06395378	Yes	
row_5	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	176	1.358560562133789	0.07534702	Yes	
row_6	GPRC5B	G protein-coupled receptor class C group 5 member B [Source:HGNC Symbol;Acc:HGNC:13308]	180	1.3521894216537476	0.08688869	Yes	
row_7	IL33	interleukin 33 [Source:HGNC Symbol;Acc:HGNC:16028]	216	1.302904725074768	0.09719425	Yes	
row_8	EPHB2	EPH receptor B2 [Source:HGNC Symbol;Acc:HGNC:3393]	232	1.2854481935501099	0.107857734	Yes	
row_9	BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]	243	1.2731668949127197	0.11854268	Yes	
row_10	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	249	1.2708311080932617	0.12933454	Yes	
row_11	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	273	1.2544965744018555	0.13952893	Yes	
row_12	DCBLD2	discoidin, CUB and LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24627]	282	1.2439963817596436	0.15001403	Yes	
row_13	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	327	1.1990798711776733	0.15919897	Yes	
row_14	FUCA1	alpha-L-fucosidase 1 [Source:HGNC Symbol;Acc:HGNC:4006]	367	1.1728373765945435	0.1682854	Yes	
row_15	TOR1AIP2	torsin 1A interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:24055]	389	1.1614190340042114	0.17773087	Yes	
row_16	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	417	1.146195650100708	0.18689317	Yes	
row_17	SEMA3B	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]	453	1.1240942478179932	0.1956624	Yes	
row_18	SNAP25	synaptosome associated protein 25 [Source:HGNC Symbol;Acc:HGNC:11132]	463	1.1166913509368896	0.20502831	Yes	
row_19	AVL9	AVL9 cell migration associated [Source:HGNC Symbol;Acc:HGNC:28994]	479	1.111219882965088	0.21419485	Yes	
row_20	PTPRR	protein tyrosine phosphatase receptor type R [Source:HGNC Symbol;Acc:HGNC:9680]	504	1.0949769020080566	0.22299327	Yes	
row_21	TSPAN13	tetraspanin 13 [Source:HGNC Symbol;Acc:HGNC:21643]	543	1.0755974054336548	0.23126963	Yes	
row_22	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	603	1.0500235557556152	0.23879294	Yes	
row_23	ANXA10	annexin A10 [Source:HGNC Symbol;Acc:HGNC:534]	623	1.0406482219696045	0.24725154	Yes	
row_24	SLPI	secretory leukocyte peptidase inhibitor [Source:HGNC Symbol;Acc:HGNC:11092]	822	0.9731354117393494	0.2505842	Yes	
row_25	AMMECR1	AMMECR nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:467]	884	0.9540484547615051	0.2572321	Yes	
row_26	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	916	0.9425452947616577	0.26454306	Yes	
row_27	MAP7	microtubule associated protein 7 [Source:HGNC Symbol;Acc:HGNC:6869]	943	0.9378044605255127	0.27194026	Yes	
row_28	F2RL1	F2R like trypsin receptor 1 [Source:HGNC Symbol;Acc:HGNC:3538]	1072	0.8964976668357849	0.27639216	Yes	
row_29	HSD11B1	hydroxysteroid 11-beta dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5208]	1077	0.8952150344848633	0.28398216	Yes	
row_30	BPGM	bisphosphoglycerate mutase [Source:HGNC Symbol;Acc:HGNC:1093]	1111	0.8873354196548462	0.29076797	Yes	
