NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDLIM5	PDZ and LIM domain 5 [Source:HGNC Symbol;Acc:HGNC:17468]	34	1.8117705583572388	0.016140774	No	
row_1	BCR	BCR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:1014]	49	1.7304158210754395	0.032025922	No	
row_2	MAP3K11	mitogen-activated protein kinase kinase kinase 11 [Source:HGNC Symbol;Acc:HGNC:6850]	67	1.620922327041626	0.046807237	No	
row_3	RHOF	ras homolog family member F, filopodia associated [Source:HGNC Symbol;Acc:HGNC:15703]	93	1.5248711109161377	0.060483903	No	
row_4	EZR	ezrin [Source:HGNC Symbol;Acc:HGNC:12691]	139	1.404716968536377	0.07252494	No	
row_5	SPTBN1	spectrin beta, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11275]	148	1.3929985761642456	0.085395664	No	
row_6	ARL8A	ADP ribosylation factor like GTPase 8A [Source:HGNC Symbol;Acc:HGNC:25192]	157	1.3812603950500488	0.098156214	No	
row_7	TUBA4A	tubulin alpha 4a [Source:HGNC Symbol;Acc:HGNC:12407]	269	1.2597023248672485	0.107160084	No	
row_8	SYNPO	synaptopodin [Source:HGNC Symbol;Acc:HGNC:30672]	350	1.186935305595398	0.11626829	No	
row_9	CD2AP	CD2 associated protein [Source:HGNC Symbol;Acc:HGNC:14258]	377	1.1677703857421875	0.12656802	No	
row_10	SHROOM2	shroom family member 2 [Source:HGNC Symbol;Acc:HGNC:630]	390	1.1608679294586182	0.1371585	No	
row_11	BCAR1	BCAR1 scaffold protein, Cas family member [Source:HGNC Symbol;Acc:HGNC:971]	434	1.1358424425125122	0.14672683	No	
row_12	MARK4	microtubule affinity regulating kinase 4 [Source:HGNC Symbol;Acc:HGNC:13538]	466	1.11512291431427	0.15640546	No	
row_13	SSH2	slingshot protein phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:30580]	485	1.1059720516204834	0.16632836	No	
row_14	KATNB1	katanin regulatory subunit B1 [Source:HGNC Symbol;Acc:HGNC:6217]	519	1.0875974893569946	0.17569785	No	
row_15	ITSN1	intersectin 1 [Source:HGNC Symbol;Acc:HGNC:6183]	587	1.0591989755630493	0.18393734	No	
row_16	CSNK1D	casein kinase 1 delta [Source:HGNC Symbol;Acc:HGNC:2452]	644	1.0308645963668823	0.19219026	No	
row_17	DLG1	discs large MAGUK scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:2900]	944	0.9377564787864685	0.19339804	No	
row_18	EPB41	erythrocyte membrane protein band 4.1 [Source:HGNC Symbol;Acc:HGNC:3377]	1082	0.8945596814155579	0.19831459	No	
row_19	ALS2	alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443]	1203	0.8643794059753418	0.20337963	No	
row_20	ARHGDIA	Rho GDP dissociation inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:678]	1212	0.862043559551239	0.21126711	No	
row_21	CTTN	cortactin [Source:HGNC Symbol;Acc:HGNC:3338]	1304	0.8392776846885681	0.21683304	No	
row_22	ARHGAP5	Rho GTPase activating protein 5 [Source:HGNC Symbol;Acc:HGNC:675]	1315	0.8361711502075195	0.2244269	No	
row_23	ARHGEF3	Rho guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:683]	1333	0.831142008304596	0.23179579	No	
row_24	MAP1S	microtubule associated protein 1S [Source:HGNC Symbol;Acc:HGNC:15715]	1422	0.8129423260688782	0.23719074	No	
row_25	MAPRE1	microtubule associated protein RP/EB family member 1 [Source:HGNC Symbol;Acc:HGNC:6890]	1534	0.7911713719367981	0.24179724	No	
row_26	KIF3C	kinesin family member 3C [Source:HGNC Symbol;Acc:HGNC:6321]	1735	0.7511693239212036	0.24376805	No	
row_27	FLNB	filamin B [Source:HGNC Symbol;Acc:HGNC:3755]	1780	0.7433789968490601	0.24962755	No	
row_28	KIF5B	kinesin family member 5B [Source:HGNC Symbol;Acc:HGNC:6324]	1870	0.7269271612167358	0.25418982	No	
row_29	PXN	paxillin [Source:HGNC Symbol;Acc:HGNC:9718]	1902	0.7227581143379211	0.26018593	No	
row_30	CDC42EP4	CDC42 effector protein 4 [Source:HGNC Symbol;Acc:HGNC:17147]	2086	0.6893107295036316	0.2620079	No	
row_31	RAPGEF5	Rap guanine nucleotide exchange factor 5 [Source:HGNC Symbol;Acc:HGNC:16862]	2127	0.6832273006439209	0.26740444	No	
