NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TXNRD1	thioredoxin reductase 1 [Source:HGNC Symbol;Acc:HGNC:12437]	209	1.309064507484436	0.009276046	Yes	
row_1	TUBA4A	tubulin alpha 4a [Source:HGNC Symbol;Acc:HGNC:12407]	269	1.2597023248672485	0.021811776	Yes	
row_2	SKAP2	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]	275	1.250510573387146	0.03561656	Yes	
row_3	MLLT11	MLLT11 transcription factor 7 cofactor [Source:HGNC Symbol;Acc:HGNC:16997]	280	1.2449311017990112	0.04938459	Yes	
row_4	VLDLR	very low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:12698]	384	1.1626091003417969	0.059721127	Yes	
row_5	ATP6V1D	ATPase H+ transporting V1 subunit D [Source:HGNC Symbol;Acc:HGNC:13527]	547	1.0741971731185913	0.067574225	Yes	
row_6	RIT1	Ras like without CAAX 1 [Source:HGNC Symbol;Acc:HGNC:10023]	833	0.9695712327957153	0.071137816	Yes	
row_7	PNP	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	902	0.9462262988090515	0.07995257	Yes	
row_8	EBP	EBP cholestenol delta-isomerase [Source:HGNC Symbol;Acc:HGNC:3133]	1008	0.9193223118782043	0.087527886	Yes	
row_9	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	1031	0.9110533595085144	0.09711907	Yes	
row_10	DHCR7	7-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2860]	1116	0.8862656950950623	0.10485946	Yes	
row_11	AK4	adenylate kinase 4 [Source:HGNC Symbol;Acc:HGNC:363]	1149	0.8790308237075806	0.1138399	Yes	
row_12	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	1188	0.8691135048866272	0.122557476	Yes	
row_13	POLR3G	RNA polymerase III subunit G [Source:HGNC Symbol;Acc:HGNC:30075]	1237	0.8561057448387146	0.13087617	Yes	
row_14	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	1252	0.8503051400184631	0.13999374	Yes	
row_15	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]	1281	0.8442029356956482	0.14868777	Yes	
row_16	M6PR	mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]	1294	0.8407674431800842	0.15774988	Yes	
row_17	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	1308	0.8379624485969543	0.16675533	Yes	
row_18	PNO1	partner of NOB1 homolog [Source:HGNC Symbol;Acc:HGNC:32790]	1440	0.8082877993583679	0.1724333	Yes	
row_19	EGLN3	egl-9 family hypoxia inducible factor 3 [Source:HGNC Symbol;Acc:HGNC:14661]	1475	0.8024106025695801	0.18050933	Yes	
row_20	SLC9A3R1	SLC9A3 regulator 1 [Source:HGNC Symbol;Acc:HGNC:11075]	1481	0.8013876080513	0.1893105	Yes	
row_21	PSMD14	proteasome 26S subunit, non-ATPase 14 [Source:HGNC Symbol;Acc:HGNC:16889]	1492	0.7975035905838013	0.19794141	Yes	
row_22	GLA	galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296]	1515	0.7931528091430664	0.20621908	Yes	
row_23	EEF1E1	eukaryotic translation elongation factor 1 epsilon 1 [Source:HGNC Symbol;Acc:HGNC:3212]	1524	0.7921505570411682	0.21484114	Yes	
row_24	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	1563	0.7847549915313721	0.2226189	Yes	
row_25	PSMD12	proteasome 26S subunit, non-ATPase 12 [Source:HGNC Symbol;Acc:HGNC:9557]	1580	0.7816144824028015	0.2309204	Yes	
row_26	DHCR24	24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]	1590	0.7798305749893188	0.23937981	Yes	
row_27	TES	testin LIM domain protein [Source:HGNC Symbol;Acc:HGNC:14620]	1755	0.7473306655883789	0.24354054	Yes	
row_28	TM7SF2	transmembrane 7 superfamily member 2 [Source:HGNC Symbol;Acc:HGNC:11863]	1816	0.735801637172699	0.25021416	Yes	
row_29	HSPA4	heat shock protein family A (Hsp70) member 4 [Source:HGNC Symbol;Acc:HGNC:5237]	1879	0.7249921560287476	0.25671658	Yes	
row_30	IGFBP5	insulin like growth factor binding protein 5 [Source:HGNC Symbol;Acc:HGNC:5474]	1912	0.7207496762275696	0.26393363	Yes	
row_31	ELOVL6	ELOVL fatty acid elongase 6 [Source:HGNC Symbol;Acc:HGNC:15829]	1926	0.7174314856529236	0.27159628	Yes	
row_32	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1942	0.7141156196594238	0.27917117	Yes	
row_33	ARPC5L	actin related protein 2/3 complex subunit 5 like [Source:HGNC Symbol;Acc:HGNC:23366]	2052	0.6956928372383118	0.28415346	Yes	
row_34	PPA1	inorganic pyrophosphatase 1 [Source:HGNC Symbol;Acc:HGNC:9226]	2159	0.6788851618766785	0.2890247	Yes	
row_35	PSMB5	proteasome 20S subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:9542]	2203	0.6732139587402344	0.2954328	Yes	
row_36	QDPR	quinoid dihydropteridine reductase [Source:HGNC Symbol;Acc:HGNC:9752]	2277	0.6639259457588196	0.3009755	Yes	
row_37	PPP1R15A	protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]	2315	0.6601184010505676	0.3073901	Yes	
row_38	PSME3	proteasome activator subunit 3 [Source:HGNC Symbol;Acc:HGNC:9570]	2360	0.6529614925384521	0.31354716	Yes	
row_39	GSR	glutathione-disulfide reductase [Source:HGNC Symbol;Acc:HGNC:4623]	2533	0.6284054517745972	0.31617978	Yes	
row_40	ETF1	eukaryotic translation termination factor 1 [Source:HGNC Symbol;Acc:HGNC:3477]	2586	0.6224846839904785	0.32179415	Yes	
row_41	TOMM40	translocase of outer mitochondrial membrane 40 [Source:HGNC Symbol;Acc:HGNC:18001]	2689	0.6115882396697998	0.32601723	Yes	
row_42	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	2694	0.6110957860946655	0.33272377	Yes	
row_43	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	2771	0.6006854772567749	0.33748573	Yes	
row_44	CCNG1	cyclin G1 [Source:HGNC Symbol;Acc:HGNC:1592]	2798	0.5986039638519287	0.34349436	Yes	
row_45	STIP1	stress induced phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11387]	2860	0.5914068818092346	0.3485339	Yes	
row_46	PSMC4	proteasome 26S subunit, ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9551]	2898	0.5876713395118713	0.35414135	Yes	
row_47	GLRX	glutaredoxin [Source:HGNC Symbol;Acc:HGNC:4330]	2925	0.5854274034500122	0.3600032	Yes	
row_48	PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]	2953	0.5828943252563477	0.3658114	Yes	
row_49	NAMPT	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	3038	0.5731679797172546	0.3700636	Yes	
row_50	CYB5B	cytochrome b5 type B [Source:HGNC Symbol;Acc:HGNC:24374]	3105	0.567043662071228	0.37470475	Yes	
row_51	PRDX1	peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]	3184	0.5588511824607849	0.37894982	Yes	
row_52	GAPDH	glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]	3201	0.5571485161781311	0.38475057	Yes	
row_53	ACTR3	actin related protein 3 [Source:HGNC Symbol;Acc:HGNC:170]	3364	0.5421686768531799	0.38667643	Yes	
row_54	EIF2S2	eukaryotic translation initiation factor 2 subunit beta [Source:HGNC Symbol;Acc:HGNC:3266]	3478	0.5321884751319885	0.38973555	Yes	
row_55	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha [Source:HGNC Symbol;Acc:HGNC:13280]	3586	0.522419810295105	0.39283824	Yes	
row_56	SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	3650	0.5173076391220093	0.39700145	Yes	
row_57	ACTR2	actin related protein 2 [Source:HGNC Symbol;Acc:HGNC:169]	3689	0.5121998190879822	0.4017427	Yes	
row_58	G6PD	glucose-6-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4057]	3809	0.5021500587463379	0.4043148	Yes	
row_59	YKT6	YKT6 v-SNARE homolog [Source:HGNC Symbol;Acc:HGNC:16959]	3952	0.49125194549560547	0.40618134	Yes	
row_60	TFRC	transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]	3958	0.49066847562789917	0.4115208	Yes	
row_61	PSMC2	proteasome 26S subunit, ATPase 2 [Source:HGNC Symbol;Acc:HGNC:9548]	4263	0.46754902601242065	0.4090089	Yes	
row_62	SORD	sorbitol dehydrogenase [Source:HGNC Symbol;Acc:HGNC:11184]	4410	0.4584750831127167	0.41040868	Yes	
row_63	TUBG1	tubulin gamma 1 [Source:HGNC Symbol;Acc:HGNC:12417]	4470	0.4531625211238861	0.41395885	Yes	
row_64	SLC2A3	solute carrier family 2 member 3 [Source:HGNC Symbol;Acc:HGNC:11007]	4517	0.4501835107803345	0.417806	Yes	
