NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PICK1	protein interacting with PRKCA 1 [Source:HGNC Symbol;Acc:HGNC:9394]	70	1.6024465560913086	0.015406917	No	
row_1	SYNGR2	synaptogyrin 2 [Source:HGNC Symbol;Acc:HGNC:11499]	75	1.5906243324279785	0.032363284	No	
row_2	KLF5	KLF transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]	104	1.4872453212738037	0.04760147	No	
row_3	PSEN2	presenilin 2 [Source:HGNC Symbol;Acc:HGNC:9509]	128	1.4323879480361938	0.062378347	No	
row_4	HSPB8	heat shock protein family B (small) member 8 [Source:HGNC Symbol;Acc:HGNC:30171]	205	1.3110932111740112	0.07450839	No	
row_5	IGFBP7	insulin like growth factor binding protein 7 [Source:HGNC Symbol;Acc:HGNC:5476]	220	1.2998923063278198	0.08809295	No	
row_6	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	249	1.2708311080932617	0.1010103	No	
row_7	MAPRE3	microtubule associated protein RP/EB family member 3 [Source:HGNC Symbol;Acc:HGNC:6892]	260	1.262486457824707	0.11429531	No	
row_8	KCNH2	potassium voltage-gated channel subfamily H member 2 [Source:HGNC Symbol;Acc:HGNC:6251]	334	1.1945441961288452	0.12525167	No	
row_9	KIFC3	kinesin family member C3 [Source:HGNC Symbol;Acc:HGNC:6326]	424	1.1414554119110107	0.13523233	No	
row_10	FGF2	fibroblast growth factor 2 [Source:HGNC Symbol;Acc:HGNC:3676]	471	1.1135447025299072	0.14600576	No	
row_11	STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	552	1.0714105367660522	0.15546384	No	
row_12	PRNP	prion protein [Source:HGNC Symbol;Acc:HGNC:9449]	788	0.9824916124343872	0.16003175	No	
row_13	RIT1	Ras like without CAAX 1 [Source:HGNC Symbol;Acc:HGNC:10023]	833	0.9695712327957153	0.169312	No	
row_14	COL4A2	collagen type IV alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2203]	846	0.9649268388748169	0.17935517	No	
row_15	DTNA	dystrobrevin alpha [Source:HGNC Symbol;Acc:HGNC:3057]	1161	0.8749994039535522	0.18076392	No	
row_16	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	1188	0.8691135048866272	0.18942401	No	
row_17	PKIA	cAMP-dependent protein kinase inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:9017]	1521	0.7926956415176392	0.18949297	No	
row_18	ACTN2	actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]	1578	0.7817655801773071	0.1964544	No	
row_19	TNNT1	troponin T1, slow skeletal type [Source:HGNC Symbol;Acc:HGNC:11948]	1728	0.7528514266014099	0.20074381	No	
row_20	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	1759	0.7471293210983276	0.20799415	No	
row_21	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1942	0.7141156196594238	0.21103004	No	
row_22	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	2030	0.6981450915336609	0.2163074	No	
row_23	CKB	creatine kinase B [Source:HGNC Symbol;Acc:HGNC:1991]	2093	0.6879586577415466	0.22211048	No	
row_24	TPM3	tropomyosin 3 [Source:HGNC Symbol;Acc:HGNC:12012]	2245	0.6681479215621948	0.22544073	No	
row_25	ATP6AP1	ATPase H+ transporting accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:868]	2337	0.656313955783844	0.23016791	No	
row_26	MAPK12	mitogen-activated protein kinase 12 [Source:HGNC Symbol;Acc:HGNC:6874]	2358	0.6530361175537109	0.23666316	No	
