NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	5	2.246859550476074	0.022285298	Yes	
row_1	EPHA2	EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386]	69	1.6079645156860352	0.036724605	Yes	
row_2	PLK2	polo like kinase 2 [Source:HGNC Symbol;Acc:HGNC:19699]	187	1.3428590297698975	0.047148038	Yes	
row_3	TRAF4	TNF receptor associated factor 4 [Source:HGNC Symbol;Acc:HGNC:12034]	201	1.320587396621704	0.05999065	Yes	
row_4	RHBDF2	rhomboid 5 homolog 2 [Source:HGNC Symbol;Acc:HGNC:20788]	215	1.3048076629638672	0.072675854	Yes	
row_5	CD82	CD82 molecule [Source:HGNC Symbol;Acc:HGNC:6210]	227	1.2892330884933472	0.0852565	Yes	
row_6	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	249	1.2708311080932617	0.09739962	Yes	
row_7	PERP	p53 apoptosis effector related to PMP22 [Source:HGNC Symbol;Acc:HGNC:17637]	259	1.2638226747512817	0.1097776	Yes	
row_8	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	273	1.2544965744018555	0.12196096	Yes	
row_9	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	311	1.2146925926208496	0.13313773	Yes	
row_10	FUCA1	alpha-L-fucosidase 1 [Source:HGNC Symbol;Acc:HGNC:4006]	367	1.1728373765945435	0.14343986	Yes	
row_11	RPS27L	ribosomal protein S27 like [Source:HGNC Symbol;Acc:HGNC:18476]	491	1.1032085418701172	0.1513204	Yes	
row_12	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	507	1.0918967723846436	0.16183105	Yes	
row_13	KIF13B	kinesin family member 13B [Source:HGNC Symbol;Acc:HGNC:14405]	605	1.0487351417541504	0.16982856	Yes	
row_14	RCHY1	ring finger and CHY zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17479]	761	0.9913995862007141	0.1757811	Yes	
row_15	CCND3	cyclin D3 [Source:HGNC Symbol;Acc:HGNC:1585]	796	0.9795860052108765	0.1846889	Yes	
row_16	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	807	0.9768477082252502	0.19417892	Yes	
row_17	H1-2	H1.2 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4716]	826	0.9720883369445801	0.20341828	Yes	
row_18	VAMP8	vesicle associated membrane protein 8 [Source:HGNC Symbol;Acc:HGNC:12647]	838	0.9671248197555542	0.21278593	Yes	
row_19	PLK3	polo like kinase 3 [Source:HGNC Symbol;Acc:HGNC:2154]	888	0.9523760080337524	0.22104134	Yes	
row_20	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	916	0.9425452947616577	0.22975744	Yes	
row_21	ALOX15B	arachidonate 15-lipoxygenase type B [Source:HGNC Symbol;Acc:HGNC:434]	948	0.9369662404060364	0.2383163	Yes	
row_22	TM4SF1	transmembrane 4 L six family member 1 [Source:HGNC Symbol;Acc:HGNC:11853]	977	0.9286182522773743	0.24686809	Yes	
row_23	DRAM1	DNA damage regulated autophagy modulator 1 [Source:HGNC Symbol;Acc:HGNC:25645]	1034	0.9089054465293884	0.2545121	Yes	
row_24	TM7SF3	transmembrane 7 superfamily member 3 [Source:HGNC Symbol;Acc:HGNC:23049]	1193	0.8679713010787964	0.25915727	Yes	
row_25	CDK5R1	cyclin dependent kinase 5 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:1775]	1241	0.8548374176025391	0.26649052	Yes	
row_26	NINJ1	ninjurin 1 [Source:HGNC Symbol;Acc:HGNC:7824]	1263	0.8476465940475464	0.2744124	Yes	
row_27	JAG2	jagged canonical Notch ligand 2 [Source:HGNC Symbol;Acc:HGNC:6189]	1276	0.8447462916374207	0.2825339	Yes	
row_28	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	1341	0.8300248980522156	0.28918794	Yes	
row_29	BAX	BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]	1437	0.8089048862457275	0.29484394	Yes	
row_30	CDKN2A	cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]	1489	0.7977910041809082	0.3015066	Yes	
row_31	DGKA	diacylglycerol kinase alpha [Source:HGNC Symbol;Acc:HGNC:2849]	1565	0.784321665763855	0.30742535	Yes	
row_32	FAM162A	family with sequence similarity 162 member A [Source:HGNC Symbol;Acc:HGNC:17865]	1715	0.7548255920410156	0.31117046	Yes	
row_33	MDM2	MDM2 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:6973]	1817	0.735379695892334	0.31594068	Yes	
row_34	SLC19A2	solute carrier family 19 member 2 [Source:HGNC Symbol;Acc:HGNC:10938]	1871	0.7269165515899658	0.32184556	Yes	
row_35	SOCS1	suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]	1894	0.723659873008728	0.32850528	Yes	
