NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ISL1	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	1020	0.9142671227455139	0.036467213	Yes	
row_1	DPP4	dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]	2847	0.5926170945167542	0.030639619	Yes	
row_2	PAK3	p21 (RAC1) activated kinase 3 [Source:HGNC Symbol;Acc:HGNC:8592]	3307	0.5479705929756165	0.05634997	Yes	
row_3	SLC2A2	solute carrier family 2 member 2 [Source:HGNC Symbol;Acc:HGNC:11006]	4268	0.46741634607315063	0.063901015	Yes	
row_4	GCG	glucagon [Source:HGNC Symbol;Acc:HGNC:4191]	4292	0.46613872051239014	0.09506676	Yes	
row_5	FOXA2	forkhead box A2 [Source:HGNC Symbol;Acc:HGNC:5022]	4457	0.4541545808315277	0.12184966	Yes	
row_6	SRP14	signal recognition particle 14 [Source:HGNC Symbol;Acc:HGNC:11299]	4525	0.4498320519924164	0.15079181	Yes	
row_7	LMO2	LIM domain only 2 [Source:HGNC Symbol;Acc:HGNC:6642]	4885	0.42469024658203125	0.17063539	Yes	
row_8	HNF1A	HNF1 homeobox A [Source:HGNC Symbol;Acc:HGNC:11621]	5172	0.40729957818984985	0.19114107	Yes	
row_9	STXBP1	syntaxin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11444]	6298	0.35447004437446594	0.1868259	Yes	
row_10	SYT13	synaptotagmin 13 [Source:HGNC Symbol;Acc:HGNC:14962]	6593	0.3435826301574707	0.20278963	Yes	
row_11	PDX1	pancreatic and duodenal homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6107]	6722	0.3390467166900635	0.22264345	Yes	
row_12	SCGN	secretagogin, EF-hand calcium binding protein [Source:HGNC Symbol;Acc:HGNC:16941]	7797	0.31210270524024963	0.21673281	Yes	
row_13	PAX4	paired box 4 [Source:HGNC Symbol;Acc:HGNC:8618]	8805	0.2943531572818756	0.21130808	Yes	
row_14	DCX	doublecortin [Source:HGNC Symbol;Acc:HGNC:2714]	9251	0.28822633624076843	0.21968204	Yes	
row_15	NEUROD1	neuronal differentiation 1 [Source:HGNC Symbol;Acc:HGNC:7762]	10533	0.2730141282081604	0.20587303	Yes	
row_16	NKX2-2	NK2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7835]	11088	0.26752135157585144	0.21007964	Yes	
row_17	G6PC2	glucose-6-phosphatase catalytic subunit 2 [Source:HGNC Symbol;Acc:HGNC:28906]	11440	0.2639445960521698	0.21917757	Yes	
row_18	ABCC8	ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]	11945	0.2592155337333679	0.22408326	Yes	
row_19	INSM1	INSM transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:6090]	13532	0.2447507381439209	0.20063424	No	
row_20	PKLR	pyruvate kinase L/R [Source:HGNC Symbol;Acc:HGNC:9020]	13740	0.24283073842525482	0.2119367	No	
row_21	NEUROG3	neurogenin 3 [Source:HGNC Symbol;Acc:HGNC:13806]	18358	0.19887477159500122	0.108693056	No	
row_22	FOXO1	forkhead box O1 [Source:HGNC Symbol;Acc:HGNC:3819]	18788	0.19641081988811493	0.11121841	No	
row_23	PCSK2	proprotein convertase subtilisin/kexin type 2 [Source:HGNC Symbol;Acc:HGNC:8744]	19980	0.1828969120979309	0.093548335	No	
row_24	INS	insulin [Source:HGNC Symbol;Acc:HGNC:6081]	20538	0.17494681477546692	0.091374025	No	
row_25	IAPP	islet amyloid polypeptide [Source:HGNC Symbol;Acc:HGNC:5329]	21819	0.16207127273082733	0.07003428	No	
row_26	CHGA	chromogranin A [Source:HGNC Symbol;Acc:HGNC:1929]	23196	0.14053301513195038	0.04479927	No	
row_27	NKX6-1	NK6 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7839]	24376	0.11344752460718155	0.022702709	No	
row_28	SPCS1	signal peptidase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:23401]	26451	0.07734116166830063	-0.024492279	No	
row_29	SRP9	signal recognition particle 9 [Source:HGNC Symbol;Acc:HGNC:11304]	31583	-0.04125283658504486	-0.15147296	No	
row_30	PAX6	paired box 6 [Source:HGNC Symbol;Acc:HGNC:8620]	32140	-0.07317333668470383	-0.1605535	No	
row_31	SRPRB	SRP receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:24085]	32288	-0.0832652822136879	-0.15860093	No	
row_32	ELP4	elongator acetyltransferase complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:1171]	32547	-0.09706287831068039	-0.1585164	No	
row_33	SEC11A	SEC11 homolog A, signal peptidase complex subunit [Source:HGNC Symbol;Acc:HGNC:17718]	32859	-0.11715823411941528	-0.1584039	No	
row_34	GCK	glucokinase [Source:HGNC Symbol;Acc:HGNC:4195]	35722	-0.34588220715522766	-0.20724194	No	
row_35	SST	somatostatin [Source:HGNC Symbol;Acc:HGNC:11329]	36547	-0.4422398507595062	-0.19796544	No	
row_36	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	37504	-0.5764695405960083	-0.18288587	No	
row_37	MAFB	MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]	37604	-0.5938441753387451	-0.14494488	No	
row_38	PCSK1	proprotein convertase subtilisin/kexin type 1 [Source:HGNC Symbol;Acc:HGNC:8743]	38418	-0.778296709060669	-0.11250213	No	
row_39	VDR	vitamin D receptor [Source:HGNC Symbol;Acc:HGNC:12679]	39509	-2.0800602436065674	0.0015936636	No	
