NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DUSP3	dual specificity phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:3069]	1	2.4148707389831543	0.052128963	Yes	
row_1	PAK4	p21 (RAC1) activated kinase 4 [Source:HGNC Symbol;Acc:HGNC:16059]	173	1.3614864349365234	0.07720066	Yes	
row_2	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta [Source:HGNC Symbol;Acc:HGNC:9303]	340	1.1932599544525146	0.09876583	Yes	
row_3	PRKAA2	protein kinase AMP-activated catalytic subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:9377]	712	1.0052696466445923	0.111076996	Yes	
row_4	RIT1	Ras like without CAAX 1 [Source:HGNC Symbol;Acc:HGNC:10023]	833	0.9695712327957153	0.1289766	Yes	
row_5	PLA2G12A	phospholipase A2 group XIIA [Source:HGNC Symbol;Acc:HGNC:18554]	951	0.9353383779525757	0.14621288	Yes	
row_6	RALB	RAS like proto-oncogene B [Source:HGNC Symbol;Acc:HGNC:9840]	1128	0.8836071491241455	0.16083707	Yes	
row_7	RPS6KA1	ribosomal protein S6 kinase A1 [Source:HGNC Symbol;Acc:HGNC:10430]	1163	0.8746094107627869	0.1788647	Yes	
row_8	ARHGDIA	Rho GDP dissociation inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:678]	1212	0.862043559551239	0.19626623	Yes	
row_9	PRKCB	protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]	1268	0.8462297916412354	0.21314888	Yes	
row_10	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	1308	0.8379624485969543	0.23025835	Yes	
row_11	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	1563	0.7847549915313721	0.24077138	Yes	
row_12	EIF4E	eukaryotic translation initiation factor 4E [Source:HGNC Symbol;Acc:HGNC:3287]	1791	0.7423422932624817	0.2510525	Yes	
row_13	GRB2	growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]	1839	0.7324011325836182	0.26567945	Yes	
row_14	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1942	0.7141156196594238	0.27851802	Yes	
row_15	MAPK8	mitogen-activated protein kinase 8 [Source:HGNC Symbol;Acc:HGNC:6881]	2157	0.6790478229522705	0.2877615	Yes	
row_16	FGF22	fibroblast growth factor 22 [Source:HGNC Symbol;Acc:HGNC:3679]	2192	0.6752369403839111	0.30148327	Yes	
row_17	PIN1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1 [Source:HGNC Symbol;Acc:HGNC:8988]	2675	0.6126930713653564	0.3025036	Yes	
