NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP6V1H	ATPase H+ transporting V1 subunit H [Source:HGNC Symbol;Acc:HGNC:18303]	127	1.4360357522964478	0.035575513	Yes	
row_1	STAM	signal transducing adaptor molecule [Source:HGNC Symbol;Acc:HGNC:11357]	641	1.0321356058120728	0.050462633	Yes	
row_2	ICA1	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]	668	1.0224286317825317	0.07742351	Yes	
row_3	IGF2R	insulin like growth factor 2 receptor [Source:HGNC Symbol;Acc:HGNC:5467]	681	1.0175338983535767	0.1046068	Yes	
row_4	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	692	1.0144710540771484	0.131758	Yes	
row_5	M6PR	mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]	1294	0.8407674431800842	0.1392465	Yes	
row_6	NAPA	NSF attachment protein alpha [Source:HGNC Symbol;Acc:HGNC:7641]	1360	0.826406717300415	0.15992424	Yes	
row_7	OCRL	OCRL inositol polyphosphate-5-phosphatase [Source:HGNC Symbol;Acc:HGNC:8108]	1391	0.8187144994735718	0.18128075	Yes	
row_8	GLA	galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296]	1515	0.7931528091430664	0.199591	Yes	
row_9	CAV2	caveolin 2 [Source:HGNC Symbol;Acc:HGNC:1528]	1559	0.7856448888778687	0.21972488	Yes	
row_10	TPD52	tumor protein D52 [Source:HGNC Symbol;Acc:HGNC:12005]	1712	0.7551729679107666	0.23627457	Yes	
row_11	VAMP3	vesicle associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:12644]	1847	0.7308452725410461	0.25262305	Yes	
row_12	TOM1L1	target of myb1 like 1 membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:11983]	1928	0.7165495157241821	0.2699532	Yes	
row_13	SCAMP3	secretory carrier membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:10565]	2016	0.7000408172607422	0.28666005	Yes	
row_14	GALC	galactosylceramidase [Source:HGNC Symbol;Acc:HGNC:4115]	2451	0.6412209272384644	0.29298827	Yes	
row_15	CLN5	CLN5 intracellular trafficking protein [Source:HGNC Symbol;Acc:HGNC:2076]	2773	0.6006220579147339	0.3010821	Yes	
row_16	COG2	component of oligomeric golgi complex 2 [Source:HGNC Symbol;Acc:HGNC:6546]	3095	0.5683281421661377	0.3083036	Yes	
row_17	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	3235	0.5545596480369568	0.3197633	Yes	
row_18	LAMP2	lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]	3424	0.5375300049781799	0.32952178	Yes	
row_19	NAPG	NSF attachment protein gamma [Source:HGNC Symbol;Acc:HGNC:7642]	3437	0.536151111125946	0.34370118	Yes	
row_20	SCAMP1	secretory carrier membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:10563]	3471	0.5325981378555298	0.35725266	Yes	
row_21	RPS6KA3	ribosomal protein S6 kinase A3 [Source:HGNC Symbol;Acc:HGNC:10432]	3559	0.5249068140983582	0.3692285	Yes	
