NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	27	1.8659758567810059	0.022151532	No	
row_1	PDLIM5	PDZ and LIM domain 5 [Source:HGNC Symbol;Acc:HGNC:17468]	34	1.8117705583572388	0.044172287	No	
row_2	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	73	1.5923738479614258	0.06269642	No	
row_3	APBB2	amyloid beta precursor protein binding family B member 2 [Source:HGNC Symbol;Acc:HGNC:582]	147	1.3938961029052734	0.07790387	No	
row_4	ATP2C1	ATPase secretory pathway Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:13211]	234	1.2834060192108154	0.09142939	No	
row_5	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	281	1.2444883584976196	0.10549311	No	
row_6	BDNF	brain derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:1033]	285	1.2386746406555176	0.120576255	No	
row_7	CAP2	cyclase associated actin cytoskeleton regulatory protein 2 [Source:HGNC Symbol;Acc:HGNC:20039]	302	1.2222765684127808	0.135129	No	
row_8	RND3	Rho family GTPase 3 [Source:HGNC Symbol;Acc:HGNC:671]	332	1.19545316696167	0.14902379	No	
row_9	PLCB4	phospholipase C beta 4 [Source:HGNC Symbol;Acc:HGNC:9059]	365	1.1765425205230713	0.16261104	No	
row_10	FHL2	four and a half LIM domains 2 [Source:HGNC Symbol;Acc:HGNC:3703]	374	1.168938398361206	0.17671391	No	
row_11	VLDLR	very low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:12698]	384	1.1626091003417969	0.19071397	No	
row_12	RGS4	regulator of G protein signaling 4 [Source:HGNC Symbol;Acc:HGNC:10000]	405	1.1534748077392578	0.20432326	No	
row_13	ADORA2B	adenosine A2b receptor [Source:HGNC Symbol;Acc:HGNC:264]	551	1.0718553066253662	0.21376342	No	
row_14	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]	570	1.0650540590286255	0.2263413	No	
row_15	GRK5	G protein-coupled receptor kinase 5 [Source:HGNC Symbol;Acc:HGNC:4544]	662	1.024680495262146	0.23657368	No	
row_16	ICA1	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]	668	1.0224286317825317	0.24895962	No	
row_17	WDR37	WD repeat domain 37 [Source:HGNC Symbol;Acc:HGNC:31406]	881	0.9546456933021545	0.25526607	No	
