NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	200	0.5870477	2.632358	0.0	0.0	0.0	5975	tags=51%, list=15%, signal=60%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	196	0.5610536	2.5135937	0.0	0.0	0.0	5706	tags=49%, list=14%, signal=57%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	199	0.5408308	2.417275	0.0	0.0	0.0	7173	tags=51%, list=18%, signal=62%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	197	0.51407534	2.307792	0.0	0.0	0.0	6570	tags=47%, list=17%, signal=56%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	96	0.5610379	2.2777486	0.0	0.0	0.0	5650	tags=48%, list=14%, signal=56%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	157	0.5112875	2.2254097	0.0	0.0	0.0	4212	tags=45%, list=11%, signal=50%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	199	0.48918024	2.2037866	0.0	0.0	0.0	5960	tags=43%, list=15%, signal=51%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	48	0.5899219	2.0928118	0.0	0.0	0.0	5513	tags=58%, list=14%, signal=68%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	199	0.46261147	2.073818	0.0	1.1428571E-5	1.0E-4	7146	tags=51%, list=18%, signal=62%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	199	0.4585296	2.0571508	0.0	2.0015443E-5	2.0E-4	6420	tags=43%, list=16%, signal=51%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	198	0.45168504	2.0235796	0.0	4.5058347E-5	5.0E-4	7364	tags=47%, list=19%, signal=57%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	104	0.49254075	2.0137887	0.0	5.012701E-5	6.0E-4	7243	tags=46%, list=18%, signal=56%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	199	0.44521707	1.9996272	0.0	5.4662698E-5	7.0E-4	6729	tags=40%, list=17%, signal=48%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	159	0.45669425	1.9886898	0.0	6.527105E-5	9.0E-4	4594	tags=41%, list=12%, signal=46%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	197	0.44369572	1.9863318	0.0	6.0919647E-5	9.0E-4	7747	tags=48%, list=20%, signal=59%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	200	0.4369748	1.9654833	0.0	6.9555346E-5	0.0011	6381	tags=41%, list=16%, signal=49%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	95	0.48003602	1.9338754	0.0	1.2207679E-4	0.002	5337	tags=37%, list=13%, signal=42%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	200	0.43241823	1.9332306	0.0	1.2611345E-4	0.0022	5995	tags=42%, list=15%, signal=49%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	197	0.43032834	1.9240294	0.0	1.36041E-4	0.0025	4186	tags=36%, list=11%, signal=40%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	200	0.42282966	1.8968155	0.0	1.781682E-4	0.0035	5975	tags=40%, list=15%, signal=47%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		200	0.40178248	1.808405	0.0	5.3551147E-4	0.0112	6213	tags=40%, list=16%, signal=47%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		198	0.39383328	1.7636193	0.0	8.7707216E-4	0.0193	6056	tags=39%, list=15%, signal=46%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		99	0.42987517	1.7418106	7.08115E-4	0.0010639039	0.0243	4410	tags=36%, list=11%, signal=41%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		198	0.37499127	1.6835471	0.0	0.002060749	0.0489	8437	tags=40%, list=21%, signal=51%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM		200	0.37070572	1.6664213	1.3328002E-4	0.002372048	0.0584	6025	tags=34%, list=15%, signal=39%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		74	0.38657242	1.4916929	0.019825073	0.015448931	0.3331	5673	tags=36%, list=14%, signal=43%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		36	0.44326666	1.4868504	0.040097207	0.0155921625	0.3474	5584	tags=42%, list=14%, signal=48%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		103	0.35936496	1.4715284	0.015435186	0.017762844	0.3967	6940	tags=38%, list=18%, signal=46%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		198	0.31411788	1.4049572	0.015751211	0.03276366	0.6226	9976	tags=44%, list=25%, signal=58%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		136	0.3233352	1.3806014	0.031193677	0.039672747	0.7057	4853	tags=29%, list=12%, signal=33%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		112	0.33340698	1.3799372	0.038128987	0.03857312	0.7076	6940	tags=37%, list=18%, signal=44%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM		158	0.3165121	1.3770994	0.027762583	0.03840197	0.716	6766	tags=37%, list=17%, signal=45%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		87	0.33967397	1.3540125	0.06282876	0.045925055	0.7865	8095	tags=38%, list=20%, signal=48%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		112	0.30132055	1.2522897	0.107168004	0.10498807	0.9765	5837	tags=26%, list=15%, signal=30%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		54	0.3296405	1.1941067	0.2004191	0.15733433	0.9972	2695	tags=22%, list=7%, signal=24%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		135	0.25817505	1.0991014	0.27903742	0.28010407	1.0	9320	tags=38%, list=24%, signal=49%	
