NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	200	-0.68427694	-3.3601913	0.0	0.0	0.0	5214	tags=63%, list=13%, signal=72%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	199	-0.65484065	-3.2245464	0.0	0.0	0.0	4806	tags=58%, list=12%, signal=66%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	199	-0.43511406	-2.144093	0.0	2.0237522E-4	6.0E-4	3299	tags=36%, list=8%, signal=39%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	197	-0.3686025	-1.8181331	0.0	0.0029743721	0.0119	3973	tags=35%, list=10%, signal=39%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	42	-0.47525534	-1.7824327	0.0037005409	0.0031638506	0.016	1106	tags=17%, list=3%, signal=17%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	144	-0.3597467	-1.7013098	3.5561877E-4	0.0054306053	0.0319	5047	tags=43%, list=13%, signal=49%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	199	-0.3177132	-1.5677623	0.0011769321	0.015024266	0.0992	5171	tags=32%, list=13%, signal=37%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	36	-0.41994765	-1.5221694	0.03776824	0.018871663	0.1412	3401	tags=36%, list=9%, signal=39%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	199	-0.307332	-1.5185772	0.0024271845	0.01730301	0.1454	5648	tags=33%, list=14%, signal=38%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	149	-0.30279255	-1.431104	0.0152644655	0.03203896	0.2768	5520	tags=32%, list=14%, signal=37%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	44	-0.3418385	-1.2924738	0.11604198	0.0843442	0.6099	2479	tags=23%, list=6%, signal=24%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	32	-0.3480041	-1.215481	0.19171287	0.1357452	0.8103	4878	tags=31%, list=12%, signal=36%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	-0.2710454	-1.0812631	0.32107022	0.30797815	0.9851	4643	tags=28%, list=12%, signal=31%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	40	-0.23079911	-0.85216844	0.70736086	0.8006603	1.0	3852	tags=15%, list=10%, signal=17%	
