NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BMP4	bone morphogenetic protein 4 [Source:HGNC Symbol;Acc:HGNC:1071]	684	1.0170296430587769	0.014627728	No	
row_1	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	916	0.9425452947616577	0.03837966	No	
row_2	FZD6	frizzled class receptor 6 [Source:HGNC Symbol;Acc:HGNC:4044]	927	0.9412711262702942	0.06768397	No	
row_3	HHIP	hedgehog interacting protein [Source:HGNC Symbol;Acc:HGNC:14866]	1206	0.8640683889389038	0.087782286	No	
row_4	FZD9	frizzled class receptor 9 [Source:HGNC Symbol;Acc:HGNC:4047]	1449	0.80579674243927	0.10696175	No	
row_5	WNT4	Wnt family member 4 [Source:HGNC Symbol;Acc:HGNC:12783]	2285	0.6631236672401428	0.10665524	No	
row_6	APC	APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583]	2695	0.6110875606536865	0.11549462	No	
row_7	TCF7L1	transcription factor 7 like 1 [Source:HGNC Symbol;Acc:HGNC:11640]	3443	0.5349918603897095	0.11339141	No	
row_8	WNT3	Wnt family member 3 [Source:HGNC Symbol;Acc:HGNC:12782]	3846	0.4997265636920929	0.11891101	No	
row_9	DVL1	dishevelled segment polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:3084]	4751	0.43387943506240845	0.10965984	No	
row_10	WNT10B	Wnt family member 10B [Source:HGNC Symbol;Acc:HGNC:12775]	5087	0.4127461910247803	0.11414356	No	
row_11	FZD5	frizzled class receptor 5 [Source:HGNC Symbol;Acc:HGNC:4043]	5417	0.3939168453216553	0.11818783	No	
row_12	WNT6	Wnt family member 6 [Source:HGNC Symbol;Acc:HGNC:12785]	6196	0.35875314474105835	0.109766	No	
row_13	GSK3B	glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:HGNC:4617]	6270	0.35544273257255554	0.11908019	No	
row_14	WNT8B	Wnt family member 8B [Source:HGNC Symbol;Acc:HGNC:12789]	6307	0.3541412055492401	0.12928979	No	
row_15	WNT5A	Wnt family member 5A [Source:HGNC Symbol;Acc:HGNC:12784]	6626	0.34257835149765015	0.13200031	No	
row_16	WNT8A	Wnt family member 8A [Source:HGNC Symbol;Acc:HGNC:12788]	7095	0.3284977078437805	0.13047294	No	
row_17	WNT9B	Wnt family member 9B [Source:HGNC Symbol;Acc:HGNC:12779]	7837	0.3111635446548462	0.121493004	No	
row_18	WNT10A	Wnt family member 10A [Source:HGNC Symbol;Acc:HGNC:13829]	8933	0.2923392355442047	0.102964014	No	
row_19	WNT7A	Wnt family member 7A [Source:HGNC Symbol;Acc:HGNC:12786]	10503	0.2733469009399414	0.0718441	No	
row_20	SHH	sonic hedgehog signaling molecule [Source:HGNC Symbol;Acc:HGNC:10848]	10664	0.27168384194374084	0.07632661	No	
row_21	WNT2B	Wnt family member 2B [Source:HGNC Symbol;Acc:HGNC:12781]	13985	0.2405690848827362	-1.3150062E-4	No	
row_22	WNT1	Wnt family member 1 [Source:HGNC Symbol;Acc:HGNC:12774]	14098	0.23975767195224762	0.0045631076	No	
row_23	WNT3A	Wnt family member 3A [Source:HGNC Symbol;Acc:HGNC:15983]	14630	0.23544791340827942	-0.0014803804	No	
row_24	AXIN1	axin 1 [Source:HGNC Symbol;Acc:HGNC:903]	18249	0.19980967044830322	-0.08675926	No	
row_25	PTCH2	patched 2 [Source:HGNC Symbol;Acc:HGNC:9586]	27383	0.05214247480034828	-0.3162318	No	
row_26	WNT16	Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267]	27761	0.03561747074127197	-0.3246533	No	
row_27	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	27786	0.03438005596399307	-0.32418102	No	
row_28	SUFU	SUFU negative regulator of hedgehog signaling [Source:HGNC Symbol;Acc:HGNC:16466]	28286	0.008515320718288422	-0.3365408	No	
row_29	STK36	serine/threonine kinase 36 [Source:HGNC Symbol;Acc:HGNC:17209]	31445	-0.03407793119549751	-0.41538364	No	
row_30	DVL3	dishevelled segment polarity protein 3 [Source:HGNC Symbol;Acc:HGNC:3087]	31619	-0.04397930949926376	-0.41838038	No	
row_31	DVL2	dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]	31760	-0.0512470081448555	-0.42031384	No	
row_32	FZD8	frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046]	32721	-0.10755231231451035	-0.44122925	No	
row_33	FZD10	frizzled class receptor 10 [Source:HGNC Symbol;Acc:HGNC:4039]	33114	-0.1344945877790451	-0.44692543	No	
row_34	APC2	APC regulator of WNT signaling pathway 2 [Source:HGNC Symbol;Acc:HGNC:24036]	33437	-0.15552589297294617	-0.45018986	No	
row_35	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	33729	-0.1745607703924179	-0.4520721	No	
row_36	WNT5B	Wnt family member 5B [Source:HGNC Symbol;Acc:HGNC:16265]	33878	-0.18479645252227783	-0.45001435	No	
row_37	GLI2	GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318]	34749	-0.25890007615089417	-0.4638998	No	
row_38	FZD3	frizzled class receptor 3 [Source:HGNC Symbol;Acc:HGNC:4041]	35235	-0.3019151985645294	-0.46669206	No	
row_39	FZD4	frizzled class receptor 4 [Source:HGNC Symbol;Acc:HGNC:4042]	35624	-0.3369120955467224	-0.46593082	No	
