NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NECTIN2	nectin cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:9707]	12	2.0790979862213135	0.03355463	Yes	
row_1	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	52	1.7167134284973145	0.060523164	Yes	
row_2	PVR	PVR cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:9705]	119	1.4501677751541138	0.08246637	Yes	
row_3	PTPRF	protein tyrosine phosphatase receptor type F [Source:HGNC Symbol;Acc:HGNC:9670]	184	1.3483238220214844	0.10280172	Yes	
row_4	F11R	F11 receptor [Source:HGNC Symbol;Acc:HGNC:14685]	278	1.2475533485412598	0.12076075	Yes	
row_5	ITGA6	integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	314	1.212549090385437	0.1396202	Yes	
row_6	CADM1	cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5951]	422	1.14200758934021	0.15550542	Yes	
row_7	HLA-B	major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]	423	1.1419479846954346	0.17410247	Yes	
row_8	NRXN3	neurexin 3 [Source:HGNC Symbol;Acc:HGNC:8010]	437	1.1327146291732788	0.19221954	Yes	
row_9	ICOSLG	inducible T cell costimulator ligand [Source:HGNC Symbol;Acc:HGNC:17087]	710	1.0055173635482788	0.20169874	Yes	
row_10	SELP	selectin P [Source:HGNC Symbol;Acc:HGNC:10721]	880	0.9550620913505554	0.2129676	Yes	
row_11	CLDN22	claudin 22 [Source:HGNC Symbol;Acc:HGNC:2044]	886	0.9531582593917847	0.22836336	Yes	
row_12	CD274	CD274 molecule [Source:HGNC Symbol;Acc:HGNC:17635]	988	0.9248411059379578	0.24086408	Yes	
row_13	CLDN1	claudin 1 [Source:HGNC Symbol;Acc:HGNC:2032]	1015	0.9155086278915405	0.2551143	Yes	
row_14	L1CAM	L1 cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:6470]	1158	0.8763357400894165	0.2657856	Yes	
row_15	VCAM1	vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]	1271	0.8452848792076111	0.27671185	Yes	
row_16	PDCD1LG2	programmed cell death 1 ligand 2 [Source:HGNC Symbol;Acc:HGNC:18731]	1323	0.8338547945022583	0.28899845	Yes	
row_17	CLDN16	claudin 16 [Source:HGNC Symbol;Acc:HGNC:2037]	1344	0.8298616409301758	0.302006	Yes	
row_18	HLA-A	major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]	1379	0.822458803653717	0.31453803	Yes	
row_19	CDH2	cadherin 2 [Source:HGNC Symbol;Acc:HGNC:1759]	1602	0.7772426009178162	0.32156733	Yes	
row_20	HLA-G	major histocompatibility complex, class I, G [Source:HGNC Symbol;Acc:HGNC:4964]	1608	0.7749829292297363	0.33406144	Yes	
row_21	CADM3	cell adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:17601]	1726	0.7529455423355103	0.34335715	Yes	
row_22	CNTN1	contactin 1 [Source:HGNC Symbol;Acc:HGNC:2171]	1908	0.7218024730682373	0.35052305	Yes	
row_23	HLA-E	major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]	2055	0.695214569568634	0.35814333	Yes	
row_24	SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	2119	0.6846254467964172	0.36769548	Yes	
row_25	HLA-F	major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]	2314	0.6601538062095642	0.37352782	Yes	
row_26	HLA-C	major histocompatibility complex, class I, C [Source:HGNC Symbol;Acc:HGNC:4933]	2880	0.5896128416061401	0.3688054	Yes	
row_27	NCAM1	neural cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:7656]	3423	0.5375961065292358	0.363819	Yes	
