NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	5	2.246859550476074	0.036842115	No	
row_1	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	192	1.3346350193023682	0.054086562	No	
row_2	CCNH	cyclin H [Source:HGNC Symbol;Acc:HGNC:1594]	274	1.2505985498428345	0.072610036	No	
row_3	CDK6	cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]	606	1.0483603477478027	0.081468515	No	
row_4	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta [Source:HGNC Symbol;Acc:HGNC:12853]	737	1.0003913640975952	0.09463305	No	
row_5	CDKN2D	cyclin dependent kinase inhibitor 2D [Source:HGNC Symbol;Acc:HGNC:1790]	742	0.9981972575187683	0.11095556	No	
row_6	CCND3	cyclin D3 [Source:HGNC Symbol;Acc:HGNC:1585]	796	0.9795860052108765	0.12572971	No	
row_7	YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma [Source:HGNC Symbol;Acc:HGNC:12852]	1312	0.8367013335227966	0.12644127	No	
row_8	CCNE1	cyclin E1 [Source:HGNC Symbol;Acc:HGNC:1589]	1476	0.8023417592048645	0.13551064	No	
row_9	CDKN2A	cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]	1489	0.7977910041809082	0.14833295	No	
row_10	MDM2	MDM2 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:6973]	1817	0.735379695892334	0.15214318	No	
row_11	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	1858	0.7290228605270386	0.16312422	No	
row_12	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1942	0.7141156196594238	0.17276993	No	
row_13	SKP1	S-phase kinase associated protein 1 [Source:HGNC Symbol;Acc:HGNC:10899]	2906	0.5870094895362854	0.15801646	No	
row_14	ORC4	origin recognition complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:8490]	3313	0.5475373268127441	0.15673336	No	
row_15	CDK7	cyclin dependent kinase 7 [Source:HGNC Symbol;Acc:HGNC:1778]	3474	0.5323477983474731	0.16143642	No	
row_16	SMAD2	SMAD family member 2 [Source:HGNC Symbol;Acc:HGNC:6768]	3523	0.5275672078132629	0.1689	No	
row_17	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855]	3934	0.4924074113368988	0.16660842	No	
row_18	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon [Source:HGNC Symbol;Acc:HGNC:12851]	3954	0.4909650981426239	0.17420492	No	
row_19	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	4075	0.48080146312713623	0.17907383	No	
row_20	RB1	RB transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:9884]	4089	0.4794378876686096	0.18663275	No	
row_21	BUB3	BUB3 mitotic checkpoint protein [Source:HGNC Symbol;Acc:HGNC:1151]	4165	0.4748138189315796	0.1925439	No	
row_22	CCNB3	cyclin B3 [Source:HGNC Symbol;Acc:HGNC:18709]	4362	0.46202340722084045	0.19517727	No	
row_23	CDC16	cell division cycle 16 [Source:HGNC Symbol;Acc:HGNC:1720]	4593	0.4451681077480316	0.19667141	No	
row_24	SMAD3	SMAD family member 3 [Source:HGNC Symbol;Acc:HGNC:6769]	5017	0.4162866771221161	0.19279784	No	
row_25	HDAC1	histone deacetylase 1 [Source:HGNC Symbol;Acc:HGNC:4852]	5042	0.4151565730571747	0.19902025	No	
row_26	E2F5	E2F transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:3119]	5150	0.4088512659072876	0.20303488	No	
row_27	RBX1	ring-box 1 [Source:HGNC Symbol;Acc:HGNC:9928]	5732	0.37907153367996216	0.19454372	No	
row_28	ANAPC7	anaphase promoting complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:17380]	5833	0.3748050928115845	0.19817561	No	
row_29	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	5960	0.3685685396194458	0.2010458	No	
row_30	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta [Source:HGNC Symbol;Acc:HGNC:12854]	6066	0.36392539739608765	0.20437194	No	
row_31	GSK3B	glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:HGNC:4617]	6270	0.35544273257255554	0.20507424	No	
row_32	HDAC2	histone deacetylase 2 [Source:HGNC Symbol;Acc:HGNC:4853]	6719	0.33920520544052124	0.19929865	No	
row_33	CDKN2B	cyclin dependent kinase inhibitor 2B [Source:HGNC Symbol;Acc:HGNC:1788]	7939	0.30910569429397583	0.1734831	No	
row_34	CDC14A	cell division cycle 14A [Source:HGNC Symbol;Acc:HGNC:1718]	8672	0.29641759395599365	0.15980415	No	
row_35	FZR1	fizzy and cell division cycle 20 related 1 [Source:HGNC Symbol;Acc:HGNC:24824]	9284	0.287781298160553	0.14905044	No	
row_36	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	13093	0.24887585639953613	0.056613192	No	
row_37	ANAPC10	anaphase promoting complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:24077]	15306	0.2293785959482193	0.0043134717	No	
row_38	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta [Source:HGNC Symbol;Acc:HGNC:12849]	16906	0.21577337384223938	-0.032670658	No	
row_39	CUL1	cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]	18043	0.20418304204940796	-0.058108523	No	
row_40	CDK4	cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773]	20427	0.1769155114889145	-0.11560627	No	
row_41	ANAPC11	anaphase promoting complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:14452]	20680	0.17459110915660858	-0.11912178	No	
row_42	CDKN1C	cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]	21777	0.16372284293174744	-0.14421137	No	
row_43	CHEK2	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	23364	0.13501116633415222	-0.18219477	No	
row_44	SMC1B	structural maintenance of chromosomes 1B [Source:HGNC Symbol;Acc:HGNC:11112]	23972	0.12625370919704437	-0.1955048	No	
row_45	ORC5	origin recognition complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:8491]	24335	0.11481332778930664	-0.20279235	No	
row_46	MAD2L2	mitotic arrest deficient 2 like 2 [Source:HGNC Symbol;Acc:HGNC:6764]	24386	0.11331115663051605	-0.20219547	No	
row_47	ATR	ATR serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:882]	25900	0.09501050412654877	-0.23898649	No	
row_48	SKP1P2	S-phase kinase associated protein 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:10900]	27522	0.04590950533747673	-0.2793232	No	
row_49	WEE2	WEE2 oocyte meiosis inhibiting kinase [Source:HGNC Symbol;Acc:HGNC:19684]	27546	0.04465135559439659	-0.27917156	No	
row_50	ORC2	origin recognition complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:8488]	27750	0.03614073991775513	-0.28372294	No	
row_51	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	27786	0.03438005596399307	-0.2840445	No	
