NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RFC5	replication factor C subunit 5 [Source:HGNC Symbol;Acc:HGNC:9973]	3456	0.5339558124542236	-0.057036713	No	
row_1	POLE4	DNA polymerase epsilon 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:18755]	3563	0.5245044827461243	-0.029880324	No	
row_2	SSBP1	single stranded DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11317]	5620	0.3835379183292389	-0.060063973	No	
row_3	PRIM2	DNA primase subunit 2 [Source:HGNC Symbol;Acc:HGNC:9370]	10005	0.2789725363254547	-0.15507758	No	
row_4	RPA4	replication protein A4 [Source:HGNC Symbol;Acc:HGNC:30305]	13561	0.2444077432155609	-0.23108976	No	
row_5	POLD4	DNA polymerase delta 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:14106]	18660	0.19764924049377441	-0.34878862	No	
row_6	POLA2	DNA polymerase alpha 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:30073]	26339	0.08183836936950684	-0.5383309	No	
row_7	POLE3	DNA polymerase epsilon 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:13546]	26458	0.07687795162200928	-0.5369421	No	
row_8	RPA2	replication protein A2 [Source:HGNC Symbol;Acc:HGNC:10290]	32195	-0.07687503099441528	-0.67764825	No	
row_9	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	33361	-0.1503375619649887	-0.6985621	Yes	
row_10	RPA3	replication protein A3 [Source:HGNC Symbol;Acc:HGNC:10291]	33363	-0.15038061141967773	-0.69003266	Yes	
row_11	RNASEH2C	ribonuclease H2 subunit C [Source:HGNC Symbol;Acc:HGNC:24116]	33520	-0.16098326444625854	-0.68482053	Yes	
row_12	RFC1	replication factor C subunit 1 [Source:HGNC Symbol;Acc:HGNC:9969]	34064	-0.20012260973453522	-0.68717015	Yes	
row_13	RNASEH1	ribonuclease H1 [Source:HGNC Symbol;Acc:HGNC:18466]	34174	-0.20815333724021912	-0.67808586	Yes	
row_14	FEN1	flap structure-specific endonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3650]	34282	-0.21736440062522888	-0.668427	Yes	
row_15	RNASEH2A	ribonuclease H2 subunit A [Source:HGNC Symbol;Acc:HGNC:18518]	34360	-0.22355812788009644	-0.657657	Yes	
row_16	RFC2	replication factor C subunit 2 [Source:HGNC Symbol;Acc:HGNC:9970]	34630	-0.2489190250635147	-0.65030056	Yes	
row_17	POLD1	DNA polymerase delta 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9175]	35184	-0.2975558638572693	-0.64736044	Yes	
row_18	RFC4	replication factor C subunit 4 [Source:HGNC Symbol;Acc:HGNC:9972]	35648	-0.3387243449687958	-0.639802	Yes	
row_19	POLD2	DNA polymerase delta 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9176]	36775	-0.4700954258441925	-0.6415394	Yes	
row_20	RFC3	replication factor C subunit 3 [Source:HGNC Symbol;Acc:HGNC:9971]	37036	-0.5062330961227417	-0.6193175	Yes	
row_21	RPA1	replication protein A1 [Source:HGNC Symbol;Acc:HGNC:10289]	37196	-0.5293871164321899	-0.59322387	Yes	
row_22	DNA2	DNA replication helicase/nuclease 2 [Source:HGNC Symbol;Acc:HGNC:2939]	37432	-0.5670676827430725	-0.56690896	Yes	
row_23	POLE2	DNA polymerase epsilon 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9178]	37592	-0.5911841988563538	-0.5372999	Yes	
row_24	MCM5	minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948]	37624	-0.5977068543434143	-0.50408226	Yes	
row_25	MCM3	minichromosome maintenance complex component 3 [Source:HGNC Symbol;Acc:HGNC:6945]	37798	-0.63300621509552	-0.47244817	Yes	
row_26	MCM2	minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944]	37821	-0.6368399262428284	-0.4367768	Yes	
row_27	LIG1	DNA ligase 1 [Source:HGNC Symbol;Acc:HGNC:6598]	37927	-0.6586693525314331	-0.4019629	Yes	
row_28	PRIM1	DNA primase subunit 1 [Source:HGNC Symbol;Acc:HGNC:9369]	38051	-0.6879197955131531	-0.3659403	Yes	
row_29	POLE	DNA polymerase epsilon, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9177]	38537	-0.816821813583374	-0.33174086	Yes	
row_30	MCM4	minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]	38636	-0.8530469536781311	-0.28569236	Yes	
row_31	MCM7	minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]	38685	-0.8724611401557922	-0.23727483	Yes	
row_32	RNASEH2B	ribonuclease H2 subunit B [Source:HGNC Symbol;Acc:HGNC:25671]	38797	-0.9194579720497131	-0.18777722	Yes	
row_33	MCM6	minichromosome maintenance complex component 6 [Source:HGNC Symbol;Acc:HGNC:6949]	38888	-0.9626020789146423	-0.13529415	Yes	
row_34	POLD3	DNA polymerase delta 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:20932]	38969	-1.0124417543411255	-0.079722926	Yes	
row_35	POLA1	DNA polymerase alpha 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9173]	39447	-1.669083833694458	0.0031613975	Yes	
