NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPP1	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]	23	1.8893380165100098	0.038087256	No	
row_1	COL4A6	collagen type IV alpha 6 chain [Source:HGNC Symbol;Acc:HGNC:2208]	126	1.4377700090408325	0.06493157	No	
row_2	ITGA3	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]	160	1.3789536952972412	0.09231939	No	
row_3	ITGA6	integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	314	1.212549090385437	0.11326253	No	
row_4	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	417	1.146195650100708	0.13413909	No	
row_5	LAMC2	laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]	655	1.0271064043045044	0.14915955	No	
row_6	COL4A2	collagen type IV alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2203]	846	0.9649268388748169	0.16409755	No	
row_7	COL4A1	collagen type IV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2202]	887	0.9528319835662842	0.18258654	No	
row_8	ITGA5	integrin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6141]	989	0.9248005151748657	0.19895706	No	
row_9	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	1759	0.7471293210983276	0.19477502	No	
row_10	SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	2119	0.6846254467964172	0.19969633	No	
row_11	LAMA3	laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]	3118	0.5657281279563904	0.1860024	No	
row_12	LAMA1	laminin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6481]	3240	0.5540819764137268	0.19427884	No	
row_13	VWF	von Willebrand factor [Source:HGNC Symbol;Acc:HGNC:12726]	3549	0.5257088541984558	0.19723906	No	
