NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STAMBP	STAM binding protein [Source:HGNC Symbol;Acc:HGNC:16950]	137	1.4092974662780762	0.014104663	Yes	
row_1	DNAJC6	DnaJ heat shock protein family (Hsp40) member C6 [Source:HGNC Symbol;Acc:HGNC:15469]	240	1.277712345123291	0.027456151	Yes	
row_2	PARD6B	par-6 family cell polarity regulator beta [Source:HGNC Symbol;Acc:HGNC:16245]	305	1.2165851593017578	0.04100965	Yes	
row_3	PRKCI	protein kinase C iota [Source:HGNC Symbol;Acc:HGNC:9404]	337	1.194106936454773	0.055120423	Yes	
row_4	RAB11FIP1	RAB11 family interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:30265]	366	1.1756253242492676	0.06907678	Yes	
row_5	HLA-B	major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]	423	1.1419479846954346	0.08190218	Yes	
row_6	ADRB2	adrenoceptor beta 2 [Source:HGNC Symbol;Acc:HGNC:286]	441	1.131017804145813	0.09558125	Yes	
row_7	EHD1	EH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:3242]	465	1.1155412197113037	0.10891491	Yes	
row_8	CHMP2B	charged multivesicular body protein 2B [Source:HGNC Symbol;Acc:HGNC:24537]	487	1.1045080423355103	0.1221617	Yes	
row_9	CHMP4C	charged multivesicular body protein 4C [Source:HGNC Symbol;Acc:HGNC:30599]	558	1.068766713142395	0.1337187	Yes	
row_10	ARAP2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:16924]	592	1.0555888414382935	0.14605056	Yes	
row_11	STAM	signal transducing adaptor molecule [Source:HGNC Symbol;Acc:HGNC:11357]	641	1.0321356058120728	0.15770902	Yes	
row_12	GRK5	G protein-coupled receptor kinase 5 [Source:HGNC Symbol;Acc:HGNC:4544]	662	1.024680495262146	0.16998526	Yes	
row_13	ASAP2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:2721]	706	1.0066633224487305	0.18145286	Yes	
row_14	HSPA6	heat shock protein family A (Hsp70) member 6 [Source:HGNC Symbol;Acc:HGNC:5239]	773	0.986914336681366	0.19209021	Yes	
row_15	NEDD4	NEDD4 E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7727]	825	0.9724078178405762	0.20292735	Yes	
row_16	EPN3	epsin 3 [Source:HGNC Symbol;Acc:HGNC:18235]	1076	0.8954910635948181	0.20775323	Yes	
row_17	PLD1	phospholipase D1 [Source:HGNC Symbol;Acc:HGNC:9067]	1097	0.8910561800003052	0.21836236	Yes	
row_18	SMURF2	SMAD specific E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:16809]	1214	0.8615173697471619	0.226166	Yes	
row_19	ARRB1	arrestin beta 1 [Source:HGNC Symbol;Acc:HGNC:711]	1285	0.8424711227416992	0.23489971	Yes	
row_20	HLA-A	major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]	1379	0.822458803653717	0.24279992	Yes	
row_21	RAB11FIP5	RAB11 family interacting protein 5 [Source:HGNC Symbol;Acc:HGNC:24845]	1419	0.8132919073104858	0.25195655	Yes	
row_22	NEDD4L	NEDD4 like E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7728]	1427	0.8109769821166992	0.26189664	Yes	
