NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AKR1B1	aldo-keto reductase family 1 member B [Source:HGNC Symbol;Acc:HGNC:381]	501	1.0972422361373901	0.072320186	Yes	
row_1	MTMR7	myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454]	759	0.9926306009292603	0.14270838	Yes	
row_2	MTMR1	myotubularin related protein 1 [Source:HGNC Symbol;Acc:HGNC:7449]	1935	0.7154375910758972	0.16840792	Yes	
row_3	PFKP	phosphofructokinase, platelet [Source:HGNC Symbol;Acc:HGNC:8878]	2422	0.644939661026001	0.2060726	Yes	
row_4	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	2694	0.6110957860946655	0.24655344	Yes	
row_5	GFUS	GDP-L-fucose synthase [Source:HGNC Symbol;Acc:HGNC:12390]	2834	0.5942413210868835	0.2890672	Yes	
row_6	KHK	ketohexokinase [Source:HGNC Symbol;Acc:HGNC:6315]	2909	0.5868427753448486	0.33265185	Yes	
row_7	FCSK	fucose kinase [Source:HGNC Symbol;Acc:HGNC:29500]	3231	0.5547416806221008	0.367503	Yes	
row_8	MTMR6	myotubularin related protein 6 [Source:HGNC Symbol;Acc:HGNC:7453]	3699	0.5113406181335449	0.39529976	Yes	
row_9	PHPT1	phosphohistidine phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:30033]	4125	0.4773361384868622	0.42152485	Yes	
row_10	AKR1B10	aldo-keto reductase family 1 member B10 [Source:HGNC Symbol;Acc:HGNC:382]	4373	0.46149197220802307	0.4510245	Yes	
row_11	SORD	sorbitol dehydrogenase [Source:HGNC Symbol;Acc:HGNC:11184]	4410	0.4584750831127167	0.48562703	Yes	
row_12	ALDOB	aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]	4516	0.45018938183784485	0.5178426	Yes	
row_13	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	4584	0.445815771818161	0.55068046	Yes	
row_14	PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4 [Source:HGNC Symbol;Acc:HGNC:8875]	4586	0.44570446014404297	0.585179	Yes	
row_15	MTMR2	myotubularin related protein 2 [Source:HGNC Symbol;Acc:HGNC:7450]	5243	0.4033864140510559	0.59983367	Yes	
row_16	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:HGNC Symbol;Acc:HGNC:8874]	5342	0.39807969331741333	0.6281899	Yes	
row_17	FBP1	fructose-bisphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3606]	5720	0.37968775629997253	0.6480652	Yes	
row_18	HK1	hexokinase 1 [Source:HGNC Symbol;Acc:HGNC:4922]	6441	0.34905630350112915	0.6568929	Yes	
row_19	HK3	hexokinase 3 [Source:HGNC Symbol;Acc:HGNC:4925]	8365	0.3012033998966217	0.6315883	No	
row_20	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	10201	0.2765980660915375	0.6066034	No	
row_21	PFKM	phosphofructokinase, muscle [Source:HGNC Symbol;Acc:HGNC:8877]	12609	0.2533377408981323	0.56535006	No	
row_22	FBP2	fructose-bisphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3607]	13478	0.2453363984823227	0.5624005	No	
row_23	GMPPB	GDP-mannose pyrophosphorylase B [Source:HGNC Symbol;Acc:HGNC:22932]	17130	0.2128344625234604	0.48654726	No	
row_24	PFKFB1	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:8872]	19122	0.19233392179012299	0.4510899	No	
row_25	ALDOC	aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]	21939	0.1583058387041092	0.39213127	No	
row_26	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:8873]	22304	0.15183526277542114	0.39468616	No	
row_27	PFKL	phosphofructokinase, liver type [Source:HGNC Symbol;Acc:HGNC:8876]	26252	0.08302810788154602	0.30129194	No	
row_28	FPGT	fucose-1-phosphate guanylyltransferase [Source:HGNC Symbol;Acc:HGNC:3825]	27596	0.043088529258966446	0.27066308	No	
row_29	PMM1	phosphomannomutase 1 [Source:HGNC Symbol;Acc:HGNC:9114]	28378	0.0036503425799310207	0.25119317	No	
row_30	MPI	mannose phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:7216]	31646	-0.0451967790722847	0.17206678	No	
row_31	PMM2	phosphomannomutase 2 [Source:HGNC Symbol;Acc:HGNC:9115]	32314	-0.08465032279491425	0.16175428	No	
row_32	GMPPA	GDP-mannose pyrophosphorylase A [Source:HGNC Symbol;Acc:HGNC:22923]	33092	-0.13309383392333984	0.1524121	No	
row_33	GMDS	GDP-mannose 4,6-dehydratase [Source:HGNC Symbol;Acc:HGNC:4369]	33325	-0.14783839881420135	0.1579959	No	
