NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	52	1.7167134284973145	0.02887949	Yes	
row_1	PTK2	protein tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:9611]	120	1.4477722644805908	0.052648112	Yes	
row_2	EZR	ezrin [Source:HGNC Symbol;Acc:HGNC:12691]	139	1.404716968536377	0.07690118	Yes	
row_3	F11R	F11 receptor [Source:HGNC Symbol;Acc:HGNC:14685]	278	1.2475533485412598	0.09534858	Yes	
row_4	RAC2	Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802]	391	1.16048264503479	0.112923294	Yes	
row_5	TXK	TXK tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:12434]	394	1.1595314741134644	0.133269	Yes	
row_6	BCAR1	BCAR1 scaffold protein, Cas family member [Source:HGNC Symbol;Acc:HGNC:971]	434	1.1358424425125122	0.1522603	Yes	
row_7	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]	486	1.1050164699554443	0.17040527	Yes	
row_8	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]	570	1.0650540590286255	0.18703632	Yes	
row_9	CYBA	cytochrome b-245 alpha chain [Source:HGNC Symbol;Acc:HGNC:2577]	613	1.043396234512329	0.20432547	Yes	
row_10	CLDN22	claudin 22 [Source:HGNC Symbol;Acc:HGNC:2044]	886	0.9531582593917847	0.21419847	Yes	
row_11	MAPK11	mitogen-activated protein kinase 11 [Source:HGNC Symbol;Acc:HGNC:6873]	890	0.9508082866668701	0.23084734	Yes	
row_12	CLDN1	claudin 1 [Source:HGNC Symbol;Acc:HGNC:2032]	1015	0.9155086278915405	0.2438088	Yes	
row_13	RAPGEF3	Rap guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:16629]	1265	0.8469879031181335	0.25239715	Yes	
row_14	PRKCB	protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]	1268	0.8462297916412354	0.2672318	Yes	
row_15	VCAM1	vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]	1271	0.8452848792076111	0.28204983	Yes	
row_16	ARHGAP5	Rho GTPase activating protein 5 [Source:HGNC Symbol;Acc:HGNC:675]	1315	0.8361711502075195	0.29566848	Yes	
row_17	CLDN16	claudin 16 [Source:HGNC Symbol;Acc:HGNC:2037]	1344	0.8298616409301758	0.30955634	Yes	
row_18	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	1563	0.7847549915313721	0.3178356	Yes	
row_19	ACTN2	actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]	1578	0.7817655801773071	0.3312322	Yes	
row_20	PXN	paxillin [Source:HGNC Symbol;Acc:HGNC:9718]	1902	0.7227581143379211	0.33575994	Yes	
row_21	MYL12B	myosin light chain 12B [Source:HGNC Symbol;Acc:HGNC:29827]	1971	0.7084742188453674	0.34649882	Yes	
row_22	MYL12A	myosin light chain 12A [Source:HGNC Symbol;Acc:HGNC:16701]	2065	0.6935224533081055	0.35634112	Yes	
row_23	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	2297	0.6620326042175293	0.36213225	Yes	
row_24	MAPK12	mitogen-activated protein kinase 12 [Source:HGNC Symbol;Acc:HGNC:6874]	2358	0.6530361175537109	0.3720987	Yes	
row_25	NCF2	neutrophil cytosolic factor 2 [Source:HGNC Symbol;Acc:HGNC:7661]	2510	0.63196861743927	0.3793884	Yes	
row_26	VASP	vasodilator stimulated phosphoprotein [Source:HGNC Symbol;Acc:HGNC:12652]	2603	0.6196001172065735	0.38795575	Yes	
