NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DUSP3	dual specificity phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:3069]	1	2.4148707389831543	0.01871549	Yes	
row_1	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	5	2.246859550476074	0.036076225	Yes	
row_2	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	27	1.8659758567810059	0.05002314	Yes	
row_3	CACNG6	calcium voltage-gated channel auxiliary subunit gamma 6 [Source:HGNC Symbol;Acc:HGNC:13625]	41	1.7649401426315308	0.06338947	Yes	
row_4	CACNG8	calcium voltage-gated channel auxiliary subunit gamma 8 [Source:HGNC Symbol;Acc:HGNC:13628]	56	1.7033582925796509	0.07625245	Yes	
row_5	MAP3K11	mitogen-activated protein kinase kinase kinase 11 [Source:HGNC Symbol;Acc:HGNC:6850]	67	1.620922327041626	0.08857744	Yes	
row_6	DUSP8	dual specificity phosphatase 8 [Source:HGNC Symbol;Acc:HGNC:3074]	138	1.404928207397461	0.09769977	Yes	
row_7	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	192	1.3346350193023682	0.106709056	Yes	
row_8	BDNF	brain derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:1033]	285	1.2386746406555176	0.11398146	Yes	
row_9	CACNG7	calcium voltage-gated channel auxiliary subunit gamma 7 [Source:HGNC Symbol;Acc:HGNC:13626]	293	1.232461929321289	0.12336807	Yes	
row_10	RASGRF2	Ras protein specific guanine nucleotide releasing factor 2 [Source:HGNC Symbol;Acc:HGNC:9876]	295	1.2299965620040894	0.13288818	Yes	
row_11	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:6883]	312	1.2143656015396118	0.1419054	Yes	
row_12	RRAS2	RAS related 2 [Source:HGNC Symbol;Acc:HGNC:17271]	362	1.1791620254516602	0.14980987	Yes	
row_13	RAC2	Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802]	391	1.16048264503479	0.15810363	Yes	
row_14	FGF2	fibroblast growth factor 2 [Source:HGNC Symbol;Acc:HGNC:3676]	471	1.1135447025299072	0.16473567	Yes	
row_15	PTPRR	protein tyrosine phosphatase receptor type R [Source:HGNC Symbol;Acc:HGNC:9680]	504	1.0949769020080566	0.17241931	Yes	
row_16	FGF1	fibroblast growth factor 1 [Source:HGNC Symbol;Acc:HGNC:3665]	515	1.0895956754684448	0.18062086	Yes	
row_17	MECOM	MDS1 and EVI1 complex locus [Source:HGNC Symbol;Acc:HGNC:3498]	584	1.0601129531860352	0.18711808	Yes	
row_18	MAP3K5	mitogen-activated protein kinase kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6857]	650	1.028273582458496	0.19344454	Yes	
