NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TYRP1	tyrosinase related protein 1 [Source:HGNC Symbol;Acc:HGNC:12450]	255	1.2653777599334717	0.01959612	No	
row_1	PLCB4	phospholipase C beta 4 [Source:HGNC Symbol;Acc:HGNC:9059]	365	1.1765425205230713	0.04106179	No	
row_2	EDN1	endothelin 1 [Source:HGNC Symbol;Acc:HGNC:3176]	378	1.1665273904800415	0.06477866	No	
row_3	FZD6	frizzled class receptor 6 [Source:HGNC Symbol;Acc:HGNC:4044]	927	0.9412711262702942	0.07027787	No	
row_4	PRKX	protein kinase cAMP-dependent X-linked catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9441]	941	0.9381557703018188	0.08926683	No	
row_5	CREB3	cAMP responsive element binding protein 3 [Source:HGNC Symbol;Acc:HGNC:2347]	1196	0.8673093914985657	0.10069134	No	
row_6	PRKCB	protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]	1268	0.8462297916412354	0.11631799	No	
row_7	FZD9	frizzled class receptor 9 [Source:HGNC Symbol;Acc:HGNC:4047]	1449	0.80579674243927	0.12835059	No	
row_8	CALM2	calmodulin 2 [Source:HGNC Symbol;Acc:HGNC:1445]	1546	0.7886684536933899	0.14215858	No	
row_9	MAP2K1	mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840]	1906	0.7223803997039795	0.14793864	No	
row_10	WNT4	Wnt family member 4 [Source:HGNC Symbol;Acc:HGNC:12783]	2285	0.6631236672401428	0.15201713	No	
row_11	PLCB1	phospholipase C beta 1 [Source:HGNC Symbol;Acc:HGNC:15917]	2682	0.6121541857719421	0.15459006	No	
row_12	GNAI2	G protein subunit alpha i2 [Source:HGNC Symbol;Acc:HGNC:4385]	3130	0.5646631717681885	0.154893	No	
row_13	HRAS	HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]	3406	0.5391584634780884	0.15902828	No	
row_14	TCF7L1	transcription factor 7 like 1 [Source:HGNC Symbol;Acc:HGNC:11640]	3443	0.5349918603897095	0.16913268	No	
row_15	WNT3	Wnt family member 3 [Source:HGNC Symbol;Acc:HGNC:12782]	3846	0.4997265636920929	0.16923851	No	
row_16	GNAI1	G protein subunit alpha i1 [Source:HGNC Symbol;Acc:HGNC:4384]	4131	0.4770759046077728	0.17186739	No	
row_17	DVL1	dishevelled segment polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:3084]	4751	0.43387943506240845	0.16511974	No	
row_18	WNT10B	Wnt family member 10B [Source:HGNC Symbol;Acc:HGNC:12775]	5087	0.4127461910247803	0.1651319	No	
row_19	FZD5	frizzled class receptor 5 [Source:HGNC Symbol;Acc:HGNC:4043]	5417	0.3939168453216553	0.16490832	No	
row_20	WNT6	Wnt family member 6 [Source:HGNC Symbol;Acc:HGNC:12785]	6196	0.35875314474105835	0.15258552	No	
row_21	GSK3B	glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:HGNC:4617]	6270	0.35544273257255554	0.1580553	No	
row_22	WNT8B	Wnt family member 8B [Source:HGNC Symbol;Acc:HGNC:12789]	6307	0.3541412055492401	0.16443567	No	
row_23	WNT5A	Wnt family member 5A [Source:HGNC Symbol;Acc:HGNC:12784]	6626	0.34257835149765015	0.16343363	No	
