NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SHC3	SHC adaptor protein 3 [Source:HGNC Symbol;Acc:HGNC:18181]	53	1.7119107246398926	0.028158983	Yes	
row_1	ARHGDIB	Rho GDP dissociation inhibitor beta [Source:HGNC Symbol;Acc:HGNC:679]	208	1.3091803789138794	0.046817034	Yes	
row_2	BDNF	brain derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:1033]	285	1.2386746406555176	0.066237345	Yes	
row_3	BEX3	brain expressed X-linked 3 [Source:HGNC Symbol;Acc:HGNC:13388]	375	1.1686571836471558	0.08412144	Yes	
row_4	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]	486	1.1050164699554443	0.10037641	Yes	
row_5	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]	570	1.0650540590286255	0.11662715	Yes	
row_6	MAP3K5	mitogen-activated protein kinase kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6857]	650	1.028273582458496	0.13234542	Yes	
row_7	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta [Source:HGNC Symbol;Acc:HGNC:12853]	737	1.0003913640975952	0.14740573	Yes	
row_8	SORT1	sortilin 1 [Source:HGNC Symbol;Acc:HGNC:11186]	785	0.9832314252853394	0.16315897	Yes	
row_9	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	807	0.9768477082252502	0.17946132	Yes	
row_10	MAPK11	mitogen-activated protein kinase 11 [Source:HGNC Symbol;Acc:HGNC:6873]	890	0.9508082866668701	0.19376852	Yes	
row_11	NFKBIE	NFKB inhibitor epsilon [Source:HGNC Symbol;Acc:HGNC:7799]	982	0.9267628788948059	0.20743318	Yes	
row_12	RPS6KA1	ribosomal protein S6 kinase A1 [Source:HGNC Symbol;Acc:HGNC:10430]	1163	0.8746094107627869	0.21794286	Yes	
row_13	ARHGDIA	Rho GDP dissociation inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:678]	1212	0.862043559551239	0.23158224	Yes	
row_14	SHC2	SHC adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:29869]	1232	0.8570161461830139	0.24587014	Yes	
row_15	YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma [Source:HGNC Symbol;Acc:HGNC:12852]	1312	0.8367013335227966	0.25828692	Yes	
row_16	ZNF274	zinc finger protein 274 [Source:HGNC Symbol;Acc:HGNC:13068]	1390	0.8188489675521851	0.27044672	Yes	
row_17	BAX	BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]	1437	0.8089048862457275	0.28322104	Yes	
row_18	CALM2	calmodulin 2 [Source:HGNC Symbol;Acc:HGNC:1445]	1546	0.7886684536933899	0.29407486	Yes	
row_19	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	1563	0.7847549915313721	0.3071935	Yes	
row_20	RIPK2	receptor interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:10020]	1765	0.7459697723388672	0.31495386	Yes	
row_21	GRB2	growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]	1839	0.7324011325836182	0.32572526	Yes	
