NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	176	1.358560562133789	0.050867785	Yes	
row_1	BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]	243	1.2731668949127197	0.101042144	Yes	
row_2	CASP1	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	311	1.2146925926208496	0.14881006	Yes	
row_3	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	700	1.009742021560669	0.18010825	Yes	
row_4	NLRP3	NLR family pyrin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:16400]	802	0.9782704710960388	0.21738833	Yes	
row_5	MAPK11	mitogen-activated protein kinase 11 [Source:HGNC Symbol;Acc:HGNC:6873]	890	0.9508082866668701	0.25390443	Yes	
row_6	NOD2	nucleotide binding oligomerization domain containing 2 [Source:HGNC Symbol;Acc:HGNC:5331]	1685	0.7609127163887024	0.26479495	Yes	
row_7	RIPK2	receptor interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:10020]	1765	0.7459697723388672	0.29317227	Yes	
row_8	CHUK	component of inhibitor of nuclear factor kappa B kinase complex [Source:HGNC Symbol;Acc:HGNC:1974]	2120	0.6845418810844421	0.31208846	Yes	
row_9	MAPK8	mitogen-activated protein kinase 8 [Source:HGNC Symbol;Acc:HGNC:6881]	2157	0.6790478229522705	0.33882892	Yes	
row_10	HSP90AA1	heat shock protein 90 alpha family class A member 1 [Source:HGNC Symbol;Acc:HGNC:5253]	2162	0.6780717372894287	0.36633947	Yes	
row_11	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	2280	0.6638875603675842	0.39041263	Yes	
row_12	MAPK12	mitogen-activated protein kinase 12 [Source:HGNC Symbol;Acc:HGNC:6874]	2358	0.6530361175537109	0.41505623	Yes	
row_13	NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	2516	0.6309835910797119	0.43677714	Yes	
row_14	NLRP1	NLR family pyrin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14374]	2636	0.6164211630821228	0.4588668	Yes	
row_15	TAB3	TGF-beta activated kinase 1 (MAP3K7) binding protein 3 [Source:HGNC Symbol;Acc:HGNC:30681]	3060	0.5716428160667419	0.47143936	Yes	
row_16	TRIP6	thyroid hormone receptor interactor 6 [Source:HGNC Symbol;Acc:HGNC:12311]	3079	0.5697863101959229	0.4941861	Yes	
row_17	SUGT1	SGT1 homolog, MIS12 kinetochore complex assembly cochaperone [Source:HGNC Symbol;Acc:HGNC:16987]	3151	0.5620077252388	0.51527476	Yes	
row_18	PYCARD	PYD and CARD domain containing [Source:HGNC Symbol;Acc:HGNC:16608]	3889	0.49626636505126953	0.51683116	Yes	
row_19	CXCL8	C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025]	4406	0.4587799906730652	0.5224542	Yes	
row_20	MAPK9	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]	4750	0.434018075466156	0.5314472	Yes	
row_21	MAP3K7	mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6859]	4840	0.4276912808418274	0.5466108	Yes	
row_22	CASP5	caspase 5 [Source:HGNC Symbol;Acc:HGNC:1506]	5573	0.3865220248699188	0.5438248	Yes	
row_23	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	6106	0.36266762018203735	0.5451291	Yes	
row_24	NLRC4	NLR family CARD domain containing 4 [Source:HGNC Symbol;Acc:HGNC:16412]	6576	0.34411507844924927	0.5472723	Yes	
row_25	CXCL2	C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]	6639	0.3420507609844208	0.5596319	Yes	
row_26	MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]	7059	0.3294403553009033	0.56244296	Yes	
row_27	CCL2	C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]	7173	0.32642003893852234	0.57287526	Yes	
row_28	NFKBIB	NFKB inhibitor beta [Source:HGNC Symbol;Acc:HGNC:7798]	7243	0.32466307282447815	0.58434963	Yes	
row_29	TAB2	TGF-beta activated kinase 1 (MAP3K7) binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17075]	8717	0.29580754041671753	0.55911636	No	
row_30	MEFV	MEFV innate immuity regulator, pyrin [Source:HGNC Symbol;Acc:HGNC:6998]	9604	0.28380072116851807	0.54825	No	
row_31	PYDC1	pyrin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30261]	9885	0.2804326117038727	0.5525833	No	
row_32	IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta [Source:HGNC Symbol;Acc:HGNC:5960]	15995	0.22357964515686035	0.40708032	No	
row_33	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	16539	0.21876771748065948	0.40224645	No	
row_34	CARD18	caspase recruitment domain family member 18 [Source:HGNC Symbol;Acc:HGNC:28861]	16988	0.21477237343788147	0.39965418	No	
row_35	CARD9	caspase recruitment domain family member 9 [Source:HGNC Symbol;Acc:HGNC:16391]	22406	0.14939217269420624	0.26864344	No	
