NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GPR37	G protein-coupled receptor 37 [Source:HGNC Symbol;Acc:HGNC:4494]	77	1.584543228149414	0.02844928	Yes	
row_1	UCHL1	ubiquitin C-terminal hydrolase L1 [Source:HGNC Symbol;Acc:HGNC:12513]	246	1.272539734840393	0.048605252	Yes	
row_2	SLC25A4	solute carrier family 25 member 4 [Source:HGNC Symbol;Acc:HGNC:10990]	323	1.2033783197402954	0.06976676	Yes	
row_3	CYCS	cytochrome c, somatic [Source:HGNC Symbol;Acc:HGNC:19986]	685	1.0170257091522217	0.08012723	Yes	
row_4	VDAC2	voltage dependent anion channel 2 [Source:HGNC Symbol;Acc:HGNC:12672]	786	0.983135998249054	0.096454635	Yes	
row_5	SNCA	synuclein alpha [Source:HGNC Symbol;Acc:HGNC:11138]	824	0.9724079370498657	0.11417345	Yes	
row_6	UQCR10	ubiquinol-cytochrome c reductase, complex III subunit X [Source:HGNC Symbol;Acc:HGNC:30863]	885	0.9534187912940979	0.13094482	Yes	
row_7	UBE2L6	ubiquitin conjugating enzyme E2 L6 [Source:HGNC Symbol;Acc:HGNC:12490]	1301	0.8398920297622681	0.13653769	Yes	
row_8	UBE2J2	ubiquitin conjugating enzyme E2 J2 [Source:HGNC Symbol;Acc:HGNC:19268]	1544	0.7890239953994751	0.14554067	Yes	
row_9	UQCR11	ubiquinol-cytochrome c reductase, complex III subunit XI [Source:HGNC Symbol;Acc:HGNC:30862]	1716	0.7547909021377563	0.15568693	Yes	
row_10	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]	1730	0.7526445388793945	0.16979776	Yes	
row_11	SDHB	succinate dehydrogenase complex iron sulfur subunit B [Source:HGNC Symbol;Acc:HGNC:10681]	1752	0.7478021383285522	0.18361288	Yes	
row_12	NDUFC1	NADH:ubiquinone oxidoreductase subunit C1 [Source:HGNC Symbol;Acc:HGNC:7705]	1920	0.7187615633010864	0.19316928	Yes	
row_13	NDUFA4	NDUFA4 mitochondrial complex associated [Source:HGNC Symbol;Acc:HGNC:7687]	2146	0.6805242896080017	0.20052156	Yes	
row_14	NDUFC2	NADH:ubiquinone oxidoreductase subunit C2 [Source:HGNC Symbol;Acc:HGNC:7706]	2181	0.6765667200088501	0.21264035	Yes	
row_15	COX6A1	cytochrome c oxidase subunit 6A1 [Source:HGNC Symbol;Acc:HGNC:2277]	2184	0.6764419674873352	0.22556804	Yes	
