NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDE5A	phosphodiesterase 5A [Source:HGNC Symbol;Acc:HGNC:8784]	26	1.8736746311187744	0.025556218	No	
row_1	PDE6B	phosphodiesterase 6B [Source:HGNC Symbol;Acc:HGNC:8786]	438	1.1321256160736084	0.030968806	No	
row_2	GMPR	guanosine monophosphate reductase [Source:HGNC Symbol;Acc:HGNC:4376]	652	1.0274723768234253	0.039940715	No	
row_3	XDH	xanthine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12805]	729	1.0020900964736938	0.052033402	No	
row_4	PNP	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	902	0.9462262988090515	0.06090878	No	
row_5	POLR2L	RNA polymerase II, I and III subunit L [Source:HGNC Symbol;Acc:HGNC:9199]	997	0.9231226444244385	0.071439885	No	
row_6	AK4	adenylate kinase 4 [Source:HGNC Symbol;Acc:HGNC:363]	1149	0.8790308237075806	0.079907894	No	
row_7	POLR3G	RNA polymerase III subunit G [Source:HGNC Symbol;Acc:HGNC:30075]	1237	0.8561057448387146	0.08967892	No	
row_8	CANT1	calcium activated nucleotidase 1 [Source:HGNC Symbol;Acc:HGNC:19721]	1479	0.8016552925109863	0.09478086	No	
row_9	POLR3F	RNA polymerase III subunit F [Source:HGNC Symbol;Acc:HGNC:15763]	1482	0.8011482954025269	0.10593954	No	
row_10	PDE4C	phosphodiesterase 4C [Source:HGNC Symbol;Acc:HGNC:8782]	1711	0.755333662033081	0.11072319	No	
row_11	RRM2B	ribonucleotide reductase regulatory TP53 inducible subunit M2B [Source:HGNC Symbol;Acc:HGNC:17296]	1764	0.7462261319160461	0.119844824	No	
row_12	AMPD3	adenosine monophosphate deaminase 3 [Source:HGNC Symbol;Acc:HGNC:470]	1818	0.7353523373603821	0.12878895	No	
row_13	PDE10A	phosphodiesterase 10A [Source:HGNC Symbol;Acc:HGNC:8772]	1949	0.7125803828239441	0.13546084	No	
row_14	ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6 [Source:HGNC Symbol;Acc:HGNC:3368]	2193	0.6749155521392822	0.13873872	No	
row_15	FHIT	fragile histidine triad diadenosine triphosphatase [Source:HGNC Symbol;Acc:HGNC:3701]	2223	0.6710545420646667	0.14739214	No	
row_16	NME7	NME/NM23 family member 7 [Source:HGNC Symbol;Acc:HGNC:20461]	2330	0.6573346853256226	0.15389997	No	
row_17	NUDT5	nudix hydrolase 5 [Source:HGNC Symbol;Acc:HGNC:8052]	2530	0.628562331199646	0.15764564	No	
row_18	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2 [Source:HGNC Symbol;Acc:HGNC:8604]	2534	0.6283512115478516	0.16636123	No	
row_19	NME3	NME/NM23 nucleoside diphosphate kinase 3 [Source:HGNC Symbol;Acc:HGNC:7851]	2609	0.6192629933357239	0.17314826	No	
row_20	GUCY2D	guanylate cyclase 2D, retinal [Source:HGNC Symbol;Acc:HGNC:4689]	2731	0.6058552861213684	0.17855522	No	
row_21	DGUOK	deoxyguanosine kinase [Source:HGNC Symbol;Acc:HGNC:2858]	3155	0.5616630911827087	0.17568162	No	
row_22	NPR1	natriuretic peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:7943]	3228	0.554805338382721	0.18161753	No	
row_23	PRUNE1	prune exopolyphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:13420]	3522	0.5276082754135132	0.18156575	No	
row_24	ADK	adenosine kinase [Source:HGNC Symbol;Acc:HGNC:257]	3552	0.5253901481628418	0.18818107	No	
row_25	POLE4	DNA polymerase epsilon 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:18755]	3563	0.5245044827461243	0.19526605	No	
row_26	NUDT9	nudix hydrolase 9 [Source:HGNC Symbol;Acc:HGNC:8056]	3667	0.5154067277908325	0.19986418	No	
row_27	NME1	NME/NM23 nucleoside diphosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:7849]	3726	0.5091229677200317	0.20551611	No	
row_28	POLR2B	RNA polymerase II subunit B [Source:HGNC Symbol;Acc:HGNC:9188]	3856	0.4986589848995209	0.20922025	No	
row_29	ENTPD3	ectonucleoside triphosphate diphosphohydrolase 3 [Source:HGNC Symbol;Acc:HGNC:3365]	3969	0.4897301495075226	0.21323077	No	
row_30	GUK1	guanylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:4693]	3991	0.488275945186615	0.21952978	No	
row_31	PDE6G	phosphodiesterase 6G [Source:HGNC Symbol;Acc:HGNC:8789]	4053	0.482380747795105	0.22473143	No	
row_32	PDE6D	phosphodiesterase 6D [Source:HGNC Symbol;Acc:HGNC:8788]	4061	0.48195749521255493	0.23129722	No	
row_33	POLR2K	RNA polymerase II, I and III subunit K [Source:HGNC Symbol;Acc:HGNC:9198]	4473	0.4530051350593567	0.22720776	No	
row_34	AK7	adenylate kinase 7 [Source:HGNC Symbol;Acc:HGNC:20091]	4556	0.4474155306816101	0.23138739	No	
row_35	PDE9A	phosphodiesterase 9A [Source:HGNC Symbol;Acc:HGNC:8795]	4635	0.4427480399608612	0.2356032	No	
row_36	PNPT1	polyribonucleotide nucleotidyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23166]	4650	0.4416945278644562	0.24142805	No	
row_37	APRT	adenine phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:626]	4715	0.4365314543247223	0.24591208	No	
row_38	ADSS2	adenylosuccinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:292]	4962	0.41987454891204834	0.24554539	No	
row_39	POLR3H	RNA polymerase III subunit H [Source:HGNC Symbol;Acc:HGNC:30349]	5014	0.4165554940700531	0.25007975	No	
row_40	POLR3K	RNA polymerase III subunit K [Source:HGNC Symbol;Acc:HGNC:14121]	5160	0.4082713723182678	0.25211325	No	
row_41	PKM	pyruvate kinase M1/2 [Source:HGNC Symbol;Acc:HGNC:9021]	5339	0.3982737958431244	0.25316963	No	
