NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EXOSC4	exosome component 4 [Source:HGNC Symbol;Acc:HGNC:18189]	831	0.9698813557624817	0.027763465	No	
row_1	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	1862	0.7285452485084534	0.03834957	No	
row_2	SKIC2	SKI2 subunit of superkiller complex [Source:HGNC Symbol;Acc:HGNC:10898]	2744	0.6041945219039917	0.046450466	No	
row_3	LSM1	LSM1 homolog, mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:20472]	2757	0.6023321151733398	0.07644932	No	
row_4	MPHOSPH6	M-phase phosphoprotein 6 [Source:HGNC Symbol;Acc:HGNC:7214]	3579	0.5228427052497864	0.08197593	No	
row_5	EXOSC7	exosome component 7 [Source:HGNC Symbol;Acc:HGNC:28112]	3599	0.5212528109550476	0.10771864	No	
row_6	ENO3	enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]	3924	0.4929845333099365	0.124320626	No	
row_7	CNOT7	CCR4-NOT transcription complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:14101]	4341	0.4636768698692322	0.13711995	No	
row_8	PNPT1	polyribonucleotide nucleotidyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23166]	4650	0.4416945278644562	0.15154651	No	
row_9	LSM4	LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17259]	5831	0.3748502731323242	0.14054266	No	
row_10	ENO1	enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]	9379	0.28647807240486145	0.06519161	No	
row_11	HSPD1	heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]	9731	0.28221815824508667	0.07050693	No	
row_12	EXOSC1	exosome component 1 [Source:HGNC Symbol;Acc:HGNC:17286]	10037	0.27867522835731506	0.07680813	No	
row_13	EXOSC3	exosome component 3 [Source:HGNC Symbol;Acc:HGNC:17944]	11050	0.2680377960205078	0.06468223	No	
row_14	LSM5	LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17162]	12608	0.25334396958351135	0.038024873	No	
row_15	PAPOLB	poly(A) polymerase beta [Source:HGNC Symbol;Acc:HGNC:15970]	13711	0.2430613487958908	0.022364827	No	
row_16	SKIC8	SKI8 subunit of superkiller complex [Source:HGNC Symbol;Acc:HGNC:30300]	14226	0.2387787252664566	0.021369752	No	
row_17	EXOSC5	exosome component 5 [Source:HGNC Symbol;Acc:HGNC:24662]	17692	0.20811554789543152	-0.055848446	No	
