NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HSPA6	heat shock protein family A (Hsp70) member 6 [Source:HGNC Symbol;Acc:HGNC:5239]	773	0.986914336681366	0.0036715528	No	
row_1	PPIL1	peptidylprolyl isomerase like 1 [Source:HGNC Symbol;Acc:HGNC:9260]	1574	0.7830971479415894	0.0018535738	No	
row_2	SNRNP27	small nuclear ribonucleoprotein U4/U6.U5 subunit 27 [Source:HGNC Symbol;Acc:HGNC:30240]	2058	0.6946113109588623	0.0059853946	No	
row_3	BCAS2	BCAS2 pre-mRNA processing factor [Source:HGNC Symbol;Acc:HGNC:975]	2202	0.6733849048614502	0.018235736	No	
row_4	SRSF9	serine and arginine rich splicing factor 9 [Source:HGNC Symbol;Acc:HGNC:10791]	2448	0.641567051410675	0.027150271	No	
row_5	HSPA1B	heat shock protein family A (Hsp70) member 1B [Source:HGNC Symbol;Acc:HGNC:5233]	2868	0.5905577540397644	0.03045137	No	
row_6	HSPA1L	heat shock protein family A (Hsp70) member 1 like [Source:HGNC Symbol;Acc:HGNC:5234]	3260	0.5525986552238464	0.03356736	No	
row_7	HSPA8	heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]	3597	0.5215808749198914	0.037346333	No	
row_8	DHX16	DEAH-box helicase 16 [Source:HGNC Symbol;Acc:HGNC:2739]	3886	0.49636995792388916	0.041747738	No	
row_9	SNRPA1	small nuclear ribonucleoprotein polypeptide A' [Source:HGNC Symbol;Acc:HGNC:11152]	3956	0.49081262946128845	0.051569737	No	
row_10	PRPF40A	pre-mRNA processing factor 40 homolog A [Source:HGNC Symbol;Acc:HGNC:16463]	5603	0.38467326760292053	0.018912775	No	
row_11	SNU13	small nuclear ribonucleoprotein 13 [Source:HGNC Symbol;Acc:HGNC:7819]	5751	0.3781261444091797	0.024100853	No	
row_12	HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	5763	0.37755194306373596	0.03272297	No	
row_13	LSM4	LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17259]	5831	0.3748502731323242	0.039861802	No	
row_14	PRPF18	pre-mRNA processing factor 18 [Source:HGNC Symbol;Acc:HGNC:17351]	6551	0.3451501727104187	0.029772354	No	
row_15	PQBP1	polyglutamine binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9330]	7805	0.3119555711746216	0.0053635202	No	
row_16	TXNL4A	thioredoxin like 4A [Source:HGNC Symbol;Acc:HGNC:30551]	7825	0.3114159107208252	0.01222365	No	
row_17	ZMAT2	zinc finger matrin-type 2 [Source:HGNC Symbol;Acc:HGNC:26433]	8092	0.30591070652008057	0.012692585	No	
row_18	SF3B4	splicing factor 3b subunit 4 [Source:HGNC Symbol;Acc:HGNC:10771]	8254	0.30297577381134033	0.015754059	No	
row_19	SF3B6	splicing factor 3b subunit 6 [Source:HGNC Symbol;Acc:HGNC:30096]	8412	0.3004634380340576	0.018857703	No	
row_20	HSPA2	heat shock protein family A (Hsp70) member 2 [Source:HGNC Symbol;Acc:HGNC:5235]	8652	0.2967127561569214	0.019794237	No	
row_21	CTNNBL1	catenin beta like 1 [Source:HGNC Symbol;Acc:HGNC:15879]	8789	0.29470327496528625	0.023294428	No	
row_22	EFTUD2	elongation factor Tu GTP binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30858]	8946	0.2921599745750427	0.026227664	No	
row_23	PUF60	poly(U) binding splicing factor 60 [Source:HGNC Symbol;Acc:HGNC:17042]	9081	0.29029014706611633	0.029674513	No	
row_24	SNRPC	small nuclear ribonucleoprotein polypeptide C [Source:HGNC Symbol;Acc:HGNC:11157]	10237	0.2761791944503784	0.006906518	No	
row_25	SNRPG	small nuclear ribonucleoprotein polypeptide G [Source:HGNC Symbol;Acc:HGNC:11163]	10405	0.27446451783180237	0.009143727	No	
row_26	SNRPD2	small nuclear ribonucleoprotein D2 polypeptide [Source:HGNC Symbol;Acc:HGNC:11159]	12215	0.2565910816192627	-0.030664856	No	
row_27	LSM5	LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17162]	12608	0.25334396958351135	-0.034629285	No	
