NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	F11R	F11 receptor [Source:HGNC Symbol;Acc:HGNC:14685]	278	1.2475533485412598	0.012308861	Yes	
row_1	PARD6B	par-6 family cell polarity regulator beta [Source:HGNC Symbol;Acc:HGNC:16245]	305	1.2165851593017578	0.030526504	Yes	
row_2	PRKCI	protein kinase C iota [Source:HGNC Symbol;Acc:HGNC:9404]	337	1.194106936454773	0.048268598	Yes	
row_3	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta [Source:HGNC Symbol;Acc:HGNC:9303]	340	1.1932599544525146	0.066732824	Yes	
row_4	PALS1	protein associated with LIN7 1, MAGUK p55 family member [Source:HGNC Symbol;Acc:HGNC:18669]	348	1.188307285308838	0.08499343	Yes	
row_5	RRAS2	RAS related 2 [Source:HGNC Symbol;Acc:HGNC:17271]	362	1.1791620254516602	0.10296001	Yes	
row_6	PPP2R2A	protein phosphatase 2 regulatory subunit Balpha [Source:HGNC Symbol;Acc:HGNC:9304]	464	1.116323709487915	0.117720395	Yes	
row_7	PPP2CB	protein phosphatase 2 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9300]	701	1.0094152688980103	0.12739913	Yes	
row_8	CLDN22	claudin 22 [Source:HGNC Symbol;Acc:HGNC:2044]	886	0.9531582593917847	0.13752338	Yes	
row_9	CLDN1	claudin 1 [Source:HGNC Symbol;Acc:HGNC:2032]	1015	0.9155086278915405	0.1484833	Yes	
row_10	EPB41	erythrocyte membrane protein band 4.1 [Source:HGNC Symbol;Acc:HGNC:3377]	1082	0.8945596814155579	0.16069014	Yes	
row_11	CASK	calcium/calmodulin dependent serine protein kinase [Source:HGNC Symbol;Acc:HGNC:1497]	1250	0.85198974609375	0.16967566	Yes	
row_12	PRKCB	protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]	1268	0.8462297916412354	0.18237497	Yes	
row_13	CTTN	cortactin [Source:HGNC Symbol;Acc:HGNC:3338]	1304	0.8392776846885681	0.19451001	Yes	
row_14	TJP2	tight junction protein 2 [Source:HGNC Symbol;Acc:HGNC:11828]	1307	0.8382292985916138	0.2074655	Yes	
row_15	CLDN16	claudin 16 [Source:HGNC Symbol;Acc:HGNC:2037]	1344	0.8298616409301758	0.21942909	Yes	
row_16	ACTN2	actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]	1578	0.7817655801773071	0.2256516	Yes	
row_17	PPP2R2D	protein phosphatase 2 regulatory subunit Bdelta [Source:HGNC Symbol;Acc:HGNC:23732]	1613	0.774543046951294	0.23680757	Yes	
row_18	CGN	cingulin [Source:HGNC Symbol;Acc:HGNC:17429]	1778	0.7435716986656189	0.24418692	Yes	
row_19	PARD3	par-3 family cell polarity regulator [Source:HGNC Symbol;Acc:HGNC:16051]	1945	0.7131454348564148	0.25104347	Yes	
row_20	MYL12B	myosin light chain 12B [Source:HGNC Symbol;Acc:HGNC:29827]	1971	0.7084742188453674	0.26140246	Yes	
row_21	PRKCD	protein kinase C delta [Source:HGNC Symbol;Acc:HGNC:9399]	2014	0.7001973986625671	0.27120203	Yes	
row_22	MYL12A	myosin light chain 12A [Source:HGNC Symbol;Acc:HGNC:16701]	2065	0.6935224533081055	0.2806952	Yes	
row_23	LLGL2	LLGL scribble cell polarity complex component 2 [Source:HGNC Symbol;Acc:HGNC:6629]	2097	0.6876680850982666	0.29057926	Yes	
row_24	PRKCQ	protein kinase C theta [Source:HGNC Symbol;Acc:HGNC:9410]	2296	0.6622483134269714	0.29583472	Yes	
row_25	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	2297	0.6620326042175293	0.30610698	Yes	
row_26	PPP2CA	protein phosphatase 2 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9299]	2354	0.6539438366889954	0.3148339	Yes	
row_27	MAGI2	membrane associated guanylate kinase, WW and PDZ domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18957]	2455	0.6408085227012634	0.32224143	Yes	
row_28	CTNNA3	catenin alpha 3 [Source:HGNC Symbol;Acc:HGNC:2511]	2611	0.6190354824066162	0.32791662	Yes	
row_29	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	2899	0.5876438021659851	0.32975796	Yes	
row_30	CDC42	cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736]	2919	0.5861716270446777	0.33837143	Yes	
row_31	PRKCZ	protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412]	2954	0.5827459096908569	0.34655142	Yes	
row_32	PRKCH	protein kinase C eta [Source:HGNC Symbol;Acc:HGNC:9403]	3068	0.5707884430885315	0.35254288	Yes	
row_33	ACTG1	actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]	3086	0.5692275762557983	0.36094415	Yes	
row_34	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha [Source:HGNC Symbol;Acc:HGNC:9302]	3107	0.5668542385101318	0.3692325	Yes	
row_35	GNAI2	G protein subunit alpha i2 [Source:HGNC Symbol;Acc:HGNC:4385]	3130	0.5646631717681885	0.3774362	Yes	
row_36	RRAS	RAS related [Source:HGNC Symbol;Acc:HGNC:10447]	3158	0.561488151550293	0.3854638	Yes	
row_37	AFDN	afadin, adherens junction formation factor [Source:HGNC Symbol;Acc:HGNC:7137]	3161	0.5612878203392029	0.39412218	Yes	
