NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPP1	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]	23	1.8893380165100098	0.04833117	Yes	
row_1	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]	486	1.1050164699554443	0.065236054	Yes	
row_2	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]	570	1.0650540590286255	0.09070711	Yes	
row_3	TRAF3	TNF receptor associated factor 3 [Source:HGNC Symbol;Acc:HGNC:12033]	580	1.061669945716858	0.11796511	Yes	
row_4	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	807	0.9768477082252502	0.1375301	Yes	
row_5	MAPK11	mitogen-activated protein kinase 11 [Source:HGNC Symbol;Acc:HGNC:6873]	890	0.9508082866668701	0.16006874	Yes	
row_6	TLR1	toll like receptor 1 [Source:HGNC Symbol;Acc:HGNC:11847]	967	0.9309654831886292	0.18224564	Yes	
row_7	CD14	CD14 molecule [Source:HGNC Symbol;Acc:HGNC:1628]	1013	0.9161519408226013	0.20482431	Yes	
row_8	IL12A	interleukin 12A [Source:HGNC Symbol;Acc:HGNC:5969]	1064	0.8992342948913574	0.22683835	Yes	
row_9	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	1563	0.7847549915313721	0.23453991	Yes	
row_10	MAP2K1	mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840]	1906	0.7223803997039795	0.2445784	Yes	
row_11	CHUK	component of inhibitor of nuclear factor kappa B kinase complex [Source:HGNC Symbol;Acc:HGNC:1974]	2120	0.6845418810844421	0.2569051	Yes	
row_12	MAPK8	mitogen-activated protein kinase 8 [Source:HGNC Symbol;Acc:HGNC:6881]	2157	0.6790478229522705	0.27357328	Yes	
row_13	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	2251	0.6672763824462891	0.2884928	Yes	
row_14	TICAM1	TIR domain containing adaptor molecule 1 [Source:HGNC Symbol;Acc:HGNC:18348]	2274	0.6641161441802979	0.30512905	Yes	
row_15	IL1B	interleukin 1 beta [Source:HGNC Symbol;Acc:HGNC:5992]	2280	0.6638875603675842	0.32219005	Yes	
row_16	IRAK1	interleukin 1 receptor associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:6112]	2325	0.6581097841262817	0.3381135	Yes	
row_17	MAPK12	mitogen-activated protein kinase 12 [Source:HGNC Symbol;Acc:HGNC:6874]	2358	0.6530361175537109	0.35420957	Yes	
row_18	NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	2516	0.6309835910797119	0.36656827	Yes	
row_19	MAP3K8	mitogen-activated protein kinase kinase kinase 8 [Source:HGNC Symbol;Acc:HGNC:6860]	2549	0.626442551612854	0.38197586	Yes	
row_20	FADD	Fas associated via death domain [Source:HGNC Symbol;Acc:HGNC:3573]	2852	0.5920718908309937	0.389654	Yes	
row_21	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	2899	0.5876438021659851	0.4037025	Yes	
row_22	TOLLIP	toll interacting protein [Source:HGNC Symbol;Acc:HGNC:16476]	2958	0.5818412899971008	0.41729677	Yes	
row_23	IRF3	interferon regulatory factor 3 [Source:HGNC Symbol;Acc:HGNC:6118]	3306	0.5480297803878784	0.42269474	Yes	
row_24	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	3454	0.5341077446937561	0.43279868	Yes	
row_25	IRF5	interferon regulatory factor 5 [Source:HGNC Symbol;Acc:HGNC:6120]	3753	0.5063285827636719	0.43835834	Yes	
row_26	TLR5	toll like receptor 5 [Source:HGNC Symbol;Acc:HGNC:11851]	3907	0.49456921219825745	0.44728667	Yes	
row_27	MAP2K4	mitogen-activated protein kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6844]	4172	0.4742520749568939	0.45287716	Yes	
row_28	CXCL8	C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025]	4406	0.4587799906730652	0.45885238	Yes	
row_29	TLR3	toll like receptor 3 [Source:HGNC Symbol;Acc:HGNC:11849]	4532	0.4493931233882904	0.4673204	Yes	
row_30	MAPK9	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]	4750	0.434018075466156	0.47305986	Yes	
row_31	MAP3K7	mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6859]	4840	0.4276912808418274	0.48187798	Yes	
row_32	TLR4	toll like receptor 4 [Source:HGNC Symbol;Acc:HGNC:11850]	5567	0.3866466283798218	0.4734971	Yes	
row_33	CXCL11	C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]	6376	0.35107937455177307	0.4621182	Yes	
row_34	TLR6	toll like receptor 6 [Source:HGNC Symbol;Acc:HGNC:16711]	6408	0.3500846028327942	0.4703964	Yes	
row_35	CXCL9	C-X-C motif chemokine ligand 9 [Source:HGNC Symbol;Acc:HGNC:7098]	6431	0.34942319989204407	0.47888544	Yes	
