NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BTRC	beta-transducin repeat containing E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:1144]	195	1.3321421146392822	0.012045969	No	
row_1	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta [Source:HGNC Symbol;Acc:HGNC:9303]	340	1.1932599544525146	0.02361409	No	
row_2	PLCB4	phospholipase C beta 4 [Source:HGNC Symbol;Acc:HGNC:9059]	365	1.1765425205230713	0.03801295	No	
row_3	RAC2	Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802]	391	1.16048264503479	0.052181594	No	
row_4	PPP2R5B	protein phosphatase 2 regulatory subunit B'beta [Source:HGNC Symbol;Acc:HGNC:9310]	458	1.1206779479980469	0.06480247	No	
row_5	SOX17	SRY-box transcription factor 17 [Source:HGNC Symbol;Acc:HGNC:18122]	699	1.010239839553833	0.07160085	No	
row_6	PPP2CB	protein phosphatase 2 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9300]	701	1.0094152688980103	0.08445131	No	
row_7	CCND3	cyclin D3 [Source:HGNC Symbol;Acc:HGNC:1585]	796	0.9795860052108765	0.09456219	No	
row_8	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	807	0.9768477082252502	0.10676893	No	
row_9	PPP3CC	protein phosphatase 3 catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:9316]	832	0.9696194529533386	0.11852834	No	
row_10	FZD6	frizzled class receptor 6 [Source:HGNC Symbol;Acc:HGNC:4044]	927	0.9412711262702942	0.12815048	No	
row_11	PRKX	protein kinase cAMP-dependent X-linked catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9441]	941	0.9381557703018188	0.13978758	No	
row_12	PRKCB	protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]	1268	0.8462297916412354	0.14231236	No	
row_13	VANGL2	VANGL planar cell polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:15511]	1411	0.81480872631073	0.1491038	No	
row_14	FZD9	frizzled class receptor 9 [Source:HGNC Symbol;Acc:HGNC:4047]	1449	0.80579674243927	0.15844376	No	
row_15	CSNK1E	casein kinase 1 epsilon [Source:HGNC Symbol;Acc:HGNC:2453]	1473	0.8024375438690186	0.168096	No	
row_16	RAC3	Rac family small GTPase 3 [Source:HGNC Symbol;Acc:HGNC:9803]	1784	0.7431095838546753	0.16971129	No	
row_17	NLK	nemo like kinase [Source:HGNC Symbol;Acc:HGNC:29858]	1831	0.7330623865127563	0.17789517	No	
row_18	SENP2	SUMO specific peptidase 2 [Source:HGNC Symbol;Acc:HGNC:23116]	1905	0.7223847508430481	0.18525796	No	
row_19	MAPK8	mitogen-activated protein kinase 8 [Source:HGNC Symbol;Acc:HGNC:6881]	2157	0.6790478229522705	0.1875527	No	
row_20	WNT4	Wnt family member 4 [Source:HGNC Symbol;Acc:HGNC:12783]	2285	0.6631236672401428	0.1927898	No	
row_21	PPP2CA	protein phosphatase 2 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9299]	2354	0.6539438366889954	0.1994064	No	
row_22	PLCB1	phospholipase C beta 1 [Source:HGNC Symbol;Acc:HGNC:15917]	2682	0.6121541857719421	0.19892001	No	
row_23	APC	APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583]	2695	0.6110875606536865	0.20641048	No	
row_24	SKP1	S-phase kinase associated protein 1 [Source:HGNC Symbol;Acc:HGNC:10899]	2906	0.5870094895362854	0.20857124	No	
row_25	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha [Source:HGNC Symbol;Acc:HGNC:9302]	3107	0.5668542385101318	0.21072857	No	
row_26	TCF7L1	transcription factor 7 like 1 [Source:HGNC Symbol;Acc:HGNC:11640]	3443	0.5349918603897095	0.20905499	No	
row_27	SMAD2	SMAD family member 2 [Source:HGNC Symbol;Acc:HGNC:6768]	3523	0.5275672078132629	0.21378054	No	
row_28	DKK1	dickkopf WNT signaling pathway inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:2891]	3544	0.5261318683624268	0.2199844	No	
row_29	PPP3R1	protein phosphatase 3 regulatory subunit B, alpha [Source:HGNC Symbol;Acc:HGNC:9317]	3712	0.5104467272758484	0.22225931	No	
row_30	CSNK2A1	casein kinase 2 alpha 1 [Source:HGNC Symbol;Acc:HGNC:2457]	3832	0.5009517669677734	0.2256307	No	
row_31	WNT3	Wnt family member 3 [Source:HGNC Symbol;Acc:HGNC:12782]	3846	0.4997265636920929	0.23167531	No	
row_32	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	4075	0.48080146312713623	0.23202471	No	
row_33	CSNK2B	casein kinase 2 beta [Source:HGNC Symbol;Acc:HGNC:2460]	4711	0.4366867244243622	0.22148721	No	
row_34	CXXC4	CXXC finger protein 4 [Source:HGNC Symbol;Acc:HGNC:24593]	4731	0.4352438449859619	0.2265571	No	
row_35	MAPK9	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]	4750	0.434018075466156	0.23163672	No	
row_36	DVL1	dishevelled segment polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:3084]	4751	0.43387943506240845	0.23717117	No	
row_37	MAP3K7	mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6859]	4840	0.4276912808418274	0.24039443	No	
row_38	SMAD3	SMAD family member 3 [Source:HGNC Symbol;Acc:HGNC:6769]	5017	0.4162866771221161	0.24123996	No	
row_39	WNT10B	Wnt family member 10B [Source:HGNC Symbol;Acc:HGNC:12775]	5087	0.4127461910247803	0.24475455	No	
row_40	FZD5	frizzled class receptor 5 [Source:HGNC Symbol;Acc:HGNC:4043]	5417	0.3939168453216553	0.24143365	No	
row_41	FBXW11	F-box and WD repeat domain containing 11 [Source:HGNC Symbol;Acc:HGNC:13607]	5556	0.38724541664123535	0.24287267	No	
row_42	RBX1	ring-box 1 [Source:HGNC Symbol;Acc:HGNC:9928]	5732	0.37907153367996216	0.24326886	No	
row_43	PPP3R2	protein phosphatase 3 regulatory subunit B, beta [Source:HGNC Symbol;Acc:HGNC:9318]	6104	0.3627600073814392	0.23848514	No	
row_44	WNT6	Wnt family member 6 [Source:HGNC Symbol;Acc:HGNC:12785]	6196	0.35875314474105835	0.24075294	No	
row_45	GSK3B	glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:HGNC:4617]	6270	0.35544273257255554	0.24343511	No	
row_46	WNT8B	Wnt family member 8B [Source:HGNC Symbol;Acc:HGNC:12789]	6307	0.3541412055492401	0.24703924	No	
row_47	WNT5A	Wnt family member 5A [Source:HGNC Symbol;Acc:HGNC:12784]	6626	0.34257835149765015	0.24334252	No	
row_48	PSEN1	presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]	6849	0.33477285504341125	0.24198142	No	
row_49	MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]	7059	0.3294403553009033	0.24088207	No	
