NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_PROTEASOME	KEGG_PROTEASOME	Details ...	45	0.7420536	2.6028686	0.0	0.0	0.0	6209	tags=73%, list=16%, signal=87%	
KEGG_ERBB_SIGNALING_PATHWAY	KEGG_ERBB_SIGNALING_PATHWAY	Details ...	87	0.59666544	2.3815134	0.0	0.0	0.0	7209	tags=57%, list=18%, signal=70%	
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	Details ...	66	0.6227047	2.3601108	0.0	0.0	0.0	5548	tags=58%, list=14%, signal=67%	
KEGG_ENDOCYTOSIS	KEGG_ENDOCYTOSIS	Details ...	180	0.5285596	2.3386497	0.0	0.0	0.0	5763	tags=42%, list=15%, signal=49%	
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION	Details ...	132	0.54893917	2.3268278	0.0	0.0	0.0	7289	tags=55%, list=18%, signal=68%	
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	Details ...	55	0.6038772	2.2111053	0.0	1.71875E-5	1.0E-4	4033	tags=47%, list=10%, signal=53%	
KEGG_PARKINSONS_DISEASE	KEGG_PARKINSONS_DISEASE	Details ...	130	0.5195543	2.1964812	0.0	3.09883E-5	2.0E-4	7289	tags=47%, list=18%, signal=57%	
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	Details ...	114	0.5241456	2.1803758	0.0	2.7114764E-5	2.0E-4	6930	tags=51%, list=18%, signal=62%	
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	Details ...	60	0.58434963	2.1743362	0.0	3.719725E-5	3.0E-4	7243	tags=48%, list=18%, signal=59%	
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	Details ...	34	0.6568929	2.1712162	0.0	3.3477525E-5	3.0E-4	6441	tags=56%, list=16%, signal=67%	
KEGG_APOPTOSIS	KEGG_APOPTOSIS	Details ...	86	0.54352915	2.1623893	0.0	3.0434114E-5	3.0E-4	3715	tags=38%, list=9%, signal=42%	
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	Details ...	126	0.50790894	2.1392577	0.0	3.754706E-5	4.0E-4	7243	tags=48%, list=18%, signal=58%	
KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA	Details ...	72	0.55032	2.113426	0.0	7.568604E-5	9.0E-4	5415	tags=46%, list=14%, signal=53%	
KEGG_MAPK_SIGNALING_PATHWAY	KEGG_MAPK_SIGNALING_PATHWAY	Details ...	265	0.4550583	2.1063771	0.0	7.855056E-5	0.001	6213	tags=39%, list=16%, signal=46%	
KEGG_SMALL_CELL_LUNG_CANCER	KEGG_SMALL_CELL_LUNG_CANCER	Details ...	83	0.5282631	2.0862942	0.0	1.3084665E-4	0.0018	4089	tags=35%, list=10%, signal=39%	
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	Details ...	97	0.5149958	2.0857613	0.0	1.2266873E-4	0.0018	7361	tags=44%, list=19%, signal=54%	
KEGG_RENAL_CELL_CARCINOMA	KEGG_RENAL_CELL_CARCINOMA	Details ...	70	0.5432198	2.075573	0.0	1.4728657E-4	0.0023	6048	tags=49%, list=15%, signal=57%	
