NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_DNA_REPLICATION	KEGG_DNA_REPLICATION	Details ...	36	-0.70711434	-2.551726	0.0	0.0	0.0	6213	tags=75%, list=16%, signal=89%	
KEGG_MISMATCH_REPAIR	KEGG_MISMATCH_REPAIR	Details ...	23	-0.6895198	-2.2228427	0.0	6.853278E-4	0.0017	6213	tags=74%, list=16%, signal=88%	
KEGG_SPLICEOSOME	KEGG_SPLICEOSOME	Details ...	125	-0.47469264	-2.204183	0.0	5.033605E-4	0.0019	6571	tags=53%, list=17%, signal=63%	
KEGG_HOMOLOGOUS_RECOMBINATION	KEGG_HOMOLOGOUS_RECOMBINATION	Details ...	28	-0.63475275	-2.154141	2.83849E-4	9.366046E-4	0.0047	4390	tags=50%, list=11%, signal=56%	
KEGG_RENIN_ANGIOTENSIN_SYSTEM	KEGG_RENIN_ANGIOTENSIN_SYSTEM	Details ...	17	-0.69096583	-2.0482764	0.0	0.00298411	0.0184	3281	tags=47%, list=8%, signal=51%	
KEGG_TGF_BETA_SIGNALING_PATHWAY	KEGG_TGF_BETA_SIGNALING_PATHWAY	Details ...	86	-0.45995322	-1.9881124	0.0	0.004853929	0.0356	5331	tags=43%, list=13%, signal=50%	
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE	Details ...	125	-0.4274818	-1.9742304	0.0	0.0047728745	0.0408	4253	tags=41%, list=11%, signal=46%	
KEGG_BASE_EXCISION_REPAIR	KEGG_BASE_EXCISION_REPAIR	Details ...	35	-0.5418324	-1.9497807	0.0011692487	0.0051800585	0.0505	3578	tags=40%, list=9%, signal=44%	
KEGG_BASAL_CELL_CARCINOMA	KEGG_BASAL_CELL_CARCINOMA	Details ...	55	-0.48354304	-1.8981307	9.135201E-4	0.0076692076	0.083	3253	tags=27%, list=8%, signal=30%	
KEGG_LYSINE_DEGRADATION	KEGG_LYSINE_DEGRADATION	Details ...	44	-0.5032173	-1.8896931	0.0014819206	0.0074522006	0.0892	5242	tags=45%, list=13%, signal=52%	
KEGG_ECM_RECEPTOR_INTERACTION	KEGG_ECM_RECEPTOR_INTERACTION	Details ...	84	-0.40220487	-1.7369567	0.0012903226	0.025775703	0.2983	3985	tags=35%, list=10%, signal=38%	
KEGG_MELANOGENESIS	KEGG_MELANOGENESIS	Details ...	101	-0.39168704	-1.7342921	0.0010094213	0.024096109	0.3036	4575	tags=31%, list=12%, signal=35%	
