NAME	TITLE	SCORE	
FBXL2	F-box and leucine rich repeat protein 2 [Source:HGNC Symbol;Acc:HGNC:13598]	2.976388	
DUSP3	dual specificity phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:3069]	2.4148707	
CARD11	caspase recruitment domain family member 11 [Source:HGNC Symbol;Acc:HGNC:16393]	2.3974385	
TMEM51	transmembrane protein 51 [Source:HGNC Symbol;Acc:HGNC:25488]	2.338697	
SEL1L3	SEL1L family member 3 [Source:HGNC Symbol;Acc:HGNC:29108]	2.328623	
GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	2.2468596	
ATP13A2	ATPase cation transporting 13A2 [Source:HGNC Symbol;Acc:HGNC:30213]	2.2171152	
LACTB	lactamase beta [Source:HGNC Symbol;Acc:HGNC:16468]	2.1805673	
CARD11-AS1	CARD11 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40766]	2.1423483	
PHKA1	phosphorylase kinase regulatory subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8925]	2.1388795	
APBA2	amyloid beta precursor protein binding family A member 2 [Source:HGNC Symbol;Acc:HGNC:579]	2.10761	
SHTN1	shootin 1 [Source:HGNC Symbol;Acc:HGNC:29319]	2.0802815	
NECTIN2	nectin cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:9707]	2.079098	
ARHGEF28	Rho guanine nucleotide exchange factor 28 [Source:HGNC Symbol;Acc:HGNC:30322]	2.0762198	
EVA1C	eva-1 homolog C [Source:HGNC Symbol;Acc:HGNC:13239]	2.0431798	
HACD1	3-hydroxyacyl-CoA dehydratase 1 [Source:HGNC Symbol;Acc:HGNC:9639]	2.0367348	
PRKAG2	protein kinase AMP-activated non-catalytic subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:9386]	2.023109	
PKP2	plakophilin 2 [Source:HGNC Symbol;Acc:HGNC:9024]	2.01456	
TOR4A	torsin family 4 member A [Source:HGNC Symbol;Acc:HGNC:25981]	1.9813988	
