NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALDH7A1	aldehyde dehydrogenase 7 family member A1 [Source:HGNC Symbol;Acc:HGNC:877]	130	1.5115711688995361	0.08889793	Yes	
row_1	AADAT	aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929]	160	1.4526028633117676	0.17767414	Yes	
row_2	HADH	hydroxyacyl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4799]	352	1.1613417863845825	0.24279591	Yes	
row_3	SETD1B	SET domain containing 1B, histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:29187]	518	0.9995456337928772	0.29882377	Yes	
row_4	NSD2	nuclear receptor binding SET domain protein 2 [Source:HGNC Symbol;Acc:HGNC:12766]	1489	0.63033527135849	0.30394903	Yes	
row_5	EHMT2	euchromatic histone lysine methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:14129]	1729	0.5818924307823181	0.3315797	Yes	
row_6	AASDH	aminoadipate-semialdehyde dehydrogenase [Source:HGNC Symbol;Acc:HGNC:23993]	2581	0.44021666049957275	0.3291045	Yes	
row_7	EHHADH	enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3247]	2691	0.4231693744659424	0.35145903	Yes	
row_8	DLST	dihydrolipoamide S-succinyltransferase [Source:HGNC Symbol;Acc:HGNC:2911]	2923	0.39096733927726746	0.36756733	Yes	
row_9	DOT1L	DOT1 like histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:24948]	3091	0.37147802114486694	0.38470352	Yes	
row_10	SUV39H2	SUV39H2 histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:17287]	3108	0.36864006519317627	0.40693164	Yes	
row_11	SETDB1	SET domain bifurcated histone lysine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10761]	3227	0.3554997146129608	0.42478943	Yes	
row_12	KMT5B	lysine methyltransferase 5B [Source:HGNC Symbol;Acc:HGNC:24283]	3590	0.31370511651039124	0.43155232	Yes	
row_13	SETMAR	SET domain and mariner transposase fusion gene [Source:HGNC Symbol;Acc:HGNC:10762]	4079	0.259522408246994	0.43057078	Yes	
row_14	SETD7	SET domain containing 7, histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:30412]	4138	0.25457891821861267	0.4442835	Yes	
row_15	BBOX1	gamma-butyrobetaine hydroxylase 1 [Source:HGNC Symbol;Acc:HGNC:964]	4373	0.23056213557720184	0.45037225	Yes	
row_16	HADHA	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:4801]	4548	0.2136530876159668	0.4575088	Yes	
row_17	KMT5C	lysine methyltransferase 5C [Source:HGNC Symbol;Acc:HGNC:28405]	4587	0.2099497765302658	0.4691606	Yes	
row_18	KMT5A	lysine methyltransferase 5A [Source:HGNC Symbol;Acc:HGNC:29489]	4986	0.17768771946430206	0.4662602	Yes	
row_19	SETD1A	SET domain containing 1A, histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:29010]	5191	0.1619850993156433	0.46915656	Yes	
row_20	ASH1L	ASH1 like histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:19088]	5323	0.151238813996315	0.4739352	Yes	
row_21	SUV39H1	SUV39H1 histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:11479]	5908	0.10570694506168365	0.46009725	No	
row_22	ALDH9A1	aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]	6204	0.08321554213762283	0.45495036	No	
row_23	NSD1	nuclear receptor binding SET domain protein 1 [Source:HGNC Symbol;Acc:HGNC:14234]	6640	0.0510479174554348	0.44293147	No	
